,Exporter,Importer,Latitude_exp,Longitude_exp,Latitude_imp,Longitude_imp,Millions
0,Brazil,Afghanistan,-14.235004,-51.92528,33.93911,67.709953,88.0
1,Brazil,Angola,-14.235004,-51.92528,-11.202692,17.873887,26.0
2,Brazil,Argentina,-14.235004,-51.92528,-38.416097,-63.616672,0.0
3,Brazil,Bolivia,-14.235004,-51.92528,-16.290154,-63.588653,4.0
4,Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528,0.0
5,Brazil,Burkina Faso,-14.235004,-51.92528,12.238333,-1.561593,0.0
6,Brazil,Cape Verde,-14.235004,-51.92528,16.002082,-24.013197,0.0
7,Brazil,Chile,-14.235004,-51.92528,-35.675147,-71.542969,0.0
8,Brazil,Colombia,-14.235004,-51.92528,4.570868,-74.297333,1.0
9,Brazil,Comoros,-14.235004,-51.92528,-11.875001,43.872219,1.0
10,Brazil,Cyprus,-14.235004,-51.92528,35.126413,33.429859,0.0
11,Brazil,Dominican Republic,-14.235004,-51.92528,18.735693,-70.162651,0.0
12,Brazil,Ecuador,-14.235004,-51.92528,-1.831239,-78.183406,0.0
13,Brazil,Egypt,-14.235004,-51.92528,26.820553000000004,30.802498,0.0
14,Brazil,France,-14.235004,-51.92528,46.227638,2.213749,0.0
15,Brazil,Gabon,-14.235004,-51.92528,-0.803689,11.609444,0.0
16,Brazil,Greece,-14.235004,-51.92528,39.074208,21.824312,0.0
17,Brazil,Guyana,-14.235004,-51.92528,4.860416000000002,-58.93018000000001,0.0
18,Brazil,Honduras,-14.235004,-51.92528,15.199998999999998,-86.241905,0.0
19,Brazil,Indonesia,-14.235004,-51.92528,-0.789275,113.921327,106.0
20,Brazil,Iran,-14.235004,-51.92528,32.427908,53.68804599999999,0.0
21,Brazil,Iraq,-14.235004,-51.92528,33.223191,43.679291,0.0
22,Brazil,Jordan,-14.235004,-51.92528,30.585164,36.238414,0.0
23,Brazil,Libya,-14.235004,-51.92528,26.3351,17.228331,0.0
24,Brazil,Malaysia,-14.235004,-51.92528,4.210483999999999,101.975766,0.0
25,Brazil,Mauritania,-14.235004,-51.92528,21.00789,-10.940835,18.0
26,Brazil,Mexico,-14.235004,-51.92528,23.634501,-102.552784,0.0
27,Brazil,Mozambique,-14.235004,-51.92528,-18.665695,35.529562,3.0
28,Brazil,Namibia,-14.235004,-51.92528,-22.95764,18.49041,0.0
29,Brazil,Nigeria,-14.235004,-51.92528,9.081999,8.675277000000001,0.0
30,Brazil,Pakistan,-14.235004,-51.92528,30.375321000000003,69.345116,16.0
31,Brazil,Paraguay,-14.235004,-51.92528,-23.442503,-58.44383199999999,0.0
32,Brazil,Peru,-14.235004,-51.92528,-9.189967,-75.015152,0.0
33,Brazil,Qatar,-14.235004,-51.92528,25.354826,51.183884,0.0
34,Brazil,Saudi Arabia,-14.235004,-51.92528,23.885942,45.079162,0.0
35,Brazil,South Korea,-14.235004,-51.92528,35.90775700000001,127.766922,0.0
36,Brazil,Suriname,-14.235004,-51.92528,3.919305000000001,-56.02778299999999,0.0
37,Brazil,Togo,-14.235004,-51.92528,8.619543,0.824782,0.0
38,Brazil,Tunisia,-14.235004,-51.92528,33.886917,9.537499,0.0
39,Brazil,United Kingdom,-14.235004,-51.92528,55.378051,-3.435973,0.0
40,Brazil,Uruguay,-14.235004,-51.92528,-32.522779,-55.765835,0.0
41,Brazil,Venezuela,-14.235004,-51.92528,6.42375,-66.58973,0.0
42,Brazil,Zimbabwe,-14.235004,-51.92528,-19.015438,29.154857,0.0
43,Canada,Afghanistan,56.130366,-106.346771,33.93911,67.709953,12.0
44,Canada,Algeria,56.130366,-106.346771,28.033886,1.6596259999999998,0.0
45,Canada,Angola,56.130366,-106.346771,-11.202692,17.873887,4.0
46,Canada,Argentina,56.130366,-106.346771,-38.416097,-63.616672,0.0
47,Canada,Australia,56.130366,-106.346771,-25.274398,133.775136,0.0
48,Canada,Austria,56.130366,-106.346771,47.516231,14.550072,0.0
49,Canada,Belgium,56.130366,-106.346771,50.503887,4.469936,0.0
50,Canada,Bolivia,56.130366,-106.346771,-16.290154,-63.588653,0.0
51,Canada,Botswana,56.130366,-106.346771,-22.328474,24.684866,3.0
52,Canada,Brazil,56.130366,-106.346771,-14.235004,-51.92528,3.0
53,Canada,Brunei,56.130366,-106.346771,4.535277,114.727669,0.0
54,Canada,Bulgaria,56.130366,-106.346771,42.733883,25.48583,0.0
55,Canada,Burkina Faso,56.130366,-106.346771,12.238333,-1.561593,0.0
56,Canada,Cambodia,56.130366,-106.346771,12.565679,104.990963,4.0
57,Canada,Cameroon,56.130366,-106.346771,7.369722,12.354722,4.0
58,Canada,Chad,56.130366,-106.346771,15.454166,18.732207,0.0
59,Canada,Chile,56.130366,-106.346771,-35.675147,-71.542969,0.0
60,Canada,China,56.130366,-106.346771,35.86166,104.195397,0.0
