Importer,2012,2013,2014,2015,2016,Exporter
Austria,2,2,,,,Isreal
Azerbaijan,9,25,21,121,248,Isreal
Belgium,4,4,1,7,,Isreal
Brazil,18,21,27,17,16,Isreal
Cameroon,,,1,2,,Isreal
Chile,3,9,,,,Isreal
Colombia,,8,19,24,,Isreal
Czech Republic,8,8,,,,Isreal
Denmark,,10,,,,Isreal
Ethiopia,,1,3,3,3,Isreal
Germany ,15,15,15,15,24,Isreal
Honduras,,,13,,,Isreal
India,161,119,157,276,599,Isreal
Indonesia,1,,,,,Isreal
Italy,16,10,20,20,37,Isreal
Jordan,,,,48,,Isreal
Lithuania,,,,0,,Isreal
Mauritius,,,,,3,Isreal
Mexico,,,,4,25,Isreal
New Zealand,5,5,3,,,Isreal
Nigeria,,12,,,,Isreal
Paraguay,6,,,,,Isreal
Peru,,,,,1,Isreal
Philippines,,,,6,4,Isreal
Poland,11,9,,,,Isreal
Portugal,3,,,,,Isreal
Russia,,2,1,,,Isreal
Rwanda,,13,,,,Isreal
Senegal,,,1,4,3,Isreal
Seychelles,,3,,,,Isreal
Singapore,57,15,,13,43,Isreal
South Africa,5,,,,,Isreal
South Korea,35,28,24,40,58,Isreal
Spain,27,23,4,,,Isreal
Thailand,,,3,5,,Isreal
Turkey,9,,17,15,,Isreal
Turkmenistan,,,,,0,Isreal
United Kingdom,31,20,20,24,34,Isreal
United States,25,35,35,40,55,Isreal
Viet Nam,,26,14,7,68,Isreal
Australia,98,,479,479,,Spain
Botswana,,,,,3,Spain
Cameroon,,8,9,,,Spain
Colombia,,24,,,,Spain
Ecuador,,,36,26,26,Spain
Egypt,,60,48,48,96,Spain
Equatorial Guinea,,,,,12,Spain
France,8,49,,,,Spain
Ghana,12,,,,12,Spain
Guatemala,,,,33,,Spain
Indonesia,24,47,32,24,4,Spain
Iraq,,,,1,32,Spain
Jordan,,,8,,,Spain
Kazakhstan,,24,24,,24,Spain
Kenya,31,,,,,Spain
Malaysia,,,,73,146,Spain
Mali,,,,,12,Spain
Mexico,52,,,82,,Spain
Mozambique,,3,,,,Spain
Oman,,24,24,43,69,Spain
Pakistan,,10,,,,Spain
Philippines,,,,24,12,Spain
Poland,36,24,,,,Spain
Saudi Arabia,196,,98,196,,Spain
Thailand,,,,,12,Spain
Turkey,,135,229,73,,Spain
United States,34,17,52,,,Spain
Uruguay,,,,1,,Spain
Uzbekistan,,,,24,24,Spain
Venezuela,55,,,,,Spain
Viet Nam,,,12,24,,Spain
Yemen,,8,,,,Spain
Algeria,7,,3,,,Ukraine
Azerbaijan,6,15,,,,Ukraine
Bangladesh,2,6,2,17,24,Ukraine
Belarus,,,,10,10,Ukraine
Botswana,6,,,,,Ukraine
Cambodia,54,,,,,Ukraine
Chad,,18,20,,,Ukraine
China,632,84,140,86,90,Ukraine
Croatia,,,41,,,Ukraine
DR Congo,9,,,,86,Ukraine
Equatorial Guinea,60,,80,,,Ukraine
Estonia,,4,,,,Ukraine
Ethiopia,182,62,19,7,,Ukraine
India,48,106,48,48,20,Ukraine
Indonesia,,,,0,3,Ukraine
Iraq,113,47,,,,Ukraine
Kazakhstan,11,56,1,,,Ukraine
Mali,2,,,,,Ukraine
Mozambique,,,7,,,Ukraine
Myanmar,,,,4,4,Ukraine
Niger,,9,,,,Ukraine
Nigeria,,1,31,13,,Ukraine
Pakistan,10,10,8,4,2,Ukraine
Poland,,,,,8,Ukraine
Russia,86,129,150,98,169,Ukraine
Rwanda,,2,,,,Ukraine
Sudan,20,31,,,,Ukraine
Tanzania,2,,,,,Ukraine
Thailand,106,45,45,47,67,Ukraine
Turkmenistan,28,,,,,Ukraine
Uganda,57,,,,,Ukraine
Venezuela,28,28,,,5,Ukraine
Viet Nam,18,18,38,13,33,Ukraine
Zambia,5,,,,7,Ukraine
