,AB,Age,BB,From,G,H,HR,OPS,PA,R,SB,SO,To,WAR,experience,names,Zero,Year_difference,index,experience_distribution
0,28,28.053,4,2000,27,7,2,0.879,32,5,0,12,2000,0.1,1,Dusty Allen,0,0,1,487
1,5,32.135999999999996,0,2000,2,1,0,0.4,5,1,0,1,2000,-0.1,1,Clemente Alvarez,0,0,1,487
2,3,22.029,0,2000,2,0,0,0.0,3,0,0,2,2000,0.0,1,Clayton Andrews,0,0,1,487
3,27,25.299,4,2000,19,6,2,0.767,31,5,0,7,2000,0.2,1,Mike Bell,0,0,1,487
4,12,26.119,4,2000,13,2,0,0.542,16,1,1,4,2000,-0.1,1,Tarrik Brock,0,0,1,487
5,1,24.218000000000004,0,2000,4,1,0,2.0,1,0,0,0,2000,0.1,1,Justin Brunette,0,0,1,487
6,80,28.281,4,2000,31,21,5,0.799,87,10,0,21,2000,0.4,1,Alex Cabrera,0,0,1,487
7,0,28.143,0,2000,0,0,0,,0,0,0,0,2000,0.0,1,Cameron Cairncross,0,0,1,487
8,1,25.046,0,2000,8,1,0,4.0,1,0,0,0,2000,0.1,1,Eric Cammack,0,0,1,487
9,27,31.319000000000003,4,2000,15,6,3,0.878,31,4,0,13,2000,-0.1,1,Bubba Carpenter,0,0,1,487
10,8,23.267,0,2000,2,1,0,0.375,8,0,0,2,2000,-0.1,1,Carlos Casimiro,0,0,1,487
11,7,31.221,0,2000,4,3,0,1.0,7,1,0,2,2000,0.0,1,Frank Charles,0,0,1,487
12,60,23.127,5,2000,23,13,0,0.6,67,6,1,11,2000,-0.2,1,Ivanon Coffie,0,0,1,487
13,0,25.241,0,2000,3,0,0,,0,0,0,0,2000,0.0,1,Jeff D'Amico,0,0,1,487
14,0,27.326999999999998,0,2000,0,0,0,,0,0,0,0,2000,0.0,1,Darrell Einertson,0,0,1,487
15,0,25.281999999999996,0,2000,0,0,0,,0,0,0,0,2000,0.0,1,Trevor Enders,0,0,1,487
16,0,28.338,0,2000,39,0,0,,0,0,0,0,2000,0.0,1,Scott Forster,0,0,1,487
17,15,27.215,0,2000,28,2,0,0.267,19,1,0,6,2000,-0.1,1,Daniel Garibay,0,0,1,487
18,1,25.116,0,2000,14,0,0,0.0,1,0,0,0,2000,0.0,1,Jason Green,0,0,1,487
19,0,27.098000000000003,0,2000,0,0,0,,0,0,0,0,2000,0.0,1,Kevin Hodges,0,0,1,487
20,0,23.081999999999997,0,2000,16,0,0,,0,0,0,0,2000,0.0,1,Craig House,0,0,1,487
21,0,24.276,0,2000,9,0,0,,0,0,0,0,2000,0.0,1,Thomas Jacquez,0,0,1,487
22,4,29.114,2,2000,6,2,0,1.167,7,2,0,0,2000,0.3,1,Keith Johnson,0,0,1,487
23,0,25.053,0,2000,0,0,0,,0,0,0,0,2000,0.0,1,Mark Johnson,0,0,1,487
24,2,25.11,0,2000,1,0,0,0.0,2,0,0,0,2000,0.0,1,Marcus Jones,0,0,1,487
25,0,24.298000000000002,0,2000,5,0,0,,0,0,0,0,2000,0.0,1,Yovanny Lara,0,0,1,487
26,0,29.204,0,2000,0,0,0,,0,0,0,0,2000,0.0,1,Sang-Hoon Lee,0,0,1,487
27,3,24.247,0,2000,11,1,0,1.167,5,6,2,1,2000,0.1,1,Rod Lindsey,0,0,1,487
28,18,25.159000000000002,1,2000,6,6,0,0.7020000000000001,19,3,0,1,2000,0.0,1,Keith Luuloa,0,0,1,487
29,0,22.162,0,2000,0,0,0,,0,0,0,0,2000,0.0,1,Willie Martinez,0,0,1,487
