,Unnamed: 0,Year,Province,code,City,Annual,Month,Temperature
27843,29031,1871,NB,8101505,FREDERICTON,,Jan,
27844,29032,1872,NB,8101505,FREDERICTON,4.3,Jan,-9.9
27845,29033,1873,NB,8101505,FREDERICTON,,Jan,
27846,29034,1874,NB,8101505,FREDERICTON,,Jan,-7.3
27847,29035,1875,NB,8101505,FREDERICTON,2.9,Jan,-15.3
27848,29036,1876,NB,8101505,FREDERICTON,4.1,Jan,-10.9
27849,29037,1877,NB,8101505,FREDERICTON,5.1,Jan,-14.3
27850,29038,1878,NB,8101505,FREDERICTON,5.7,Jan,-10.6
27851,29039,1879,NB,8101505,FREDERICTON,3.9,Jan,-12.1
27852,29040,1880,NB,8101505,FREDERICTON,4.7,Jan,-8.6
27853,29041,1881,NB,8101505,FREDERICTON,5.1,Jan,-13.0
27854,29042,1882,NB,8101505,FREDERICTON,4.3,Jan,-11.5
27855,29043,1883,NB,8101505,FREDERICTON,3.4,Jan,-15.0
27856,29044,1884,NB,8101505,FREDERICTON,4.2,Jan,-13.7
27857,29045,1885,NB,8101505,FREDERICTON,4.1,Jan,-11.3
27858,29046,1886,NB,8101505,FREDERICTON,4.6,Jan,-9.4
27859,29047,1887,NB,8101505,FREDERICTON,4.1,Jan,-12.7
27860,29048,1888,NB,8101505,FREDERICTON,3.9,Jan,-14.5
27861,29049,1889,NB,8101505,FREDERICTON,6.0,Jan,-6.8
27862,29050,1890,NB,8101505,FREDERICTON,3.9,Jan,-11.5
27863,29051,1891,NB,8101505,FREDERICTON,5.4,Jan,-8.9
27864,29052,1892,NB,8101505,FREDERICTON,5.0,Jan,-7.9
27865,29053,1893,NB,8101505,FREDERICTON,4.0,Jan,-13.4
27866,29054,1894,NB,8101505,FREDERICTON,,Jan,-11.8
27867,29055,1895,NB,8101505,FREDERICTON,,Jan,-9.5
27868,29056,1896,NB,8101505,FREDERICTON,4.3,Jan,-10.8
27869,29057,1897,NB,8101505,FREDERICTON,4.7,Jan,-10.1
27870,29058,1898,NB,8101505,FREDERICTON,5.5,Jan,-12.9
27871,29059,1899,NB,8101505,FREDERICTON,4.8,Jan,-10.4
27872,29060,1900,NB,8101505,FREDERICTON,4.9,Jan,-9.3
27873,29061,1901,NB,8101505,FREDERICTON,,Jan,-9.8
27874,29062,1902,NB,8101505,FREDERICTON,5.4,Jan,-8.3
27875,29063,1903,NB,8101505,FREDERICTON,,Jan,-9.3
27876,29064,1904,NB,8101505,FREDERICTON,3.7,Jan,-13.5
27877,29065,1905,NB,8101505,FREDERICTON,4.5,Jan,-12.4
27878,29066,1906,NB,8101505,FREDERICTON,,Jan,-5.5
27879,29067,1907,NB,8101505,FREDERICTON,3.9,Jan,-12.7
27880,29068,1908,NB,8101505,FREDERICTON,5.0,Jan,-8.4
27881,29069,1909,NB,8101505,FREDERICTON,5.1,Jan,-10.4
27882,29070,1910,NB,8101505,FREDERICTON,5.4,Jan,-6.9
27883,29071,1911,NB,8101505,FREDERICTON,4.7,Jan,-10.7
27884,29072,1912,NB,8101505,FREDERICTON,4.3,Jan,-13.8
27885,29073,1913,NB,8101505,FREDERICTON,5.7,Jan,-5.6
27886,29074,1914,NB,8101505,FREDERICTON,4.2,Jan,-11.8
27887,29075,1915,NB,8101505,FREDERICTON,6.0,Jan,-7.5
27888,29076,1916,NB,8101505,FREDERICTON,5.1,Jan,-8.7
27889,29077,1917,NB,8101505,FREDERICTON,3.7,Jan,-11.2
27890,29078,1918,NB,8101505,FREDERICTON,4.3,Jan,-12.9
27891,29079,1919,NB,8101505,FREDERICTON,5.1,Jan,-9.1
27892,29080,1920,NB,8101505,FREDERICTON,4.8,Jan,-15.4
27893,29081,1921,NB,8101505,FREDERICTON,5.6,Jan,-8.9
27894,29082,1922,NB,8101505,FREDERICTON,4.8,Jan,-11.9
27895,29083,1923,NB,8101505,FREDERICTON,4.2,Jan,-11.7
27896,29084,1924,NB,8101505,FREDERICTON,4.8,Jan,-10.6
27897,29085,1925,NB,8101505,FREDERICTON,4.7,Jan,-15.0
27898,29086,1926,NB,8101505,FREDERICTON,3.9,Jan,-10.7
27899,29087,1927,NB,8101505,FREDERICTON,5.6,Jan,-6.8
27900,29088,1928,NB,8101505,FREDERICTON,5.0,Jan,-9.5
27901,29089,1929,NB,8101505,FREDERICTON,4.9,Jan,-9.4
27902,29090,1930,NB,8101505,FREDERICTON,5.1,Jan,-11.2
27903,29091,1931,NB,8101505,FREDERICTON,6.0,Jan,-10.9
27904,29092,1932,NB,8101505,FREDERICTON,5.3,Jan,-5.7
27905,29093,1933,NB,8101505,FREDERICTON,4.6,Jan,-6.1
27906,29094,1934,NB,8101505,FREDERICTON,3.8,Jan,-12.7
27907,29095,1935,NB,8101505,FREDERICTON,4.4,Jan,-13.2
27908,29096,1936,NB,8101505,FREDERICTON,4.8,Jan,-9.7
27909,29097,1937,NB,8101505,FREDERICTON,6.2,Jan,-6.7
27910,29098,1938,NB,8101505,FREDERICTON,5.7,Jan,-9.6
27911,29099,1939,NB,8101505,FREDERICTON,4.7,Jan,-10.3
27912,29100,1940,NB,8101505,FREDERICTON,4.6,Jan,-11.3
27913,29101,1941,NB,8101505,FREDERICTON,5.2,Jan,-10.8
27914,29102,1942,NB,8101505,FREDERICTON,5.7,Jan,-10.8
27915,29103,1943,NB,8101505,FREDERICTON,4.6,Jan,-11.4
27916,29104,1944,NB,8101505,FREDERICTON,5.8,Jan,-7.3
27917,29105,1945,NB,8101505,FREDERICTON,5.7,Jan,-10.0
27918,29106,1946,NB,8101505,FREDERICTON,5.7,Jan,-9.7
27919,29107,1947,NB,8101505,FREDERICTON,5.8,Jan,-9.8
27920,29108,1948,NB,8101505,FREDERICTON,5.2,Jan,-10.6
27921,29109,1949,NB,8101505,FREDERICTON,6.3,Jan,-7.0
27922,29110,1950,NB,8101505,FREDERICTON,5.3,Jan,-8.1
27923,29111,1951,NB,8101505,FREDERICTON,,Jan,-6.8
27924,29112,1952,NB,8101505,FREDERICTON,6.0,Jan,-8.8
27925,29113,1953,NB,8101505,FREDERICTON,6.9,Jan,-5.7
27926,29114,1954,NB,8101505,FREDERICTON,5.6,Jan,-10.7
27927,29115,1955,NB,8101505,FREDERICTON,5.2,Jan,-8.8
27928,29116,1956,NB,8101505,FREDERICTON,5.0,Jan,-3.4
27929,29117,1957,NB,8101505,FREDERICTON,6.0,Jan,-14.1
27930,29118,1958,NB,8101505,FREDERICTON,5.4,Jan,-4.5
27931,29119,1959,NB,8101505,FREDERICTON,5.9,Jan,-8.7
27932,29120,1960,NB,8101505,FREDERICTON,6.4,Jan,-8.9
27933,29121,1961,NB,8101505,FREDERICTON,5.7,Jan,-13.3
27934,29122,1962,NB,8101505,FREDERICTON,5.2,Jan,-8.6
27935,29123,1963,NB,8101505,FREDERICTON,5.2,Jan,-6.6
27936,29124,1964,NB,8101505,FREDERICTON,5.4,Jan,-7.0
27937,29125,1965,NB,8101505,FREDERICTON,4.9,Jan,-10.9
27938,29126,1966,NB,8101505,FREDERICTON,6.3,Jan,-5.7
27939,29127,1967,NB,8101505,FREDERICTON,5.0,Jan,-7.2
27940,29128,1968,NB,8101505,FREDERICTON,5.4,Jan,-11.6
27941,29129,1969,NB,8101505,FREDERICTON,6.3,Jan,-7.0
27942,29130,1970,NB,8101505,FREDERICTON,5.4,Jan,-12.4
27943,29131,1971,NB,8101505,FREDERICTON,5.5,Jan,-12.0
27944,29132,1972,NB,8101505,FREDERICTON,4.6,Jan,-8.6
27945,29133,1973,NB,8101505,FREDERICTON,6.6,Jan,-8.4
27946,29134,1974,NB,8101505,FREDERICTON,5.4,Jan,-9.0
27947,29135,1975,NB,8101505,FREDERICTON,5.6,Jan,-8.3
27948,29136,1976,NB,8101505,FREDERICTON,5.2,Jan,-11.4
27949,29137,1977,NB,8101505,FREDERICTON,5.6,Jan,-11.5
27950,29138,1978,NB,8101505,FREDERICTON,5.1,Jan,-9.6
27951,29139,1979,NB,8101505,FREDERICTON,6.9,Jan,-6.5
27952,29140,1980,NB,8101505,FREDERICTON,5.4,Jan,-6.8
27953,29141,1981,NB,8101505,FREDERICTON,6.5,Jan,-12.2
