,Province,City
0,AB,EDMONTON
1,AB,FORT CHIPEWYAN
2,AB,MEDICINE HAT
3,AB,CALGARY
4,AB,BANFF
5,AB,PINCHER CREEK
6,AB,LETHBRIDGE
7,AB,GLEICHEN
8,AB,RANFURLY
9,AB,LACOMBE
10,AB,PEACE RIVER
11,AB,FORT VERMILION
12,AB,HIGH RIVER
13,AB,BEAVERLODGE
14,AB,VAUXHALL
15,AB,CARWAY
16,AB,EDSON
17,AB,OLDS
18,AB,ROCKY MTN HOUSE
19,AB,CALMAR
20,AB,CAMPSIE
21,AB,FORT MCMURRAY
22,AB,ENTRANCE
23,AB,ATHABASCA
24,AB,STETTLER NORTH
25,AB,SION
26,AB,GRANDE PRAIRIE
27,AB,SLAVE LAKE
28,AB,CORONATION
29,AB,JENNER
30,AB,COLD LAKE
31,AB,HIGH PRAIRIE
32,AB,JASPER
33,AB,MANYBERRIES
34,AB,FAIRVIEW
35,AB,WHITECOURT
36,AB,KEG RIVER
37,AB,CAMROSE
38,BC,BARKERVILLE
39,BC,KAMLOOPS
40,BC,AGASSIZ
41,BC,PRINCETON
42,BC,BELLA COOLA
43,BC,FORT ST JAMES
44,BC,QUATSINO
45,BC,VANCOUVER
46,BC,VICTORIA
47,BC,QUESNEL
48,BC,VERNON
49,BC,CRANBROOK
50,BC,GOLDEN
51,BC,KELOWNA
52,BC,ATLIN
53,BC,PENTICTON
54,BC,PRINCE RUPERT
55,BC,GLACIER
56,BC,SALMON ARM
57,BC,STEWART
58,BC,KASLO
59,BC,PRINCE GEORGE
60,BC,TERRACE
61,BC,DARFIELD
62,BC,SHAWNIGAN LAKE
63,BC,VAVENBY
64,BC,CRESTON
65,BC,FAUQUIER
66,BC,CARIBOO LODGE
67,BC,GRAND FORKS
68,BC,CAPE SCOTT
69,BC,SMITHERS
70,BC,ESTEVAN POINT
71,BC,WISTARIA
72,BC,WARFIELD
73,BC,TATLAYOKO LAKE
74,BC,COMOX
75,BC,LANGARA
76,BC,FORT NELSON
77,BC,FORT ST JOHN
78,BC,WILLIAMS LAKE
79,BC,CAPE ST JAMES
80,BC,DEASE LAKE
81,BC,PORT HARDY
82,BC,SANDSPIT
83,BC,BLUE RIVER
84,BC,BEAVERDELL
85,BC,DAWSON CREEK
86,BC,GERMANSEN
87,BC,MCINNES ISLAND
88,BC,OLIVER
89,BC,QUINSAM RIVER
90,BC,BLIND CHANNEL
91,BC,MERRITT
92,MB,WINNIPEG
93,MB,BRANDON
94,MB,MINNEDOSA
95,MB,NORWAY HOUSE
96,MB,DAUPHIN
97,MB,MORDEN EXP FARM
98,MB,BERENS RIVER
99,MB,THE PAS
100,MB,INDIAN BAY
101,MB,PINAWA
102,MB,SPRAGUE
103,MB,BIRTLE
104,MB,GREAT FALLS
105,MB,FLIN FLON
106,MB,CHURCHILL
107,MB,PIERSON
108,MB,GILLAM
109,MB,GIMLI
110,MB,CYPRESS RIVER
111,MB,LYNN LAKE
112,MB,BROCHET
113,MB,GRAND RAPIDS
114,MB,ARBORG
115,MB,THOMPSON
116,N   YT,HAINES JUNCTIO
117,NB,FREDERICTON
118,NB,SAINT JOHN
119,NB,CHATHAM MIRA.
120,NB,MONCTON
121,NB,SUSSEX
122,NB,AROOSTOOK
123,NB,WOODSTOCK
124,NB,EDMUNDSTON
125,NB,BATHURST
126,NB,REXTON
