,Year,Count
0,1959,3047
1,1960,2329
2,1961,1813
3,1962,1733
4,1963,2024
5,1964,2279
6,1965,2131
7,1966,2058
8,1967,1499
9,1968,9980
10,1969,3599
11,1970,1366
12,1971,730
13,1972,5234
14,1973,2399
15,1974,1649
16,1975,6288
17,1976,5581
18,1977,3622
19,1978,2899
20,1979,27664
21,1980,40272
22,1981,14616
23,1982,16296
24,1983,13445
25,1984,14590
26,1985,15643
27,1986,17690
28,1987,19519
29,1988,24979
30,1989,34658
31,1990,36084
32,1991,26929
33,1992,15659
34,1993,11785
35,1994,10494
36,1995,11457
37,1996,10937
38,1997,10370
39,1998,9646
40,1999,9779
41,2000,13518
42,2001,12245
43,2002,10389
44,2003,10731
45,2004,10521
46,2005,10400
47,2006,10651
48,2007,11155
49,2008,10804
50,2009,12457
51,2010,12098
52,2011,12929
53,2012,9624
54,2013,12173
55,2014,12277
56,2015,20010
57,2016,46646
