,Country_Residence,Origin,Year,Count
3,Canada,Albania,1959,17
4,Canada,Austria,1959,17
5,Canada,Belgium,1959,2
6,Canada,Bulgaria,1959,35
7,Canada,China,1959,2
8,Canada,Czech Rep.,1959,36
9,Canada,Egypt,1959,5
10,Canada,Estonia,1959,31
11,Canada,Finland,1959,3
12,Canada,France,1959,1
13,Canada,Germany,1959,122
14,Canada,Greece,1959,34
15,Canada,Hungary,1959,579
16,Canada,Italy,1959,63
17,Canada,Latvia,1959,59
18,Canada,Lebanon,1959,5
19,Canada,Lithuania,1959,30
20,Canada,Netherlands,1959,8
21,Canada,Norway,1959,1
22,Canada,Poland,1959,311
23,Canada,Romania,1959,22
24,Canada,Russian Federation,1959,194
25,Canada,Serbia and Kosovo: S/RES/1244 (1999),1959,1224
26,Canada,Spain,1959,3
27,Canada,Turkey,1959,2
28,Canada,Various/unknown,1959,241
29,Canada,Albania,1960,21
30,Canada,Austria,1960,8
31,Canada,Bulgaria,1960,21
32,Canada,Czech Rep.,1960,9
33,Canada,France,1960,2
34,Canada,Germany,1960,12
35,Canada,Greece,1960,14
36,Canada,Hungary,1960,380
37,Canada,Italy,1960,60
38,Canada,Latvia,1960,18
39,Canada,Lithuania,1960,2
40,Canada,Poland,1960,178
41,Canada,Romania,1960,28
42,Canada,Russian Federation,1960,43
43,Canada,Serbia and Kosovo: S/RES/1244 (1999),1960,1489
44,Canada,Various/unknown,1960,44
45,Canada,Albania,1961,20
46,Canada,Austria,1961,7
47,Canada,Belgium,1961,1
48,Canada,Bulgaria,1961,11
49,Canada,Czech Rep.,1961,14
50,Canada,Estonia,1961,6
51,Canada,France,1961,1
52,Canada,Germany,1961,21
53,Canada,Greece,1961,5
54,Canada,Hungary,1961,334
55,Canada,Italy,1961,8
56,Canada,Latvia,1961,18
57,Canada,Lithuania,1961,26
58,Canada,Poland,1961,176
59,Canada,Romania,1961,41
60,Canada,Russian Federation,1961,51
61,Canada,Serbia and Kosovo: S/RES/1244 (1999),1961,937
62,Canada,Various/unknown,1961,136
63,Canada,Albania,1962,20
64,Canada,Austria,1962,1
65,Canada,Bulgaria,1962,3
66,Canada,China,1962,172
67,Canada,Czech Rep.,1962,17
68,Canada,Estonia,1962,1
69,Canada,Finland,1962,1
70,Canada,France,1962,1
71,Canada,Germany,1962,5
72,Canada,Greece,1962,1
73,Canada,Hungary,1962,180
74,Canada,Italy,1962,19
75,Canada,Latvia,1962,9
76,Canada,Lebanon,1962,1
77,Canada,Lithuania,1962,4
78,Canada,Poland,1962,131
79,Canada,Romania,1962,42
80,Canada,Russian Federation,1962,46
81,Canada,Serbia and Kosovo: S/RES/1244 (1999),1962,959
82,Canada,Spain,1962,2
83,Canada,Various/unknown,1962,118
84,Canada,Albania,1963,43
85,Canada,Austria,1963,2
86,Canada,Bulgaria,1963,15
87,Canada,China,1963,86
88,Canada,Czech Rep.,1963,14
89,Canada,France,1963,2
90,Canada,Germany,1963,23
91,Canada,Greece,1963,7
92,Canada,Hungary,1963,126
93,Canada,Italy,1963,4
94,Canada,Latvia,1963,4
95,Canada,Lithuania,1963,1
96,Canada,Poland,1963,83
97,Canada,Portugal,1963,1
98,Canada,Romania,1963,102
99,Canada,Russian Federation,1963,37
100,Canada,Serbia and Kosovo: S/RES/1244 (1999),1963,1423
101,Canada,Spain,1963,6
102,Canada,Turkey,1963,4
103,Canada,Various/unknown,1963,41
104,Canada,Albania,1964,16
105,Canada,Austria,1964,1
106,Canada,Bulgaria,1964,13
107,Canada,China,1964,2
108,Canada,Czech Rep.,1964,23
109,Canada,Estonia,1964,4
110,Canada,France,1964,5
111,Canada,Germany,1964,7
112,Canada,Greece,1964,2
113,Canada,Hungary,1964,243
114,Canada,Italy,1964,5
115,Canada,Latvia,1964,2
116,Canada,Lithuania,1964,1
117,Canada,Poland,1964,90
118,Canada,Portugal,1964,10
119,Canada,Romania,1964,86
120,Canada,Russian Federation,1964,42
121,Canada,Serbia and Kosovo: S/RES/1244 (1999),1964,1523
122,Canada,Spain,1964,50
123,Canada,Turkey,1964,2
124,Canada,Various/unknown,1964,152
125,Canada,Albania,1965,12
126,Canada,Austria,1965,3
127,Canada,Bulgaria,1965,39
128,Canada,Czech Rep.,1965,90
129,Canada,Estonia,1965,2
130,Canada,Germany,1965,6
