,Country_Residence,Origin,Year,Count,Lat_Residence,Lon_Residence,Lat_Origin,Lon_Origin
159,Canada,Ghana,2016,5.0,56.130366,-106.34677099999999,7.946527000000001,-1.0231940000000002
134,Canada,Angola,2016,6.0,56.130366,-106.34677099999999,-11.202691999999999,17.873887
202,Canada,Yemen,2016,6.0,56.130366,-106.34677099999999,15.552726999999999,48.516388
195,Canada,Thailand,2016,6.0,56.130366,-106.34677099999999,15.870032,100.992541
136,Canada,Armenia,2016,7.0,56.130366,-106.34677099999999,40.069099,45.038189
170,Canada,Cambodia,2016,7.0,56.130366,-106.34677099999999,12.565679,104.990963
177,Canada,Nepal,2016,8.0,56.130366,-106.34677099999999,28.394857000000002,84.12400799999999
194,Canada,Togo,2016,8.0,56.130366,-106.34677099999999,8.619543,0.824782
198,Canada,Uganda,2016,9.0,56.130366,-106.34677099999999,1.373333,32.290275
173,Canada,Sri Lanka,2016,9.0,56.130366,-106.34677099999999,7.873054,80.77179699999999
200,Canada,United States,2016,9.0,56.130366,-106.34677099999999,37.09024,-95.712891
203,Canada,South Africa,2016,10.0,56.130366,-106.34677099999999,-30.559482,22.937506
196,Canada,Turkey,2016,10.0,56.130366,-106.34677099999999,38.963745,35.243322
154,Canada,Ecuador,2016,11.0,56.130366,-106.34677099999999,-1.8312389999999998,-78.183406
163,Canada,India,2016,12.0,56.130366,-106.34677099999999,20.593684,78.96288
193,Canada,Chad,2016,12.0,56.130366,-106.34677099999999,15.454166,18.732207
161,Canada,Gambia,2016,17.0,56.130366,-106.34677099999999,13.443182,-15.310139000000001
186,Canada,Senegal,2016,18.0,56.130366,-106.34677099999999,14.497401000000002,-14.452361999999999
146,Canada,China,2016,22.0,56.130366,-106.34677099999999,35.86166,104.195397
187,Canada,Sierra Leone,2016,43.0,56.130366,-106.34677099999999,8.460555000000001,-11.779889
167,Canada,Jordan,2016,43.0,56.130366,-106.34677099999999,30.585164000000002,36.238414
189,Canada,Sudan,2016,65.0,56.130366,-106.34677099999999,12.862807,30.217636
144,Canada,Central African Republic,2016,76.0,56.130366,-106.34677099999999,6.611111,20.939444
183,Canada,Rwanda,2016,90.0,56.130366,-106.34677099999999,-1.940278,29.873888
171,Canada,Lebanon,2016,100.0,56.130366,-106.34677099999999,33.854721000000005,35.862285
142,Canada,Bhutan,2016,106.0,56.130366,-106.34677099999999,27.514162,90.433601
172,Canada,Liberia,2016,114.0,56.130366,-106.34677099999999,6.4280550000000005,-9.429499
180,Canada,Palestinian Territories,2016,129.0,56.130366,-106.34677099999999,31.952162,35.233154
155,Canada,Egypt,2016,134.0,56.130366,-106.34677099999999,26.820553000000004,30.802497999999996
147,Canada,Cote d'Ivoire,2016,152.0,56.130366,-106.34677099999999,7.539989,-5.54708
151,Canada,Colombia,2016,178.0,56.130366,-106.34677099999999,4.570868,-74.297333
185,Canada,Sudan,2016,190.0,56.130366,-106.34677099999999,12.862807,30.217636
138,Canada,Burundi,2016,218.0,56.130366,-106.34677099999999,-3.3730559999999996,29.918885999999997
178,Canada,Pakistan,2016,226.0,56.130366,-106.34677099999999,30.375321000000003,69.345116
164,Canada,Iran,2016,248.0,56.130366,-106.34677099999999,32.427908,53.68804599999999
175,Canada,Myanmar,2016,368.0,56.130366,-106.34677099999999,21.913965,95.956223
158,Canada,Ethiopia,2016,725.0,56.130366,-106.34677099999999,9.145,40.489672999999996
188,Canada,Somalia,2016,902.0,56.130366,-106.34677099999999,5.152149,46.199616
133,Canada,Afghanistan,2016,1354.0,56.130366,-106.34677099999999,33.93911,67.709953
165,Canada,Iraq,2016,1650.0,56.130366,-106.34677099999999,33.223191,43.679291
149,Canada,Congo,2016,1655.0,56.130366,-106.346771,-4.038333,21.758664
156,Canada,Eritrea,2016,3934.0,56.130366,-106.34677099999999,15.179383999999999,39.782334000000006
192,Canada,Syria,2016,33266.0,56.130366,-106.34677099999999,34.802075,38.996815000000005
