,Country_Residence,Origin,Year,Count,Lat_Residence,Lon_Residence,Lat_Origin,Lon_Origin
106,Australia,Syria,2016,83,-25.274398,133.775136,34.802075,38.996815000000005
128,Austria,Syria,2016,200,47.516231,14.550072,34.802075,38.996815000000005
131,Belgium,Syria,2016,448,50.503887,4.469936,34.802075,38.996815000000005
194,Canada,Syria,2016,33266,56.130366,-106.34677099999999,34.802075,38.996815000000005
217,Denmark,Syria,2016,236,56.26392,9.501785,34.802075,38.996815000000005
218,Estonia,Syria,2016,11,58.595271999999994,25.013607,34.802075,38.996815000000005
229,Finland,Syria,2016,546,61.92411,25.748151,34.802075,38.996815000000005
246,France,Syria,2016,1190,46.227638,2.213749,34.802075,38.996815000000005
250,Germany,Syria,2016,1215,51.165690999999995,10.451526,34.802075,38.996815000000005
251,Hungary,Syria,2016,15,47.162494,19.503304,34.802075,38.996815000000005
252,Iceland,Syria,2016,56,64.96305100000001,-19.020835,34.802075,38.996815000000005
255,Ireland,Syria,2016,335,53.41291,-8.243889999999999,34.802075,38.996815000000005
259,Italy,Syria,2016,482,41.87194,12.56738,34.802075,38.996815000000005
261,Latvia,Syria,2016,6,56.879635,24.603189,34.802075,38.996815000000005
262,Lithuania,Syria,2016,25,55.169438,23.881275,34.802075,38.996815000000005
263,Luxembourg,Syria,2016,52,49.815273,6.129583,34.802075,38.996815000000005
277,Netherlands,Syria,2016,601,52.132633,5.291266,34.802075,38.996815000000005
323,New Zealand,Syria,2016,9,-40.900557,174.88597099999998,34.802075,38.996815000000005
346,Norway,Syria,2016,2902,60.472024,8.468946,34.802075,38.996815000000005
348,Spain,Syria,2016,289,40.463667,-3.7492199999999998,34.802075,38.996815000000005
372,Sweden,Syria,2016,688,60.128161,18.643501,34.802075,38.996815000000005
381,Switzerland,Syria,2016,524,46.818188,8.227511999999999,34.802075,38.996815000000005
393,United Kingdom,Syria,2016,4369,55.378051,-3.435973,34.802075,38.996815000000005
464,United States,Syria,2016,15479,37.09024,-95.712891,34.802075,38.996815000000005
