,Year,Country_Residence,Origin,Type,Count,Lat_Residence,Lon_Residence,Lat_Origin,Lon_Origin
46,2016,Anguilla,Syria,Refugees (incl. refugee-like situations),0,18.220554,-63.068615,34.802075,38.996815000000005
58,2016,Albania,Syria,Refugees (incl. refugee-like situations),0,41.153332,20.168331,34.802075,38.996815000000005
75,2016,United Arab Emirates,Syria,Refugees (incl. refugee-like situations),119,23.424076,53.847818000000004,34.802075,38.996815000000005
165,2016,Argentina,Syria,Refugees (incl. refugee-like situations),357,-38.416097,-63.616671999999994,34.802075,38.996815000000005
200,2016,Armenia,Syria,Refugees (incl. refugee-like situations),14626,40.069099,45.038189,34.802075,38.996815000000005
205,2016,Antigua and Barbuda,Syria,Refugees (incl. refugee-like situations),0,17.060816,-61.796428000000006,34.802075,38.996815000000005
331,2016,Australia,Syria,Refugees (incl. refugee-like situations),378,-25.274398,133.775136,34.802075,38.996815000000005
459,2016,Austria,Syria,Refugees (incl. refugee-like situations),30958,47.516231,14.550072,34.802075,38.996815000000005
492,2016,Azerbaijan,Syria,Refugees (incl. refugee-like situations),15,40.143105,47.576927000000005,34.802075,38.996815000000005
623,2016,Belgium,Syria,Refugees (incl. refugee-like situations),9080,50.503887,4.469936,34.802075,38.996815000000005
656,2016,Benin,Syria,Refugees (incl. refugee-like situations),0,9.30769,2.315834,34.802075,38.996815000000005
725,2016,Bulgaria,Syria,Refugees (incl. refugee-like situations),15027,42.733883,25.48583,34.802075,38.996815000000005
768,2016,Bosnia and Herzegovina,Syria,Refugees (incl. refugee-like situations),15,43.915886,17.679076000000002,34.802075,38.996815000000005
793,2016,Belarus,Syria,Refugees (incl. refugee-like situations),77,53.709807,27.953389,34.802075,38.996815000000005
828,2016,Bolivia,Syria,Refugees (incl. refugee-like situations),13,-16.290154,-63.588653,34.802075,38.996815000000005
946,2016,Brazil,Syria,Refugees (incl. refugee-like situations),2591,-14.235004,-51.92528,34.802075,38.996815000000005
1156,2016,Canada,Syria,Refugees (incl. refugee-like situations),2757,56.130366,-106.34677099999999,34.802075,38.996815000000005
1292,2016,Switzerland,Syria,Refugees (incl. refugee-like situations),11159,46.818188,8.227511999999999,34.802075,38.996815000000005
1349,2016,Chile,Syria,Refugees (incl. refugee-like situations),18,-35.675146999999996,-71.542969,34.802075,38.996815000000005
1388,2016,China,Syria,Refugees (incl. refugee-like situations),20,35.86166,104.195397,34.802075,38.996815000000005
1422,2016,Cte d'Ivoire,Syria,Refugees (incl. refugee-like situations),0,7.539989,-5.54708,34.802075,38.996815000000005
1459,2016,Cameroon,Syria,Refugees (incl. refugee-like situations),23,7.369722,12.354722,34.802075,38.996815000000005
1486,2016,Congo [DRC],Syria,Refugees (incl. refugee-like situations),11,-4.038333000000001,21.758664000000003,34.802075,38.996815000000005
1509,2016,Congo [Republic],Syria,Refugees (incl. refugee-like situations),0,-0.228021,15.827658999999999,34.802075,38.996815000000005
1548,2016,Colombia,Syria,Refugees (incl. refugee-like situations),8,4.570868,-74.297333,34.802075,38.996815000000005
1611,2016,Costa Rica,Syria,Refugees (incl. refugee-like situations),8,9.748917,-83.753428,34.802075,38.996815000000005
1634,2016,Cuba,Syria,Refugees (incl. refugee-like situations),39,21.521757,-77.78116700000001,34.802075,38.996815000000005
1641,2016,Curaçao,Syria,Refugees (incl. refugee-like situations),0,12.16957,-68.990021,34.802075,38.996815000000005
1646,2016,Cayman Islands,Syria,Refugees (incl. refugee-like situations),0,19.513469,-80.566956,34.802075,38.996815000000005
1704,2016,Cyprus,Syria,Refugees (incl. refugee-like situations),4263,35.126413,33.429859,34.802075,38.996815000000005
1774,2016,Czech Republic,Syria,Refugees (incl. refugee-like situations),365,49.817492,15.472961999999999,34.802075,38.996815000000005
1931,2016,Germany,Syria,Refugees (incl. refugee-like situations),375122,51.165690999999995,10.451526,34.802075,38.996815000000005
1968,2016,Djibouti,Syria,Refugees (incl. refugee-like situations),13,11.825138,42.590275,34.802075,38.996815000000005
2039,2016,Denmark,Syria,Refugees (incl. refugee-like situations),18215,56.26392,9.501785,34.802075,38.996815000000005
2068,2016,Dominican Republic,Syria,Refugees (incl. refugee-like situations),0,18.735692999999998,-70.162651,34.802075,38.996815000000005
2096,2016,Algeria,Syria,Refugees (incl. refugee-like situations),0,28.033886,1.6596259999999998,34.802075,38.996815000000005
2156,2016,Egypt,Syria,Refugees (incl. refugee-like situations),116013,26.820553000000004,30.802497999999996,34.802075,38.996815000000005
2255,2016,Spain,Syria,Refugees (incl. refugee-like situations),8205,40.463667,-3.7492199999999998,34.802075,38.996815000000005
2295,2016,Estonia,Syria,Refugees (incl. refugee-like situations),76,58.595271999999994,25.013607,34.802075,38.996815000000005
2326,2016,Ethiopia,Syria,Refugees (incl. refugee-like situations),9,9.145,40.489672999999996,34.802075,38.996815000000005
2411,2016,Finland,Syria,Refugees (incl. refugee-like situations),1677,61.92411,25.748151,34.802075,38.996815000000005
2560,2016,France,Syria,Refugees (incl. refugee-like situations),8991,46.227638,2.213749,34.802075,38.996815000000005
2604,2016,Gabon,Syria,Refugees (incl. refugee-like situations),0,-0.803689,11.609444,34.802075,38.996815000000005
2752,2016,United Kingdom,Syria,Refugees (incl. refugee-like situations),8269,55.378051,-3.435973,34.802075,38.996815000000005
2804,2016,Georgia,Syria,Refugees (incl. refugee-like situations),425,42.315407,43.356891999999995,34.802075,38.996815000000005
2840,2016,Ghana,Syria,Refugees (incl. refugee-like situations),8,7.946527000000001,-1.0231940000000002,34.802075,38.996815000000005
2883,2016,Guinea-Bissau,Syria,Refugees (incl. refugee-like situations),0,11.803749,-15.180413,34.802075,38.996815000000005
2966,2016,Greece,Syria,Refugees (incl. refugee-like situations),14420,39.074208,21.824312,34.802075,38.996815000000005
2982,2016,Grenada,Syria,Refugees (incl. refugee-like situations),0,12.262775999999999,-61.604170999999994,34.802075,38.996815000000005
