,Year,Country_Residence,Origin,Type,Count,Lat_Residence,Lon_Residence,Lat_Origin,Lon_Origin
1156,2016,Canada,Syria,Refugees (incl. refugee-like situations),2757,56.130366,-106.34677099999999,34.802075,38.996815000000005
4203,2016,Morocco,Syria,Refugees (incl. refugee-like situations),3242,31.791702,-7.09262,34.802075,38.996815000000005
6607,2016,Yemen,Syria,Refugees (incl. refugee-like situations),3249,15.552726999999999,48.516388,34.802075,38.996815000000005
1704,2016,Cyprus,Syria,Refugees (incl. refugee-like situations),4263,35.126413,33.429859,34.802075,38.996815000000005
6522,2016,United States,Syria,Refugees (incl. refugee-like situations),6444,37.09024,-95.712891,34.802075,38.996815000000005
5528,2016,Sudan,Syria,Refugees (incl. refugee-like situations),6997,12.862807,30.217636,34.802075,38.996815000000005
2255,2016,Spain,Syria,Refugees (incl. refugee-like situations),8205,40.463667,-3.7492199999999998,34.802075,38.996815000000005
2752,2016,United Kingdom,Syria,Refugees (incl. refugee-like situations),8269,55.378051,-3.435973,34.802075,38.996815000000005
2560,2016,France,Syria,Refugees (incl. refugee-like situations),8991,46.227638,2.213749,34.802075,38.996815000000005
623,2016,Belgium,Syria,Refugees (incl. refugee-like situations),9080,50.503887,4.469936,34.802075,38.996815000000005
1292,2016,Switzerland,Syria,Refugees (incl. refugee-like situations),11159,46.818188,8.227511999999999,34.802075,38.996815000000005
4871,2016,Norway,Syria,Refugees (incl. refugee-like situations),11537,60.472024,8.468946,34.802075,38.996815000000005
2966,2016,Greece,Syria,Refugees (incl. refugee-like situations),14420,39.074208,21.824312,34.802075,38.996815000000005
200,2016,Armenia,Syria,Refugees (incl. refugee-like situations),14626,40.069099,45.038189,34.802075,38.996815000000005
725,2016,Bulgaria,Syria,Refugees (incl. refugee-like situations),15027,42.733883,25.48583,34.802075,38.996815000000005
2039,2016,Denmark,Syria,Refugees (incl. refugee-like situations),18215,56.26392,9.501785,34.802075,38.996815000000005
4759,2016,Netherlands,Syria,Refugees (incl. refugee-like situations),28394,52.132633,5.291266,34.802075,38.996815000000005
459,2016,Austria,Syria,Refugees (incl. refugee-like situations),30958,47.516231,14.550072,34.802075,38.996815000000005
5858,2016,Sweden,Syria,Refugees (incl. refugee-like situations),96914,60.128161,18.643501,34.802075,38.996815000000005
2156,2016,Egypt,Syria,Refugees (incl. refugee-like situations),116013,26.820553000000004,30.802497999999996,34.802075,38.996815000000005
3382,2016,Iraq,Syria,Refugees (incl. refugee-like situations),230836,33.223191,43.679291,34.802075,38.996815000000005
1931,2016,Germany,Syria,Refugees (incl. refugee-like situations),375122,51.165690999999995,10.451526,34.802075,38.996815000000005
3636,2016,Jordan,Syria,Refugees (incl. refugee-like situations),648836,30.585164000000002,36.238414,34.802075,38.996815000000005
3911,2016,Lebanon,Syria,Refugees (incl. refugee-like situations),1005503,33.854721000000005,35.862285,34.802075,38.996815000000005
6180,2016,Turkey,Syria,Refugees (incl. refugee-like situations),2823987,38.963745,35.243322,34.802075,38.996815000000005
