,Country_Residence,Origin,Year,Count,Lat_Residence,Lon_Residence,Lat_Origin,Lon_Origin
0,Australia,Afghanistan,2016,2563,-25.274398,133.775136,33.93911,67.709953
2,Australia,Albania,2016,39,-25.274398,133.775136,41.153332,20.168331
4,Australia,Argentina,2016,6,-25.274398,133.775136,-38.416097,-63.616671999999994
5,Australia,Azerbaijan,2016,23,-25.274398,133.775136,40.143105,47.576927000000005
6,Australia,Burundi,2016,18,-25.274398,133.775136,-3.3730559999999996,29.918885999999997
7,Australia,Belgium,2016,6,-25.274398,133.775136,50.503887,4.469936
8,Australia,Bangladesh,2016,433,-25.274398,133.775136,23.684994,90.35633100000001
10,Australia,Bahrain,2016,9,-25.274398,133.775136,25.930414000000003,50.637772
12,Australia,Bosnia and Herzegovina,2016,9,-25.274398,133.775136,43.915886,17.679076000000002
14,Australia,Brazil,2016,27,-25.274398,133.775136,-14.235004,-51.92528
16,Australia,Bhutan,2016,8,-25.274398,133.775136,27.514162,90.433601
20,Australia,China,2016,1914,-25.274398,133.775136,35.86166,104.195397
21,Australia,Cameroon,2016,18,-25.274398,133.775136,7.369722,12.354722
23,Australia,Congo [DRC],2016,9,-25.274398,133.775136,-4.038333000000001,21.758664000000003
24,Australia,Colombia,2016,65,-25.274398,133.775136,4.570868,-74.297333
26,Australia,Cyprus,2016,6,-25.274398,133.775136,35.126413,33.429859
27,Australia,Germany,2016,18,-25.274398,133.775136,51.165690999999995,10.451526
28,Australia,Algeria,2016,15,-25.274398,133.775136,28.033886,1.6596259999999998
29,Australia,Egypt,2016,111,-25.274398,133.775136,26.820553000000004,30.802497999999996
30,Australia,Eritrea,2016,21,-25.274398,133.775136,15.179383999999999,39.782334000000006
31,Australia,Ethiopia,2016,102,-25.274398,133.775136,9.145,40.489672999999996
32,Australia,Fiji,2016,390,-25.274398,133.775136,-16.578193,179.414413
33,Australia,France,2016,25,-25.274398,133.775136,46.227638,2.213749
35,Australia,United Kingdom,2016,23,-25.274398,133.775136,55.378051,-3.435973
36,Australia,Georgia,2016,21,-25.274398,133.775136,42.315407,43.356891999999995
37,Australia,Ghana,2016,55,-25.274398,133.775136,7.946527000000001,-1.0231940000000002
38,Australia,Guinea,2016,12,-25.274398,133.775136,9.945587,-9.696645
39,Australia,Gambia,2016,9,-25.274398,133.775136,13.443182,-15.310139000000001
40,Australia,Greece,2016,20,-25.274398,133.775136,39.074208,21.824312
41,Australia,China,2016,46,-25.274398,133.775136,35.86166,104.195397
43,Australia,Croatia,2016,6,-25.274398,133.775136,45.1,15.2
46,Australia,Indonesia,2016,318,-25.274398,133.775136,-0.789275,113.921327
47,Australia,India,2016,1117,-25.274398,133.775136,20.593684,78.96288
48,Australia,Ireland,2016,15,-25.274398,133.775136,53.41291,-8.243889999999999
49,Australia,Iran,2016,2971,-25.274398,133.775136,32.427908,53.68804599999999
50,Australia,Iraq,2016,1378,-25.274398,133.775136,33.223191,43.679291
