,Year,Origin,Value,Value_2016
611,2016,Syria,5524333,5524333
596,2015,Syria,4873243,5524333
581,2014,Syria,3887491,5524333
566,2013,Syria,2468332,5524333
551,2012,Syria,729022,5524333
536,2011,Syria,19931,5524333
521,2010,Syria,18452,5524333
506,2009,Syria,17914,5524333
491,2008,Syria,15211,5524333
476,2007,Syria,13690,5524333
461,2006,Syria,12338,5524333
446,2005,Syria,16401,5524333
431,2004,Syria,21434,5524333
416,2003,Syria,20819,5524333
401,2002,Syria,18913,5524333
386,2001,Syria,4869,5524333
371,2000,Syria,5871,5524333
356,1999,Syria,6695,5524333
341,1998,Syria,8126,5524333
326,1997,Syria,8653,5524333
311,1996,Syria,8609,5524333
296,1995,Syria,7994,5524333
281,1994,Syria,7087,5524333
266,1993,Syria,5404,5524333
251,1992,Syria,4408,5524333
237,1991,Syria,3037,5524333
223,1990,Syria,2148,5524333
209,1989,Syria,397,5524333
195,1988,Syria,881,5524333
181,1987,Syria,20,5524333
168,1986,Syria,534,5524333
155,1985,Syria,2599,5524333
143,1984,Syria,529,5524333
133,1983,Syria,526,5524333
123,1982,Syria,504,5524333
111,1981,Syria,504,5524333
100,1980,Syria,502,5524333
90,1979,Syria,500,5524333
34,1969,Syria,1200,5524333
27,1968,Syria,1200,5524333
599,2016,Afghanistan,2501410,2501410
584,2015,Afghanistan,2666305,2501410
569,2014,Afghanistan,2596270,2501410
554,2013,Afghanistan,2556502,2501410
539,2012,Afghanistan,2586152,2501410
524,2011,Afghanistan,2664436,2501410
509,2010,Afghanistan,3054709,2501410
494,2009,Afghanistan,2887123,2501410
479,2008,Afghanistan,2833128,2501410
464,2007,Afghanistan,3057661,2501410
449,2006,Afghanistan,2107519,2501410
434,2005,Afghanistan,2166149,2501410
419,2004,Afghanistan,2414468,2501410
404,2003,Afghanistan,2136043,2501410
389,2002,Afghanistan,2510294,2501410
374,2001,Afghanistan,3809767,2501410
359,2000,Afghanistan,3587336,2501410
344,1999,Afghanistan,2601691,2501410
329,1998,Afghanistan,2667115,2501410
314,1997,Afghanistan,2676674,2501410
299,1996,Afghanistan,2674236,2501410
284,1995,Afghanistan,2679133,2501410
269,1994,Afghanistan,2731169,2501410
254,1993,Afghanistan,3374576,2501410
239,1992,Afghanistan,4552153,2501410
225,1991,Afghanistan,6306301,2501410
211,1990,Afghanistan,6339095,2501410
197,1989,Afghanistan,5643989,2501410
183,1988,Afghanistan,5622982,2501410
170,1987,Afghanistan,5511740,2501410
157,1986,Afghanistan,5094283,2501410
145,1985,Afghanistan,4653193,2501410
135,1984,Afghanistan,4417651,2501410
125,1983,Afghanistan,4712735,2501410
113,1982,Afghanistan,4488214,2501410
102,1981,Afghanistan,3879984,2501410
92,1980,Afghanistan,1734921,2501410
82,1979,Afghanistan,500000,2501410
609,2016,Somalia,1012277,1012277
594,2015,Somalia,1123156,1012277
579,2014,Somalia,1106434,1012277
564,2013,Somalia,1121770,1012277
549,2012,Somalia,1136719,1012277
534,2011,Somalia,1077048,1012277
519,2010,Somalia,770154,1012277
504,2009,Somalia,678309,1012277
489,2008,Somalia,561155,1012277
474,2007,Somalia,457356,1012277
459,2006,Somalia,464037,1012277
444,2005,Somalia,395553,1012277
429,2004,Somalia,389300,1012277
414,2003,Somalia,402336,1012277
399,2002,Somalia,432316,1012277
384,2001,Somalia,440134,1012277
369,2000,Somalia,475655,1012277
354,1999,Somalia,524613,1012277
339,1998,Somalia,557959,1012277
324,1997,Somalia,608094,1012277
309,1996,Somalia,636985,1012277
294,1995,Somalia,638698,1012277
279,1994,Somalia,631426,1012277
264,1993,Somalia,574617,1012277
249,1992,Somalia,797120,1012277
235,1991,Somalia,732594,1012277
221,1990,Somalia,470174,1012277
207,1989,Somalia,360309,1012277
193,1988,Somalia,351993,1012277
179,1987,Somalia,60162,1012277
166,1986,Somalia,3142,1012277
153,1985,Somalia,1830,1012277
141,1984,Somalia,639,1012277
131,1983,Somalia,39,1012277
121,1982,Somalia,118,1012277
109,1981,Somalia,34,1012277
98,1980,Somalia,134,1012277
88,1979,Somalia,90,1012277
79,1978,Somalia,90,1012277
71,1977,Somalia,60,1012277
65,1976,Somalia,50,1012277
59,1975,Somalia,110,1012277
610,2016,Sudan,650588,650588
595,2015,Sudan,627087,650588
580,2014,Sudan,665967,650588
565,2013,Sudan,648942,650588
550,2012,Sudan,568943,650588
535,2011,Sudan,500014,650588
520,2010,Sudan,387288,650588
505,2009,Sudan,368195,650588
490,2008,Sudan,419248,650588
475,2007,Sudan,523032,650588
460,2006,Sudan,686311,650588
445,2005,Sudan,693632,650588
430,2004,Sudan,730641,650588
415,2003,Sudan,606242,650588
400,2002,Sudan,508877,650588
385,2001,Sudan,489950,650588
370,2000,Sudan,494363,650588
355,1999,Sudan,485460,650588
340,1998,Sudan,390013,650588
325,1997,Sudan,364589,650588
310,1996,Sudan,475305,650588
295,1995,Sudan,445280,650588
280,1994,Sudan,405135,650588
265,1993,Sudan,393871,650588
250,1992,Sudan,267767,650588
236,1991,Sudan,196242,650588
222,1990,Sudan,523998,650588
208,1989,Sudan,438899,650588
194,1988,Sudan,347310,650588
180,1987,Sudan,253166,650588
167,1986,Sudan,132759,650588
154,1985,Sudan,180855,650588
142,1984,Sudan,180062,650588
132,1983,Sudan,31002,650588
122,1982,Sudan,5352,650588
110,1981,Sudan,5352,650588
99,1980,Sudan,10852,650588
89,1979,Sudan,10850,650588
80,1978,Sudan,10850,650588
72,1977,Sudan,10850,650588
66,1976,Sudan,10600,650588
60,1975,Sudan,11000,650588
55,1974,Sudan,11770,650588
51,1973,Sudan,13050,650588
47,1972,Sudan,128450,650588
42,1971,Sudan,171330,650588
38,1970,Sudan,172960,650588
