,Country_Residence,Origin,Lat_Residence,Lon_Residence,Lat_Origin,Lon_Origin,Count
0,Argentina,Colombia,-38.416097,-63.616671999999994,4.570868,-74.297333,218
1,Argentina,Costa Rica,-38.416097,-63.616671999999994,9.748917,-83.753428,1
2,Argentina,Ecuador,-38.416097,-63.616671999999994,-1.8312389999999998,-78.183406,6
3,Argentina,El Salvador,-38.416097,-63.616671999999994,13.794185,-88.89653,10
4,Argentina,Guatemala,-38.416097,-63.616671999999994,15.783470999999999,-90.23075899999999,1
5,Australia,Afghanistan,-25.274398,133.775136,33.93911,67.709953,23629
6,Australia,Albania,-25.274398,133.775136,41.153332,20.168331,99
7,Australia,Algeria,-25.274398,133.775136,28.033886,1.6596259999999998,90
8,Australia,Angola,-25.274398,133.775136,-11.202691999999999,17.873887,6
9,Australia,Argentina,-25.274398,133.775136,-38.416097,-63.616671999999994,6
10,Australia,Armenia,-25.274398,133.775136,40.069099,45.038189,41
11,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136,2
12,Australia,Austria,-25.274398,133.775136,47.516231,14.550072,19
13,Australia,Azerbaijan,-25.274398,133.775136,40.143105,47.576927000000005,38
14,Australia,Bahamas,-25.274398,133.775136,25.03428,-77.39628,0
15,Australia,Bahrain,-25.274398,133.775136,25.930414000000003,50.637772,9
16,Australia,Bangladesh,-25.274398,133.775136,23.684994,90.35633100000001,514
17,Australia,Belarus,-25.274398,133.775136,53.709807,27.953389,51
18,Australia,Belgium,-25.274398,133.775136,50.503887,4.469936,6
19,Australia,Benin,-25.274398,133.775136,9.30769,2.315834,15
20,Australia,Bhutan,-25.274398,133.775136,27.514162,90.433601,4055
21,Australia,Bosnia and Herzegovina,-25.274398,133.775136,43.915886,17.679076000000002,8550
22,Australia,Botswana,-25.274398,133.775136,-22.328474,24.684866,20
23,Australia,Brazil,-25.274398,133.775136,-14.235004,-51.92528,28
24,Australia,Bulgaria,-25.274398,133.775136,42.733883,25.48583,17
25,Australia,Burundi,-25.274398,133.775136,-3.3730559999999996,29.918885999999997,2615
26,Australia,Cambodia,-25.274398,133.775136,12.565679,104.990963,2063
27,Australia,Cameroon,-25.274398,133.775136,7.369722,12.354722,63
28,Australia,Canada,-25.274398,133.775136,56.130366,-106.34677099999999,0
29,Australia,Central African Republic,-25.274398,133.775136,6.611111,20.939444,14
30,Australia,Chad,-25.274398,133.775136,15.454166,18.732207,21
31,Australia,Chile,-25.274398,133.775136,-35.675146999999996,-71.542969,0
32,Australia,China,-25.274398,133.775136,35.86166,104.195397,2711
33,Australia,Colombia,-25.274398,133.775136,4.570868,-74.297333,141
