,index,Character,Count
0,Chandler,Monica,380
1,Chandler,Joey,374
2,Chandler,Ross,293
3,Chandler,Rachel,132
4,Chandler,Phoebe,128
0,Monica,Ross,267
1,Monica,Chandler,454
2,Monica,Rachel,294
3,Monica,Joey,291
4,Monica,Phoebe,341
0,Ross,Chandler,251
1,Ross,Rachel,398
2,Ross,Joey,285
3,Ross,Monica,197
4,Ross,Phoebe,161
0,Rachel,Monica,326
1,Rachel,Joey,403
2,Rachel,Ross,665
3,Rachel,Phoebe,286
4,Rachel,Chandler,200
0,Joey,Chandler,403
1,Joey,Rachel,198
2,Joey,Ross,426
3,Joey,Monica,200
4,Joey,Phoebe,141
0,Phoebe,Monica,289
1,Phoebe,Joey,211
2,Phoebe,Ross,251
3,Phoebe,Rachel,247
4,Phoebe,Chandler,210
