,Scripts,title,Character,negative,positive
3, Hey Eddie. Daahh!! What're you doin' here?,The One Where Eddie Won't Go,CHANDLER,0.0,0.5
4," Nothin' roomie, just watchin' you sleep.",The One Where Eddie Won't Go,EDDIE,0.0,0.0
5, Why?,The One Where Eddie Won't Go,CHANDLER,0.0,1.0
6," Makes me feel um, peaceful, heh-heh, please.",The One Where Eddie Won't Go,EDDIE,0.0,0.0
7, I can't sleep now.,The One Where Eddie Won't Go,CHANDLER,0.0,0.0
8, You want me to sing?,The One Where Eddie Won't Go,EDDIE,0.0,0.0
9," No, look, that's it, it's over, I want you out, I want you out of the apartment"", 'now.",The One Where Eddie Won't Go,CHANDLER,0.0,0.3333333333333333
10," Woah, woah, woah, what're, what're you talkin' about man.",The One Where Eddie Won't Go, EDDIE,0.0,0.0
11, Hannibal Lecter...better roommate than you.,The One Where Eddie Won't Go,CHANDLER,0.0,0.0
12," No. See now I don't think you're being fair. I mean one night"", ""you see me and you get scared, I mean, what about all the other nights when you don't see"", 'me, huh? What about last night when you went and got a drink of water and I was nice', ""enough to hide behind the door, what's that about, huh?",The One Where Eddie Won't Go, EDDIE,0.0,0.0
13, I didn't realize that.,The One Where Eddie Won't Go,CHANDLER,0.0,0.0
14, Yeah.,The One Where Eddie Won't Go,EDDIE,0.0,0.0
15, GET OUT NOW!!,The One Where Eddie Won't Go,CHANDLER,0.0,0.0
16," Ok, you really want me out?",The One Where Eddie Won't Go,EDDIE,0.0,0.0
17, Yes please.,The One Where Eddie Won't Go,CHANDLER,0.0,0.0
18," Ok, then I want to hear you say it, I, I want to hear you say', 'you want me out.",The One Where Eddie Won't Go, EDDIE,0.0,0.0
19, I want you out.,The One Where Eddie Won't Go,CHANDLER,0.0,0.0
20," No no no, I wanna hear it from your lips.",The One Where Eddie Won't Go,EDDIE,0.0,0.0
21, Where did you hear it from before?,The One Where Eddie Won't Go,CHANDLER,0.0,0.0
22," Oh, right, all right, you know what pallie I understand, consider me gone, you know', ""what, I'll be out by the time you get home from work tomorrow.",The One Where Eddie Won't Go,EDDIE,0.0,0.0
24, I heard that.,The One Where Eddie Won't Go,EDDIE,0.0,0.3333333333333333
27, Hey.,The One Where Eddie Won't Go,JOEY,0.25,0.5
28, Hey.,The One Where Eddie Won't Go,MONICA,0.0,0.3333333333333333
29," Hey. Whe-ell, look at you, finally got that time machine', ""workin' huh?",The One Where Eddie Won't Go, RACHEL,0.0,0.0
30," Seriously, you like it? This guy was sellin' them on 8th"", ""avenue and I looked at 'em and I though, you know what I don't have?",The One Where Eddie Won't Go, JOEY,0.16666666666666666,0.16666666666666666
