,Season,Character,count
0,1,Ross,952
1,1,Monica,872
2,1,Rachel,850
3,1,Chandler,817
4,1,Joey,640
5,1,Phoebe,637
142,2,Ross,816
143,2,Rachel,699
144,2,Chandler,665
145,2,Monica,642
146,2,Joey,607
147,2,Phoebe,559
302,3,Ross,1075
303,3,Rachel,925
304,3,Monica,847
305,3,Chandler,825
306,3,Phoebe,793
307,3,Joey,775
449,4,Chandler,912
450,4,Rachel,908
451,4,Joey,816
452,4,Ross,807
453,4,Monica,766
454,4,Phoebe,711
577,5,Chandler,941
578,5,Joey,932
579,5,Rachel,906
580,5,Monica,898
581,5,Ross,870
582,5,Phoebe,813
710,6,Chandler,1036
711,6,Rachel,993
712,6,Ross,912
713,6,Joey,907
714,6,Monica,900
715,6,Phoebe,787
842,7,Rachel,1097
843,7,Joey,949
844,7,Monica,911
845,7,Chandler,855
846,7,Ross,839
847,7,Phoebe,811
963,8,Rachel,1057
964,8,Ross,928
965,8,Joey,868
966,8,Monica,782
967,8,Phoebe,746
968,8,Chandler,644
1106,9,Ross,826
1107,9,Monica,773
1108,9,Joey,763
1109,9,Rachel,763
1110,9,Chandler,734
1111,9,Phoebe,628
1237,10,Ross,776
1238,10,Rachel,687
1239,10,Monica,628
1240,10,Joey,625
1241,10,Chandler,621
1242,10,Phoebe,615
