,Season,Character,count_x,total,count_y,share
0,1,Ross,952,,4768,19.966442953020135
1,1,Monica,872,4768.0,4768,18.288590604026847
2,1,Rachel,850,3988.0,4768,17.82718120805369
3,1,Chandler,817,5240.0,4768,17.13506711409396
4,1,Joey,640,4920.0,4768,13.422818791946309
5,1,Phoebe,637,5360.0,4768,13.35989932885906
6,2,Ross,816,5535.0,3988,20.46138415245737
7,2,Rachel,699,5462.0,3988,17.527582748244736
8,2,Chandler,665,5025.0,3988,16.675025075225676
9,2,Monica,642,4487.0,3988,16.098294884653964
10,2,Joey,607,3952.0,3988,15.220661985957873
11,2,Phoebe,559,,3988,14.01705115346038
12,3,Ross,1075,,5240,20.515267175572518
13,3,Rachel,925,,5240,17.65267175572519
14,3,Monica,847,,5240,16.16412213740458
15,3,Chandler,825,,5240,15.744274809160306
16,3,Phoebe,793,,5240,15.133587786259541
17,3,Joey,775,,5240,14.790076335877863
18,4,Chandler,912,,4920,18.536585365853657
19,4,Rachel,908,,4920,18.455284552845526
20,4,Joey,816,,4920,16.585365853658537
21,4,Ross,807,,4920,16.402439024390244
22,4,Monica,766,,4920,15.569105691056912
23,4,Phoebe,711,,4920,14.45121951219512
24,5,Chandler,941,,5360,17.55597014925373
25,5,Joey,932,,5360,17.388059701492537
26,5,Rachel,906,,5360,16.902985074626866
27,5,Monica,898,,5360,16.753731343283583
28,5,Ross,870,,5360,16.23134328358209
29,5,Phoebe,813,,5360,15.167910447761193
30,6,Chandler,1036,,5535,18.717253839205057
31,6,Rachel,993,,5535,17.940379403794037
32,6,Ross,912,,5535,16.476964769647697
33,6,Joey,907,,5535,16.386630532971996
34,6,Monica,900,,5535,16.260162601626014
35,6,Phoebe,787,,5535,14.218608852755194
36,7,Rachel,1097,,5462,20.084218235078726
37,7,Joey,949,,5462,17.374588062980592
38,7,Monica,911,,5462,16.678872207982423
39,7,Chandler,855,,5462,15.653606737458805
40,7,Ross,839,,5462,15.360673745880629
41,7,Phoebe,811,,5462,14.84804101061882
42,8,Rachel,1057,,5025,21.034825870646767
43,8,Ross,928,,5025,18.46766169154229
44,8,Joey,868,,5025,17.273631840796018
45,8,Monica,782,,5025,15.56218905472637
46,8,Phoebe,746,,5025,14.845771144278608
47,8,Chandler,644,,5025,12.81592039800995
48,9,Ross,826,,4487,18.408736349453978
49,9,Monica,773,,4487,17.227546244706932
50,9,Joey,763,,4487,17.004680187207487
51,9,Rachel,763,,4487,17.004680187207487
52,9,Chandler,734,,4487,16.358368620459103
53,9,Phoebe,628,,4487,13.99598841096501
54,10,Ross,776,,3952,19.63562753036437
55,10,Rachel,687,,3952,17.383603238866396
56,10,Monica,628,,3952,15.890688259109313
57,10,Joey,625,,3952,15.814777327935223
58,10,Chandler,621,,3952,15.713562753036436
59,10,Phoebe,615,,3952,15.561740890688258
