,Episode Number,Character,count
0,1,monica,73
1,1,rachel,48
2,1,ross,47
3,1,chandler,39
4,1,joey,39
5,1,phoebe,19
14,2,ross,63
15,2,rachel,38
16,2,monica,28
19,2,chandler,16
20,2,phoebe,14
23,2,joey,8
31,3,monica,52
32,3,phoebe,38
33,3,chandler,36
34,3,ross,33
35,3,joey,28
36,3,rachel,26
42,4,monica,47
43,4,rachel,43
44,4,ross,40
45,4,chandler,32
46,4,phoebe,31
47,4,joey,24
58,5,ross,40
59,5,rachel,37
60,5,joey,36
61,5,chandler,35
62,5,monica,33
63,5,phoebe,23
68,6,chandler,58
69,6,monica,34
70,6,joey,30
72,6,ross,22
73,6,rachel,15
75,6,phoebe,10
77,7,ross,53
78,7,rachel,43
79,7,joey,27
80,7,chandler,25
81,7,phoebe,24
82,7,monica,23
88,8,ross,48
89,8,chandler,37
90,8,monica,34
92,8,rachel,18
93,8,phoebe,16
95,8,joey,11
102,9,monica,48
103,9,ross,36
104,9,rachel,35
105,9,joey,32
106,9,chandler,26
107,9,phoebe,20
115,10,phoebe,49
116,10,chandler,31
117,10,ross,29
119,10,monica,23
120,10,joey,19
121,10,rachel,18
128,11,ross,62
129,11,chandler,42
130,11,monica,41
131,11,phoebe,40
132,11,joey,32
134,11,rachel,19
141,12,ross,51
142,12,phoebe,42
143,12,rachel,37
144,12,chandler,33
145,12,joey,32
146,12,monica,23
158,13,joey,43
159,13,chandler,35
160,13,phoebe,27
161,13,rachel,27
165,13,monica,18
166,13,ross,12
169,14,chandler,40
171,14,ross,22
172,14,joey,21
173,14,monica,21
174,14,rachel,19
175,14,phoebe,11
185,15,monica,40
186,15,ross,38
187,15,chandler,36
188,15,rachel,33
189,15,joey,32
190,15,phoebe,30
196,16,chandler,51
197,16,phoebe,38
198,16,ross,32
199,16,joey,26
200,16,rachel,22
201,16,monica,17
221,17,monica,56
222,17,rachel,53
223,17,ross,34
224,17,phoebe,32
225,17,joey,26
226,17,chandler,20
238,18,rachel,69
239,18,ross,62
240,18,monica,39
241,18,phoebe,35
242,18,chandler,32
243,18,joey,26
250,19,rachel,57
251,19,ross,50
252,19,monica,37
253,19,phoebe,23
254,19,chandler,18
255,19,joey,17
268,20,rachel,57
269,20,chandler,42
270,20,monica,31
271,20,joey,23
273,20,ross,20
274,20,phoebe,18
281,21,monica,51
282,21,rachel,30
283,21,ross,29
284,21,chandler,20
285,21,joey,20
287,21,phoebe,14
298,22,chandler,57
299,22,monica,48
300,22,phoebe,42
301,22,ross,36
302,22,rachel,34
304,22,joey,22
313,23,ross,56
315,23,joey,25
317,23,rachel,22
318,23,chandler,21
320,23,monica,20
321,23,phoebe,19
329,24,rachel,53
330,24,joey,41
331,24,monica,38
332,24,ross,37
333,24,chandler,35
334,24,phoebe,22
343,25,rachel,46
344,25,ross,45
345,25,phoebe,33
346,25,chandler,27
347,25,monica,27
348,25,joey,22
353,26,rachel,35
354,26,monica,32
355,26,joey,25
356,26,ross,23
357,26,phoebe,21
358,26,chandler,15
369,27,chandler,45
370,27,monica,31
371,27,phoebe,29
372,27,rachel,29
373,27,joey,24
374,27,ross,24
381,28,rachel,49
382,28,ross,45
383,28,phoebe,34
385,28,chandler,17
386,28,monica,16
387,28,joey,13
392,29,chandler,64
393,29,ross,56
394,29,monica,39
395,29,rachel,32
396,29,joey,31
397,29,phoebe,25
406,30,chandler,36
407,30,joey,35
408,30,phoebe,35
409,30,ross,32
410,30,monica,28
411,30,rachel,24
423,31,rachel,61
424,31,ross,38
425,31,chandler,25
426,31,phoebe,23
427,31,monica,20
428,31,joey,18
434,32,ross,48
439,32,joey,18
446,33,phoebe,50
447,33,ross,37
448,33,joey,34
449,33,monica,32
450,33,chandler,31
451,33,rachel,26
458,34,ross,39
462,34,joey,34
471,35,ross,40
472,35,rachel,36
473,35,monica,29
474,35,phoebe,28
477,35,chandler,20
478,35,joey,18
487,36,chandler,67
488,36,joey,63
489,36,rachel,51
490,36,ross,49
491,36,phoebe,48
492,36,monica,45
512,37,monica,43
513,37,ross,43
514,37,chandler,36
515,37,rachel,29
517,37,joey,21
519,37,phoebe,16
530,38,ross,55
531,38,rachel,52
532,38,monica,46
534,38,chandler,19
535,38,joey,18
536,38,phoebe,16
543,39,joey,46
544,39,chandler,42
545,39,monica,34
546,39,phoebe,28
547,39,rachel,28
549,39,ross,22
556,42,joey,78
557,42,chandler,67
558,42,monica,63
559,42,rachel,58
560,42,ross,58
561,42,phoebe,43
577,43,ross,108
578,43,rachel,86
579,43,monica,72
580,43,chandler,68
581,43,joey,61
582,43,phoebe,45
594,44,ross,77
595,44,rachel,45
596,44,chandler,42
597,44,joey,37
598,44,monica,33
599,44,phoebe,29
610,45,joey,37
611,45,phoebe,37
612,45,ross,35
613,45,monica,34
614,45,rachel,31
615,45,chandler,27
622,46,chandler,48
623,46,joey,43
624,46,phoebe,36
625,46,monica,26
626,46,rachel,22
627,46,ross,21
639,47,phoebe,55
641,47,chandler,41
642,47,joey,35
643,47,ross,35
644,47,rachel,26
645,47,monica,25
651,48,monica,58
652,48,chandler,42
653,48,phoebe,42
654,48,ross,32
655,48,joey,25
656,48,rachel,21
666,49,ross,52
667,49,rachel,37
668,49,joey,34
670,49,phoebe,31
671,49,monica,16
672,49,chandler,12
