,unamed,Episode_Number,Character,count
0,0,1,monica,73
1,1,1,rachel,48
2,2,1,ross,47
3,3,1,chandler,39
4,4,1,joey,39
5,5,1,phoebe,19
6,14,2,ross,63
7,15,2,rachel,38
8,16,2,monica,28
9,19,2,chandler,16
10,20,2,phoebe,14
11,23,2,joey,8
12,31,3,monica,52
13,32,3,phoebe,38
14,33,3,chandler,36
15,34,3,ross,33
16,35,3,joey,28
17,36,3,rachel,26
18,42,4,monica,47
19,43,4,rachel,43
20,44,4,ross,40
21,45,4,chandler,32
22,46,4,phoebe,31
23,47,4,joey,24
24,58,5,ross,40
25,59,5,rachel,37
26,60,5,joey,36
27,61,5,chandler,35
28,62,5,monica,33
29,63,5,phoebe,23
30,68,6,chandler,58
31,69,6,monica,34
32,70,6,joey,30
33,72,6,ross,22
34,73,6,rachel,15
35,75,6,phoebe,10
36,77,7,ross,53
37,78,7,rachel,43
38,79,7,joey,27
39,80,7,chandler,25
40,81,7,phoebe,24
41,82,7,monica,23
42,88,8,ross,48
43,89,8,chandler,37
44,90,8,monica,34
45,92,8,rachel,18
46,93,8,phoebe,16
47,95,8,joey,11
48,102,9,monica,48
49,103,9,ross,36
50,104,9,rachel,35
51,105,9,joey,32
52,106,9,chandler,26
53,107,9,phoebe,20
54,115,10,phoebe,49
55,116,10,chandler,31
56,117,10,ross,29
57,119,10,monica,23
58,120,10,joey,19
59,121,10,rachel,18
60,128,11,ross,62
61,129,11,chandler,42
62,130,11,monica,41
63,131,11,phoebe,40
64,132,11,joey,32
65,134,11,rachel,19
66,141,12,ross,51
67,142,12,phoebe,42
68,143,12,rachel,37
69,144,12,chandler,33
70,145,12,joey,32
71,146,12,monica,23
72,158,13,joey,43
73,159,13,chandler,35
74,160,13,phoebe,27
75,161,13,rachel,27
76,165,13,monica,18
77,166,13,ross,12
78,169,14,chandler,40
79,171,14,ross,22
80,172,14,joey,21
81,173,14,monica,21
82,174,14,rachel,19
83,175,14,phoebe,11
84,185,15,monica,40
85,186,15,ross,38
86,187,15,chandler,36
87,188,15,rachel,33
88,189,15,joey,32
89,190,15,phoebe,30
90,196,16,chandler,51
91,197,16,phoebe,38
92,198,16,ross,32
93,199,16,joey,26
94,200,16,rachel,22
95,201,16,monica,17
96,221,17,monica,56
97,222,17,rachel,53
98,223,17,ross,34
99,224,17,phoebe,32
100,225,17,joey,26
101,226,17,chandler,20
102,238,18,rachel,69
103,239,18,ross,62
104,240,18,monica,39
105,241,18,phoebe,35
106,242,18,chandler,32
107,243,18,joey,26
108,250,19,rachel,57
109,251,19,ross,50
110,252,19,monica,37
111,253,19,phoebe,23
112,254,19,chandler,18
113,255,19,joey,17
114,268,20,rachel,57
115,269,20,chandler,42
116,270,20,monica,31
117,271,20,joey,23
118,273,20,ross,20
119,274,20,phoebe,18
120,281,21,monica,51
121,282,21,rachel,30
122,283,21,ross,29
123,284,21,chandler,20
124,285,21,joey,20
125,287,21,phoebe,14
126,298,22,chandler,57
127,299,22,monica,48
128,300,22,phoebe,42
129,301,22,ross,36
130,302,22,rachel,34
131,304,22,joey,22
132,313,23,ross,56
133,315,23,joey,25
134,317,23,rachel,22
135,318,23,chandler,21
136,320,23,monica,20
137,321,23,phoebe,19
138,329,24,rachel,53
139,330,24,joey,41
140,331,24,monica,38
141,332,24,ross,37
142,333,24,chandler,35
143,334,24,phoebe,22
144,343,25,rachel,46
145,344,25,ross,45
146,345,25,phoebe,33
147,346,25,chandler,27
148,347,25,monica,27
149,348,25,joey,22
150,353,26,rachel,35
151,354,26,monica,32
152,355,26,joey,25
153,356,26,ross,23
154,357,26,phoebe,21
155,358,26,chandler,15
