,Episode Number,Character,negative,positive
1,1,chandler,0.09401709397435898,0.1912698412820513
4,1,joey,0.17519175982051283,0.07435897438461539
5,1,monica,0.09223744291780822,0.18949771689041095
7,1,phoebe,0.16845238089473683,0.234085213
10,1,rachel,0.027430555562500004,0.20353835977083332
11,1,ross,0.06745771959574468,0.1927714129574468
18,2,chandler,0.1149305555,0.1625
21,2,joey,0.28125,0.125
23,2,monica,0.07185374153571429,0.14625850342857144
26,2,phoebe,0.17857142857142858,0.2857142857142857
27,2,rachel,0.04981203005263158,0.21130952376315792
29,2,ross,0.0869809203015873,0.26017545066666664
33,3,chandler,0.09044312169444446,0.19348544972222223
34,3,joey,0.14880952382142856,0.11309523807142859
36,3,monica,0.10096153846153846,0.16346153846153846
38,3,phoebe,0.06085526313157894,0.18671251989473683
39,3,rachel,0.10384615384615385,0.14038461538461539
40,3,ross,0.09898989896969698,0.09696969693939395
44,4,chandler,0.07616185896875001,0.1211137820625
47,4,joey,0.11909722220833335,0.18993055554166663
51,4,monica,0.10658561295744683,0.1223404255106383
53,4,phoebe,0.15371456499999997,0.18690941674193548
55,4,rachel,0.06589147286046512,0.22441860465116276
57,4,ross,0.04958333332499999,0.14708333335
60,5,chandler,0.05935374151428571,0.15476190477142857
62,5,joey,0.09193121694444445,0.3270502645555556
63,5,monica,0.09949494948484848,0.1565656565454545
64,5,phoebe,0.09420289856521738,0.19347826086956524
65,5,rachel,0.08873873872972973,0.11441441440540541
66,5,ross,0.049146825425000006,0.13272817460000003
70,6,chandler,0.11389257291379312,0.2207217590862069
72,6,joey,0.07126984123333333,0.14873015873333334
73,6,monica,0.1107970460882353,0.22932263817647058
74,6,phoebe,0.0230769231,0.2887179487
75,6,rachel,0.10555555553333335,0.13277777773333332
76,6,ross,0.05833333331818182,0.051515151499999995
78,7,chandler,0.08252380948,0.10942857144000001
80,7,joey,0.018518518518518517,0.28738977074074074
81,7,monica,0.043478260869565216,0.1732919254782609
85,7,phoebe,0.13055555554166667,0.09791666666666667
86,7,rachel,0.033720930232558136,0.13527131781395352
87,7,ross,0.08824383164150942,0.20812772132075472
91,8,chandler,0.06306306305405406,0.22522522521621618
92,8,joey,0.11363636363636363,0.045454545454545456
94,8,monica,0.06225490194117647,0.11470588235294119
98,8,phoebe,0.150297619,0.060267857125
99,8,rachel,0.013888888888888888,0.1435185185
100,8,ross,0.12227182539583333,0.20818452379166666
105,9,chandler,0.07721445223076923,0.1896853146923077
108,9,joey,0.1348958333125,0.09375
109,9,monica,0.12800925925,0.16730324075
110,9,phoebe,0.08416666665,0.18916666669999999
111,9,rachel,0.06404761902857142,0.13285714282857142
112,9,ross,0.19768518519444445,0.29152421655555555
116,10,chandler,0.19536843087096775,0.22822929761290325
121,10,joey,0.15263157894736842,0.22894736842105262
123,10,monica,0.06521739130434782,0.27536231882608697
124,10,phoebe,0.07891156463265306,0.19713313895918366
125,10,rachel,0.11686795494444444,0.19855072461111112
126,10,ross,0.05418719210344827,0.12972085386206897
129,11,chandler,0.23100907028571424,0.21768707483333335
133,11,joey,0.14166666662500002,0.3255208333125
134,11,monica,0.021864991365853657,0.13510540948780486
138,11,phoebe,0.027916666649999998,0.064583333325
139,11,rachel,0.09649122805263159,0.1629072682105263
140,11,ross,0.09773425499999998,0.11386328724193547
143,12,chandler,0.041245791242424244,0.12373737372727271
147,12,joey,0.034375,0.15624999996875
150,12,monica,0.045341614913043476,0.20355417530434786
152,12,phoebe,0.1514913657857143,0.15133874064285716
154,12,rachel,0.1379129129189189,0.15007507505405407
156,12,ross,0.11666666666666667,0.2533380018823529
159,13,chandler,0.10238095237142858,0.09857142857142857
160,13,joey,0.053875968999999996,0.10002768546511628
161,13,monica,0.16666666666666666,0.009259259277777777
164,13,phoebe,0.1287477954074074,0.3476631393703704
165,13,rachel,0.09670781892592593,0.09700176366666667
168,13,ross,0.17916666666666667,0.075
170,14,chandler,0.075714285725,0.25470238097500003
175,14,joey,0.09580498871428571,0.20578231290476193
178,14,monica,0.011904761904761904,0.14285714285714285
179,14,phoebe,0.05844155845454546,0.26839826845454545
180,14,rachel,0.008771929842105263,0.17105263152631578
182,14,ross,0.16363636363636364,0.2233225108181818
187,15,chandler,0.06677910052777779,0.24739417988888887
188,15,joey,0.046875,0.0985863095
189,15,monica,0.0579861111,0.24402777777499995
191,15,phoebe,0.07777777776666667,0.15970899469999997
192,15,rachel,0.10858585857575757,0.15151515148484848
193,15,ross,0.10958646618421053,0.13677944860526314
200,16,chandler,0.13144257701960785,0.2063958916862745
205,16,joey,0.03205128203846154,0.20512820511538463
206,16,monica,0.06862745094117648,0.14705882352941177
211,16,phoebe,0.104197995,0.24849624060526315
212,16,rachel,0.10606060604545454,0.30573593072727273
214,16,ross,0.079727564125,0.1526442308125
222,17,chandler,0.04166666665,0.20416666665000002
226,17,joey,0.012820512807692308,0.28525641023076925
227,17,monica,0.09801478282142857,0.1664131999285714
230,17,phoebe,0.03854166665625,0.1680871211875
232,17,rachel,0.09027403415094339,0.23205300986792451
234,17,ross,0.0661764705882353,0.15049019605882355
240,18,chandler,0.019270833343750002,0.13058035715625
244,18,joey,0.07211538461538461,0.20833333334615384
245,18,monica,0.11752136751282051,0.16117216117948718
246,18,phoebe,0.09047619045714286,0.14666666665714284
248,18,rachel,0.09037267081159422,0.13747412007246373
249,18,ross,0.03910068425806452,0.14217986316129033
254,19,chandler,0.08333333333333333,0.18055555555555555
256,19,joey,0.1274509804117647,0.13725490194117648
258,19,monica,0.04761904762162162,0.1463963963783784
261,19,phoebe,0.16459627330434784,0.13302277430434784
262,19,rachel,0.07194374824561403,0.19406850459649125
263,19,ross,0.17813014436000002,0.11646656611999999
272,20,chandler,0.07480158728571429,0.12638888885714283
274,20,joey,0.05797101447826088,0.09685990334782608
277,20,monica,0.008064516129032258,0.2607526881612903
278,20,phoebe,0.0308641975,0.1435185185
279,20,rachel,0.1342592592631579,0.1876218323508772
280,20,ross,0.12833333335,0.11166666665
285,21,chandler,0.0375,0.08499999999999999
289,21,joey,0.06666666665000001,0.1625
290,21,monica,0.10786647992156864,0.10032679737254901
292,21,phoebe,0.23095238092857143,0.28095238092857144
294,21,rachel,0.1625,0.10083333333333333
295,21,ross,0.05858337065517241,0.18742598396551724
300,22,chandler,0.05701754385964912,0.1492898914035088
302,22,joey,0.045454545454545456,0.14772727272727273
304,22,monica,0.06096230158333333,0.15322420633333333
306,22,phoebe,0.0021645021666666666,0.14779942278571429
308,22,rachel,0.03921568626470589,0.15196078432352939
309,22,ross,0.03547008547222222,0.23205128205555553
315,23,chandler,0.025396825380952386,0.2009070295238095
319,23,joey,0.07857142856,0.1563809524
321,23,monica,0.025,0.2404761905
323,23,phoebe,0.05132148557894737,0.16886534521052632
324,23,rachel,0.011363636363636364,0.22727272727272727
325,23,ross,0.09863236960714286,0.16354166664285713
330,24,chandler,0.1345238095142857,0.18452380951428574
333,24,joey,0.058401084000000006,0.16859272163414635
337,24,monica,0.10921052631578947,0.16754385965789473
339,24,phoebe,0.006493506500000001,0.14664502163636364
340,24,rachel,0.09811320754716982,0.2806603773207548
341,24,ross,0.033783783783783786,0.13445945945945945
344,25,chandler,0.15679012340740742,0.15246913581481483
346,25,joey,0.10261707986363637,0.14318181813636366
348,25,monica,0.04259259259259259,0.1925925925925926
350,25,phoebe,0.07642211590909091,0.18280929596969697
351,25,rachel,0.08913043476086957,0.13804347828260868
352,25,ross,0.1088985089111111,0.09991582493333331
357,26,chandler,0.04444444446666666,0.11111111113333333
361,26,joey,0.08777777776000001,0.16200000000000003
363,26,monica,0.17403273809375003,0.25874255953125
364,26,phoebe,0.1412698412857143,0.21587301585714289
365,26,rachel,0.13333333331428573,0.1775510204
366,26,ross,0.13198757765217392,0.3291925466086957
371,27,chandler,0.12135642135555555,0.11449895782222222
373,27,joey,0.07916666666666666,0.15277777779166665
374,27,monica,0.1295698924516129,0.10322580645161289
378,27,phoebe,0.05766774731034483,0.2893407996551724
379,27,rachel,0.06321839079310346,0.20114942527586208
380,27,ross,0.019097222208333334,0.33106303420833333
382,28,chandler,0.13725490194117648,0.058823529411764705
384,28,joey,0.1510989010769231,0.08104395607692308
386,28,monica,0.1822916666875,0.171875
388,28,phoebe,0.007352941176470588,0.2302521008529412
389,28,rachel,0.1292517006530612,0.2607709750408163
390,28,ross,0.1556902356888889,0.22599326597777775
393,29,chandler,0.08256448414062499,0.133804563484375
395,29,joey,0.03686635945161291,0.1987327189032258
397,29,monica,0.13931154317948719,0.2107401145897436
398,29,phoebe,0.031333333320000004,0.13133333332000002
399,29,rachel,0.015625,0.20312499999999997
400,29,ross,0.07053571428571428,0.21210317458928576
407,30,chandler,0.09325396825,0.2655423280277778
413,30,joey,0.09318419677142857,0.12629513342857143
415,30,monica,0.23809523810714286,0.2559523809285714
416,30,phoebe,0.06909812411428572,0.12644403217142855
417,30,rachel,0.010416666666666666,0.2574404762083333
418,30,ross,0.16592261903124997,0.16889880953125
424,31,chandler,0.2416491228,0.17600000000000002
426,31,joey,0.04259259261111111,0.09444444444444444
429,31,monica,0.09166666665,0.058333333349999995
430,31,phoebe,0.05700483091304349,0.22270531400000002
431,31,rachel,0.11764956355737706,0.18489106521311477
432,31,ross,0.04122807018421053,0.15789473684210525
436,32,joey,0.08055555555555555,0.2212962963333333
444,32,ross,0.15262896824999997,0.11130952381249999
446,33,chandler,0.08812692683580645,0.0776105614783871
451,33,joey,0.051470588235294115,0.21253501400588234
452,33,monica,0.07395833333125,0.2107142857125
454,33,phoebe,0.047,0.19333333333199998
455,33,rachel,0.11217948717692307,0.06282051281923076
456,33,ross,0.039639639637837835,0.12252252252162162
463,34,joey,0.10934873950000001,0.17065826329411765
468,34,ross,0.09829059828205129,0.18105413105128207
473,35,chandler,0.14583333330000003,0.065
