,Season,Character,negative,positive
24,1,Chandler,0.09113661259730721,0.17894608723500607
59,1,Joey,0.0862771863515625,0.17299045138124997
79,1,Monica,0.08102429552637615,0.1666205608876147
100,1,Phoebe,0.09001328777080062,0.17845322085400317
108,1,Rachel,0.08187354361764708,0.176969776302353
117,1,Ross,0.09112956354306727,0.17021387688970593
176,2,Chandler,0.10263404075803585,0.13199860707214675
221,2,Joey,0.0758774083320558,0.17500579687519055
236,2,Monica,0.09700807153984074,0.18516202990411176
262,2,Phoebe,0.07283574587384956,0.19501221734421417
265,2,Rachel,0.07333100977444436,0.18990666634000572
272,2,Ross,0.07835559728831115,0.18229653482359148
322,3,Chandler,0.10597722086545455,0.1809777310133333
363,3,Joey,0.07755171279741936,0.14659445446709682
387,3,Monica,0.08146923220188902,0.16560021125265645
400,3,Phoebe,0.09810344657124842,0.18487231033039087
406,3,Rachel,0.10082356659243243,0.17716430860756766
416,3,Ross,0.09531186202046513,0.1624429943023255
462,4,Chandler,0.09919750193311405,0.16430953999780706
492,4,Joey,0.08305087817401961,0.14691218026960787
508,4,Monica,0.11147022144125326,0.180408834156658
533,4,Phoebe,0.10218541983122363,0.21115871720112503
538,4,Rachel,0.07876091672687224,0.1866618943744493
542,4,Ross,0.07813314446840149,0.1655283999578687
592,5,Chandler,0.07738753158448461,0.1837173748342189
638,5,Joey,0.07935141451824036,0.15934884211909878
652,5,Monica,0.08999368609131404,0.18022457930400906
666,5,Phoebe,0.09513822143788435,0.18462582679950792
670,5,Rachel,0.09950882108057399,0.18550300966225172
672,5,Ross,0.10304152228045982,0.15477766974022994
731,6,Chandler,0.10227081855598456,0.18762112639382242
767,6,Joey,0.09010517076515988,0.18658595476957018
782,6,Monica,0.09920715692222223,0.18564512190888907
799,6,Phoebe,0.11315892719440915,0.1707289997369759
804,6,Rachel,0.09784603654682784,0.18705182989325295
810,6,Ross,0.10020865750657897,0.1566320606381579
855,7,Chandler,0.09090017681871344,0.18106669807953218
880,7,Joey,0.08858944527291886,0.18060408019599575
903,7,Monica,0.07386158875192096,0.1825066650669594
915,7,Phoebe,0.09648604168310733,0.20686640490628863
919,7,Rachel,0.08812263144667279,0.18420336373290802
923,7,Ross,0.08554100601787844,0.15987439595828368
1004,8,Chandler,0.10090781371273294,0.1975587171552795
1035,8,Joey,0.09689198729953921,0.18363302177534557
1054,8,Monica,0.09655962571483379,0.1980474369207163
1068,8,Phoebe,0.0995045626621984,0.2020533790817694
1072,8,Rachel,0.09297857613339641,0.2018129300482499
1075,8,Ross,0.08968232930172418,0.19580102449676728
1129,9,Chandler,0.11380857726992781,0.206251706966524
1153,9,Joey,0.10976329989711708,0.16042606002563004
1170,9,Monica,0.10826055322697124,0.20215040816395535
1186,9,Phoebe,0.09625821634047883,0.18675612189814145
1200,9,Rachel,0.08580136982674134,0.21997685879238169
1207,9,Ross,0.0846143177711875,0.21516036610792022
1258,10,Chandler,0.09256139726731079,0.20438703807568437
1288,10,Joey,0.1055553652784,0.1582721917248
1307,10,Monica,0.08834546556847132,0.22570191220222935
1323,10,Phoebe,0.07553204698699184,0.20282152354796754
1335,10,Rachel,0.08146662087045121,0.2162388880655024
1343,10,Ross,0.0911131716198454,0.21564964602319597
