,Season,Character,lines
0,1,ross,952
1,1,monica,872
2,1,rachel,850
3,1,chandler,817
4,1,joey,640
5,1,phoebe,637
6,1,all,91
7,1,carol,79
8,1,susan,69
9,1,janice,38
10,1,barry,35
11,1,mrs. geller,33
12,1,aurora,29
13,1,david,28
14,1,mrs. bing,28
15,1,young ethan,28
16,1,mr. geller,25
17,1,roger,24
18,1,mr. tribbiani,23
19,1,paolo,23
20,1,steve,23
21,1,mindy,22
22,1,lydia,21
23,1,ursula,20
24,1,ronni,19
25,1,fake monica,18
26,1,mr. heckles,18
27,1,nurse,17
28,1,paul,17
29,1,dr. franzblau,16
30,1,luisa,16
31,1,teacher,16
32,1,jill,14
33,1,nina,14
34,1,woman,14
35,1,angela,13
36,1,dr. mitchell,13
37,1,max,13
38,1,jamie,11
39,1,lizzie,11
40,1,shelley,11
41,1,dr. rosen,10
42,1,mr. douglas,9
43,1,aunt lillian,8
44,1,flight attendant,8
45,1,girl,8
46,1,melanie,8
47,1,mrs. tribbiani,8
48,1,coma guy,7
49,1,director,7
50,1,dr. baldhara,7
51,1,fran,7
52,1,lowell,7
53,1,pizza guy,7
54,1,alan,6
55,1,carl,6
56,1,celia,6
57,1,paula,6
58,1,receptionist,6
59,1,aunt iris,5
60,1,chandler and joey,5
61,1,danielle,5
62,1,frannie,5
63,1,guy,5
64,1,joanne,5
65,1,joey and chandler,5
66,1,kristin,5
67,1,monica and phoebe,5
68,1,robbie,5
69,1,bob,4
70,1,fireman no. 3,4
71,1,guys,4
72,1,jay leno,4
73,1,kiki,4
74,1,lorraine,4
75,1,marsha,4
76,1,mr.heckles,4
77,1,sandy,4
78,1,woman no. 1,4
79,1,bernice,3
80,1,both,3
81,1,fireman no. 1,3
82,1,fireman no. 2,3
83,1,girls,3
84,1,julie,3
85,1,kid,3
86,1,leslie,3
87,1,man,3
88,1,monica ,3
89,1,phoebe and rachel,3
90,1,rachel ,3
91,1,andrea,2
92,1,bobby,2
93,1,casting director no. 2,2
94,1,customer,2
95,1,dick clark,2
96,1,dr. oberman,2
97,1,fun bobby,2
98,1,gerston,2
99,1,helen,2
100,1,intercom,2
101,1,phoebe's assistant,2
102,1,rachel and monica,2
103,1,rachel and phoebe,2
104,1,ross and rachel,2
105,1,santos,2
106,1,terry,2
107,1,(joey turns around and sees his face on a poster in the subway. the poster says,1
108,1,(scene,1
109,1,(scene 4,1
110,1,[scene,1
111,1,[scene 13,1
112,1,actor,1
113,1,carol and susan,1
114,1,casting director no. 1,1
115,1,chandler and ross,1
116,1,janitor,1
117,1,joey and ross,1
118,1,"joey, chander, and ross",1
119,1,"joey, chandler, and ross",1
120,1,monica and rachel,1
121,1,"monica, joey, and phoebe",1
122,1,mrs. tedlock,1
123,1,pa,1
124,1,petrie,1
125,1,phoebe's friends,1
126,1,"phoebe, joey, and ross",1
127,1,"phoebe, ross, chandler, and joey",1
128,1,priest on tv,1
129,1,rachel and chandler,1
130,1,ross and chandler,1
131,1,ross and julie,1
132,1,ross and susan,1
133,1,"ross, rachel, and phoebe",1
134,1,soothing male voice,1
135,1,story by,1
136,1,susan and ross,1
137,1,the guys,1
138,1,the whole party,1
139,1,waitress,1
140,1,woman no. 2,1
141,1,{transcriber's note,1
142,2,ross,816
143,2,rachel,699
144,2,chandler,665
145,2,monica,642
146,2,joey,607
147,2,phoebe,559
148,2,richard,124
149,2,mnca,87
150,2,rach,80
151,2,chan,57
152,2,phoe,57
153,2,eddie,50
154,2,carol,46
155,2,mr. geller,42
156,2,julie,41
157,2,mrs. geller,41
158,2,all,38
159,2,susie,35
160,2,ryan,31
161,2,dr. burke,27
162,2,fbob,27
163,2,erica,26
164,2,mrs green,23
165,2,russ,23
166,2, monica,22
167,2,mr. greene,22
168,2,susan,22
169,2,duncan,20
170,2,mrs. greene,20
171,2, phoebe,19
172,2, rachel,18
173,2,big bully,18
174,2,grandmother,18
175,2,little bully,18
176,2,rtst,18
177,2,jade,16
178,2, joey,15
179,2, ross,15
180,2,rob,15
181,2,michael,14
182,2,stephanie,14
183,2,van damme,14
184,2,frank,13
185,2, chandler,12
186,2,interviewer,12
187,2,janitor,12
188,2,mr. treeger,12
189,2,waiter,11
190,2,chandler and joey,10
191,2,gunther,10
192,2,dr. remore,9
193,2,hombre man,9
194,2,janice,8
195,2,mr a,8
196,2,annabelle,7
197,2,guy,7
198,2,terry,7
199,2,woman,7
200,2,director's assistant,6
201,2,estelle,6
202,2,estl,6
203,2,gang,6
204,2,lipson,6
205,2,mrs buffay,6
206,2,amber,5
207,2,ben,5
208,2,mindy,5
209,2,tilly,5
210,2, big bully,4
211,2, richard,4
