,Scripts,title,Character,Season
7," And that's why, no matter what mommy says, we really were on a break."", '(baby talk) Yes we were! Yes we were! (picks Emma up) Come here gorgeous.', '(puts her on his knees and talks to her) Oh! Look at you! You are the cutest', ""little baby ever! You're just a... a little bitty baby, you know that? But"", ""you've got... (in a softer voice) You've got big beautiful eyes... Yes you"", ""do... and a... and a big round belly. (emphasises the B's) Big baby butt! I"", 'like big butts. (raps) I like big butts and I cannot lie / you other', ""brothers can't deny / when a girl walks in with an itty, bitty, waist / and"", ""a round thing in your face you get...(Emma laughs) Oh my God, Emma... you're"", ""laughing! Oh my God, you've never done that before, have you? You never done"", 'that before... Daddy made you laugh, huh? Well, daddy and Sir Mix Alot...', ""What? What? You... you wanna hear some more? Uhm...(raps) My anaconda don't"", 'want none / unless you got buns hon... (Emma laughs again and Ross looks', ""worried) I'm a terrible father!",The One With Ross's Inappropriate Song,Ross,9
10, Hi!,The One With Ross's Inappropriate Song,Chandler,9
11, Hey... hey listen... What do you guys know about investments?,The One With Ross's Inappropriate Song,Joey,9
12, How come?,The One With Ross's Inappropriate Song,Chandler,9
13," Well, I'm starting to make good money on the show and I'm thinking..."", 'I should probably do something with it.",The One With Ross's Inappropriate Song,Joey,9
14, What do you do with your money now?,The One With Ross's Inappropriate Song,Monica,9
15," Well, I just tape it to the back of my toilet tank. (realises that', ""anyone could have overheard that) I didn't say that! It's in a bank guarded"", 'by robots!",The One With Ross's Inappropriate Song,Joey,9
16, Do you have any ideas?,The One With Ross's Inappropriate Song,Chandler,9
17," Uh, yeah... This guy at work got me excited about going in on an emu', ""farm. That'd be kinda cool huh? Pitchin' in on the weekends, helping to"", 'plant the emus...",The One With Ross's Inappropriate Song,Joey,9
18, Joe... Emus are birds. You raise them for meat.,The One With Ross's Inappropriate Song,Monica,9
19," (laughs) Yeah! Right! (points at Monica) People eat birds... Bird', 'meat... Now do they just fly into your mouth or you go to... you go to a', 'restaurant and you say: ""Excuse me, I\'ll have a bucket of fried bird.""', '(laughs again) Or... or maybe just a wing or... (realises...)",The One With Ross's Inappropriate Song,Joey,9
20," Joey, I think you should consider something a little less risky. I', 'mean, I think in this market, real estate is your best investment.The Fed.', 'just lowered the rates and the interest on your mortgage is totally', ""deductible. (looks at Chandler) That's right, I know some stuff!",The One With Ross's Inappropriate Song,Monica,9
21," Real estate, huh? Hmmm...",The One With Ross's Inappropriate Song,Joey,9
22," (very excited) Oh, and you know who's selling a great apartment?"", 'Richard!",The One With Ross's Inappropriate Song,Monica,9
23," (imitating Monica) Oh, and you know whose knowledge of her', 'ex-boyfriend is shocking? Monica!",The One With Ross's Inappropriate Song,Chandler,9
24, My dad told me. They play golf together.,The One With Ross's Inappropriate Song,Monica,9
25," Oh, well... Maybe I'll join them some time. I just hope the club"", ""doesn't slip out of my hand and beat the moustache off his face.",The One With Ross's Inappropriate Song,Chandler,9
27, Hi!,The One With Ross's Inappropriate Song,Phoebe,9
28, Hey!,The One With Ross's Inappropriate Song,Rachel and Monica,9
29," Listen! You have to help me pick a dress 'cause I'm meeting Mike's"", 'parents tonight! (Rachel gasps)",The One With Ross's Inappropriate Song,Phoebe,9
30," Wow, the boyfriend's parents! That's a big step.",The One With Ross's Inappropriate Song,Monica,9
31, (sarcastically) Really? That hadn't occurred to me.,The One With Ross's Inappropriate Song,Phoebe,9
32," They just gonna love you, just be yourself.",The One With Ross's Inappropriate Song,Monica,9
33, They live on the upper east side on Park Avenue!,The One With Ross's Inappropriate Song,Phoebe,9
34," Oh yeah, she can't be herself.",The One With Ross's Inappropriate Song,Rachel,9
35," Okay, so... allright... Which dress? (she holds up two 'Phoebe'"", ""dresses, Rachel and Monica look at them... taking their time, don't wanting"", 'to hurt Phoebe) You can say ""neither"".",The One With Ross's Inappropriate Song,Phoebe,9
36," Oh God, neither!",The One With Ross's Inappropriate Song,Rachel and Monica,9
37," I'm sorry honey, but we're gonna take you shopping. It's gonna be"", 'fine.",The One With Ross's Inappropriate Song,Monica,9
38," Yeah, totally! You are in such good hands. And I'm so good with"", 'meeting parents. With the father, you know, you want to flirt a little bit,', 'but not in a gross way. Just kind of like: ""Oh mr. Pincer, I can see where', 'Wallis gets his good looks...",The One With Ross's Inappropriate Song,Rachel,9
39, You went out with Wallis Pincer?,The One With Ross's Inappropriate Song,Monica,9
40," Uh, he took the SAT's for me.",The One With Ross's Inappropriate Song,Rachel,9
41, I knew you didn't get a 1400!,The One With Ross's Inappropriate Song,Monica,9
42," Ssshyeah, well, duh! I mean...",The One With Ross's Inappropriate Song,Rachel,9
43, So... now... What about with Mike's mom?,The One With Ross's Inappropriate Song,Phoebe,9
44," Oh, with the mother, just... just constantly tell her how amazing', ""her son is. Take it from me, moms love me. Ross's mom one time actually said"", ""I'm like the daughter that she never had.",The One With Ross's Inappropriate Song,Rachel,9
45, (Monica looks at Rachel in disbelief) She said WHAT?,The One With Ross's Inappropriate Song,Monica,9
46," (speaking louder and articulating) That's she's like the daughter"", 'she never had. (Phoebe points at her ears) Listen! (Monica looks at Phoebe', 'in a duh! way)",The One With Ross's Inappropriate Song,Phoebe,9
48, Hi.,The One With Ross's Inappropriate Song,Rachel,9
49, Hi.,The One With Ross's Inappropriate Song,Ross,9
50," I just finished getting Phoebe all dressed to meet Mike's parents."", ""She's so nervous, it's so sweet!",The One With Ross's Inappropriate Song,Rachel,9
51, Guess what? I made Emma laugh today.,The One With Ross's Inappropriate Song,Ross,9
52," (in disbelief) You WHAT? And I missed it? Because I was giving a', 'makeover to that stupid hippie?",The One With Ross's Inappropriate Song,Rachel,9
53," Yeah, and it was uhm... it was like a real little person laugh too. It', ""was... it was like uhm... (Ross tries to impersonate Emma's laugh, but it"", 'comes out very squeaky, very high pitched. He laughs about himself but then', 'looks at Rachel, realises that it sounded weird and straightens his face.)', 'Only... only not creepy.",The One With Ross's Inappropriate Song,Ross,9
54," Well... well, what did you do to make her laugh? (excited)",The One With Ross's Inappropriate Song,Rachel,9
55," I uhm... Well, I sang... (Rachel gasps) well actually I rapped... Baby', ""Got Back... (Rachel's face changes from excited to angry)",The One With Ross's Inappropriate Song,Ross,9
56," You WHAT? You sang... to our baby daughter... a song about a guy who', 'likes to have sex with women with giant asses?",The One With Ross's Inappropriate Song,Rachel,9
57," But you know what, if you think about it, it actually promotes a', 'healthy uhm... body image... because... even big butts or uhm... juicy', 'doubles.",The One With Ross's Inappropriate Song,Ross,9
58, (disgusted) owwwww...,The One With Ross's Inappropriate Song,Rachel,9
59, Please don't take her away from me!,The One With Ross's Inappropriate Song,Ross,9
61," Oh hi, come on in. I'm Catherine, the listing agent.",The One With Ross's Inappropriate Song,Catherine,9
62, Hi I'm Joey. This is Chandler.,The One With Ross's Inappropriate Song,Joey,9
63," So how come Richard's selling the place? Went bankrupt? Medical"", 'malpractice? Choked on his own moustache?",The One With Ross's Inappropriate Song,Chandler,9
64," Actually, he is buying a much bigger place. It's got a great view"", 'of Central Pa.....",The One With Ross's Inappropriate Song,Catherine,9
65, mmm That's enough about you!,The One With Ross's Inappropriate Song,Chandler,9
66, Is there anything we should know about the apartment?,The One With Ross's Inappropriate Song,Joey,9
67," All the appliances are included. There is a lot of light, a new', 'kitchen... I think you guys would be very happy here... (Joey and Chandler', ""both realise what she's assuming and start laughing.)",The One With Ross's Inappropriate Song,Catherine,9
68," No, no, no, no, no, NO! No, no... we're not together. We're not a"", ""couple. We're definately not a couple.",The One With Ross's Inappropriate Song,Chandler,9
69," Oh... Okay, sorry!",The One With Ross's Inappropriate Song,Catherine,9
70," Well, you seem pretty insulted by that. What? I'm not good enough for"", 'you?",The One With Ross's Inappropriate Song,Joey,9
71," We're not gonna have this conversation again... Look at this"", 'place. Why am I so intimidated by this guy? Pretentious art, this huge macho', 'couch. When we know all he does is sit around all day crying about losing', ""Monica to a real man! (laughs) You don't think he's here, do you? (Joey"", 'looks around)",The One With Ross's Inappropriate Song,Chandler,9
72," You know what it is? It's a nice place but I gotta see I don't know if"", 'I see myself living here. Oh, oh, oh, let me see... (Joey sits down on the', 'couch, mimes opening a can and puts his hand down his pants) Yeah, I could', 'see it.",The One With Ross's Inappropriate Song,Joey,9
73," (Chandler looks around the place and his eye gets caught by', ""Richard's video collection) Look at these videos. You know, I mean, who does"", 'he think he is? Magnum Force, Dirty Harry, Cool Hand Luke... Oh my God!",The One With Ross's Inappropriate Song,Chandler,9
74, What?,The One With Ross's Inappropriate Song,Joey,9
75, There's a tape here with Monica's name on it.,The One With Ross's Inappropriate Song,Chandler,9
76," Ooh! A tape with a girls name on it. It's probably a sex tape..."", '(realises) Wait a minute... This says Monica... (looks around) And this is', ""Richard's apartment... (realises some more)",The One With Ross's Inappropriate Song,Joey,9
77, Get there faster! (Joey gasps and finally understands...),The One With Ross's Inappropriate Song,Chandler,9
79, Wow! You look like... like my mom.,The One With Ross's Inappropriate Song,Mike,9
80, I'm wearing pantyhose!,The One With Ross's Inappropriate Song,Phoebe,9
81," Great! Come on in! (Mike kisses her on the cheek. A butler walks in', ""and takes Phoebe's coat.)",The One With Ross's Inappropriate Song,Mike,9
82," Oh, thank you! Oh... Oh my God, you're RICH!",The One With Ross's Inappropriate Song,Phoebe,9
83," No, my parents are rich.",The One With Ross's Inappropriate Song,Mike,9
84," Yeah, so... They gotta die someday. (Mike's parents walk in) HELLO!",The One With Ross's Inappropriate Song,Phoebe,9
85," Mom, dad, this is Phoebe. Phoebe, these are my parents: Theodore and', 'Bitsy.",The One With Ross's Inappropriate Song,Mike,9
86, (in a very posh accent) Theodore... Bitsy... What a delight!,The One With Ross's Inappropriate Song,Phoebe,9
87, It's so nice to finally meet you!,The One With Ross's Inappropriate Song,Bitsy,9
88, And you... Your home is lovely.,The One With Ross's Inappropriate Song,Phoebe,9
89," Well thank you, I'll give you a tour later. It's actually three"", 'floors.",The One With Ross's Inappropriate Song,Bitsy,9
90, Holy crap!,The One With Ross's Inappropriate Song,Phoebe,9
91," Phoebe, why don't you come in the living room and meet our friends?",The One With Ross's Inappropriate Song,Bitsy,9
92," Oh, try and stop me!",The One With Ross's Inappropriate Song,Phoebe,9
93, Hey... Wh... What are you doing?,The One With Ross's Inappropriate Song,Mike,9
94, (no accent) I'm trying to get your parents to like me.,The One With Ross's Inappropriate Song,Phoebe,9
95," Yeah, I'm sure they will, but you don't have to do this... I'm wanting"", 'them to get to know Phoebe, not (accent) Phoebe...",The One With Ross's Inappropriate Song,Mike,9
96, (accent) Got it! It... It's hard to stop...,The One With Ross's Inappropriate Song,Phoebe,9
97," Well, come on...",The One With Ross's Inappropriate Song,Mike,9
98," Phoebe, these are our friends, Tom and Sue Angle.",The One With Ross's Inappropriate Song,Theodore,9
99," Phoebe, come sit. Tell us a little bit about yourself... So where are', 'you from?",The One With Ross's Inappropriate Song,Bitsy,9
100," (no accent) Uhm... Okay, well, allright, uhm... Originally I'm from"", 'upstate, but uhm... then my mom killed herself and my stepdad went to', 'prison, so... I just moved to the city where uhm... I actually lived in a', 'burned out Buick LeSabre for a while... (frowns are received) which was', ""okay, that was okay, until uhm... I got hepatitis, you know, 'cause this"", 'pimp spit in my mouth and... but I... I got over it and uhm... anyway, now', ""I'm uhm... a freelance massage therapist, uhm... which, you know, isn't"", ""always steady money but at least I don't pay taxes, huh... (everyone in the"", 'room finds it a bit surreal, which Phoebe realises and starts to talk in the', 'accent again) So... where does everyone summer?",The One With Ross's Inappropriate Song,Phoebe,9
103, God! God! This is not going well.,The One With Ross's Inappropriate Song,Phoebe,9
104," No, no, no, you're doing fine, really... Why don't you go talk to my"", 'dad?",The One With Ross's Inappropriate Song,Mike,9
105," Okay, okay, okay, okay... Still sure about me being myself?",The One With Ross's Inappropriate Song,Phoebe,9
106, Absolutely! Or maybe just a little less pimp spit.,The One With Ross's Inappropriate Song,Mike,9
107," So Theodore... I uhm... I can see where Mike gets his good looks', 'from...",The One With Ross's Inappropriate Song,Phoebe,9
108, Oh... Well...,The One With Ross's Inappropriate Song,Theodore,9
109, Yeah... And that physique! You must work out all the time...,The One With Ross's Inappropriate Song,Phoebe,9
110," Oh no, not all the time... I do the best I can...",The One With Ross's Inappropriate Song,Theodore,9
111, Yeah I bet! Look out! (Phoebe punches Theodore right in the stomach),The One With Ross's Inappropriate Song,Phoebe,9
112, OH! OWWWWW! (Theodore grabs his stomach in agony),The One With Ross's Inappropriate Song,Theodore,9
113," Oh my God, are you okay?",The One With Ross's Inappropriate Song,Phoebe,9
114, I recently had surgery.,The One With Ross's Inappropriate Song,Theodore,9
115, I'm so sorry!,The One With Ross's Inappropriate Song,Phoebe,9
116," No, I'll be fine... I just should check the stitches...",The One With Ross's Inappropriate Song,Theodore,9
117," I really, really am sorry.",The One With Ross's Inappropriate Song,Phoebe,9
118," How could you know. Why wouldn't you punch me in the stomach?"", '(Theodore walks out... Mike walks towards Phoebe)",The One With Ross's Inappropriate Song,Theodore,9
119, Uhm... Did you just hit my dad?,The One With Ross's Inappropriate Song,Mike,9
120," Yes... I'm sorry, I've never met a boyfriends parents before...",The One With Ross's Inappropriate Song,Phoebe,9
121," But, I mean, you have met... humans before, right? Look, why don't you"", 'go talk to my mom?",The One With Ross's Inappropriate Song,Mike,9
122," Yeah okay... yeah, your mom... okay... She looks nice, I can talk to', 'her.",The One With Ross's Inappropriate Song,Phoebe,9
123," Yeah, you do that, and I go check my dad for signs of internal', 'bleeding. (Mike walks away and Bitsy walks in the same direction.)",The One With Ross's Inappropriate Song,Mike,9
124," Yeah... Oh Bitsy, hi. Uhm... listen I just wanted to thank you again', 'for having me here tonight.",The One With Ross's Inappropriate Song,Phoebe,9
125," Well, not at all...",The One With Ross's Inappropriate Song,Bitsy,9
126," Also uhm... I just want you to know what a wonderful man your son', 'is.",The One With Ross's Inappropriate Song,Phoebe,9
127," Thank you, I think so too.",The One With Ross's Inappropriate Song,Bitsy,9
128," Well, and you know, it really is a testament to how he was raised.', ""Especially to you. Because he's very respectful of women.",The One With Ross's Inappropriate Song,Phoebe,9
129, Is he really?,The One With Ross's Inappropriate Song,Bitsy,9
130," Are you kidding. He is so considerate of my feelings and... you know', ""I think... you'd also like to know that he is a very gentle lover.",The One With Ross's Inappropriate Song,Phoebe,9
131, E-e-excuse me?,The One With Ross's Inappropriate Song,Bitsy,9
132," (Mike now enters and stands behind Phoebe) Oh no, no, no, no, no,', ""no. Don't get me wrong. No, he's not in like a sissy way. No, no, no... when"", 'he gets going, he can rattle a headboard like a sailor on leave...",The One With Ross's Inappropriate Song,Phoebe,9
133, That's... my boy. (Bitsy walks away),The One With Ross's Inappropriate Song,Bitsy,9
134, Awesome!,The One With Ross's Inappropriate Song,Mike,9
136," I'm not gonna watch it... I don't NEED to watch it... I mean, what"", ""good could possibly come from watching? (sighs) Well, we know I'm gonna"", 'watch it. (Chandler moves to put the tape in the VCR and Joey enters the', 'apartment)",The One With Ross's Inappropriate Song,Chandler,9
137," Hey dude, what's up?",The One With Ross's Inappropriate Song,Joey,9
138," Don't judge me, I'm only human!",The One With Ross's Inappropriate Song,Chandler,9
139, Did you take that tape?,The One With Ross's Inappropriate Song,Joey,9
140," I had to! Okay, imagine you were married... and you found a tape', ""of your wife in another guys' apartment... Wouldn't you need to know what"", 'was on it?",The One With Ross's Inappropriate Song,Chandler,9
141, I don't know. Who'm I'm married to?,The One With Ross's Inappropriate Song,Joey,9
142, Some girl...!?,The One With Ross's Inappropriate Song,Chandler,9
143, She hot?,The One With Ross's Inappropriate Song,Joey,9
144, Yeah...!?,The One With Ross's Inappropriate Song,Chandler,9
145, How did she get me to settle down?,The One With Ross's Inappropriate Song,Joey,9
146," Allright, I'm gonna watch it... I mean look, it's probably not"", ""even what I think it is... And even if it is... It can't possibly be as bad"", ""as what I'm picturing in my head... (laughs nervously) Can it?",The One With Ross's Inappropriate Song,Chandler,9
147," Guess I don't know. My experience: if a girl says yes to being"", ""taped... She doesn't say no to much else, I tell ya...",The One With Ross's Inappropriate Song,Joey,9
148, Then you're gonna have to watch it for me.,The One With Ross's Inappropriate Song,Chandler,9
149, (backs off) What? Whoo... What?,The One With Ross's Inappropriate Song,Joey,9
150," Just for a few seconds, so I can know what it is... Please?",The One With Ross's Inappropriate Song,Chandler,9
151," All right, fine... But if I enjoy this, you have only yourself to', 'blame... (Chandler turns his back to the TV. Joey puts the tape in the VCR,', ""switches it on and watches what's on the tape... It's clearly a american"", ""football match, with the referee's whistle blowing, the crowds cheering...)",The One With Ross's Inappropriate Song,Joey,9
152, Why am I hearing cheering?,The One With Ross's Inappropriate Song,Chandler,9
153," Well it's okay, its like... its just a football game.",The One With Ross's Inappropriate Song,Joey,9
154, Football? Just football?,The One With Ross's Inappropriate Song,Chandler,9
155," Yeah, see... you were all worried for nothing.",The One With Ross's Inappropriate Song,Joey,9
156," It's football... It's just football... This is great! This is the"", ""first time I've ever enjoyed football... It may be customary to get a"", 'beer... (Chandler walks to the fridge, his back turned to the TV and a', ""moaning sound replaces the cheering of the crowd... Joey's eyes double in"", 'size...) What the... (Chandler turns around, but Joey already took a sprint', 'for Chandler, jumps, and floors Chandler in the open space in front of the', 'apartment door...) What are you doing?",The One With Ross's Inappropriate Song,Chandler,9
157," You don't wanna see what I just saw! (at this moment Monica comes"", 'home, and sees Chandler flat on his back on the floor and Joey pinning him', 'down)",The One With Ross's Inappropriate Song,Joey,9
