,Scripts,title,Character,Season
2, Oh Drake.,The One Where Dr. Remoray Dies,AMBER,2
3, I'm sorry Amber. It's just like Brad to have to have the last word.,The One Where Dr. Remoray Dies,DR. REMORE,2
5," I'm sorry I'm late, what happened?",The One Where Dr. Remoray Dies,ROSS,2
6," We, we just wanna see the end.",The One Where Dr. Remoray Dies,MONICA,2
7, I want you Drake.,The One Where Dr. Remoray Dies,AMBER,2
8, I know you do but you and I can never be together that way.,The One Where Dr. Remoray Dies,DR. REMORE,2
9, What?,The One Where Dr. Remoray Dies,AMBER,2
10, There's something I never told you Amber. I'm actually your half- brother.,The One Where Dr. Remoray Dies,DR. REMORE,2
12, So what happens next?,The One Where Dr. Remoray Dies,RACHEL,2
13," Well, I get the medical award for separating the siamese', ""twins. Then Amber and I go to Venezuela to meet our other half-brother, Ramone. And that's"", ""where I find the world's biggest emerald. It's really big but it's cursed.",The One Where Dr. Remoray Dies, JOEY,2
14, God that is good TV.,The One Where Dr. Remoray Dies,CHANDLER,2
17," Phoebs, play with meeee.",The One Where Dr. Remoray Dies, CHANDLER,2
18," No. This game is grotesque. Twenty armless guys joined at the waist by a steel', 'bar, forced to play soccer forever. Ahh, hello, human-rights violation.",The One Where Dr. Remoray Dies,PHOEBE,2
19," Ya know Phoebs, don't feel so bad for 'em. After they're"", 'done playing, I break out the little plastic women and everybody has a pretty good time.",The One Where Dr. Remoray Dies, CHANDLER,2
20, Why don't you play with your roommate?,The One Where Dr. Remoray Dies,PHOEBE,2
21," Ah he's a, he's not a big fan of foosball.",The One Where Dr. Remoray Dies,CHANDLER,2
22," Uh oh, ooh, are we not getting along with the new boy?",The One Where Dr. Remoray Dies,PHOEBE,2
23," No he's, he's alright, just uh, he spends most of his time in his room.",The One Where Dr. Remoray Dies,CHANDLER,2
24," Maybe that's because you haven't taken the time to get to know him. Let's remedy"", 'that, shall we?",The One Where Dr. Remoray Dies,PHOEBE,2
25, We don't need to remedy that.,The One Where Dr. Remoray Dies,CHANDLER,2
26," Oh yeah, it'll be fun. throws a tennis ball at Eddie's bedroom door",The One Where Dr. Remoray Dies,PHOEBE,2
27, What was that?,The One Where Dr. Remoray Dies,EDDIE,2
28," Hi, um, I just thought that it would be fun if the three of', 'us had some beers and got to know each other.",The One Where Dr. Remoray Dies, PHOEBE,2
29," Yeah alright, that sounds alright.",The One Where Dr. Remoray Dies,EDDIE,2
30," Oh good, ok. Oh nooo, I have to go because I'm late for my um, Green Eggs and Ham"", ""discussion group. Um tonight it's why he would not eat them on a train. Have fun bye.",The One Where Dr. Remoray Dies,PHOEBE,2
31, That was so lame.,The One Where Dr. Remoray Dies,CHANDLER,2
32," I know, yeah. Ok, talk to him. leaves",The One Where Dr. Remoray Dies,PHOEBE,2
33," So, you uh, you think that Speed Racer guy gets a lot of tickets er?",The One Where Dr. Remoray Dies,CHANDLER,2
35," That's good, that's good. So, so, so who broke up with who?",The One Where Dr. Remoray Dies,EDDIE,2
36," What're you kidding? I broke up with her. She actually"", 'thought that Sean Penn was the capital of Cambodia.",The One Where Dr. Remoray Dies, CHANDLER,2
37," That's good man, when everybody knows that the uh, the capital of Cambodia is uh...",The One Where Dr. Remoray Dies,EDDIE,2
38, Well it's not Sean Penn.,The One Where Dr. Remoray Dies,CHANDLER,2
39," Not Sean Penn. Alright, I, I've got a funny one, alright. My"", ""last girlfriend Tilly. Ok, we're eating breakfast, right, and I made all these pancakes,"", 'there was like 50 pancakes right. And all of the sudden she turns to me, alright, and she', ""says, 'Eddie.' I say, 'yeah,' she says, 'Eddie, I don't want to see you anymore.' And it"", 'was literally like she had reached into my chest, ripped out my heart, and smeared it all', ""over my life, ya know. And now there's like this incredible abyss, ya know, and I'm"", ""falling and I keep falling and I don't think I'm ever gonna stop. finishes laughing That"", ""uh, wasn't such a funny story, was it?",The One Where Dr. Remoray Dies, EDDIE,2
41," And a crusty old man said I'll do what I can and the rest"", ""of the rats played moroccas. That's it, thanks, good night.",The One Where Dr. Remoray Dies, PHOEBE,2
42," Phoebe's got another job, right?",The One Where Dr. Remoray Dies,RICHARD,2
43, Great set tonight Phoebs.,The One Where Dr. Remoray Dies, RACHEL,2
44, I know.,The One Where Dr. Remoray Dies,PHOEBE,2
45," Well, we should probably get going.",The One Where Dr. Remoray Dies,ROSS,2
46," Um, we should go too, I got patients at 8 in the moring.",The One Where Dr. Remoray Dies,RICHARD,2
47," Ya know, I was thinking. Ya know how we always stay at your', ""apartment? Well, I thought maybe tonight we'd stay at my place.",The One Where Dr. Remoray Dies, MONICA,2
48," I don't know, I don't have my jammies.",The One Where Dr. Remoray Dies,RICHARD,2
49," Well, maybe you don't need them.",The One Where Dr. Remoray Dies,MONICA,2
50," My baby sister, ladies and gentlemen.",The One Where Dr. Remoray Dies,ROSS,2
51," Shut up, I'm happy.",The One Where Dr. Remoray Dies,MONICA,2
