,Scripts,title,Character,Season
1, Ross is in central perk Phoebe comes in,The One With Sharks,Scene,9
2, oh hey Ross oh I'm so glad someone's here could you zip me up?,The One With Sharks,Phoebe,9
3, sure.,The One With Sharks,Ross,9
4," thank you can you believe no one between my apartment and here offered ', '  to do that for me.",The One With Sharks,Phoebe,9
5," people (shakes head, they sit) so why you all dressed up.",The One With Sharks,Ross,9
6, oh umm Mike's picking me up for a date.,The One With Sharks,Phoebe,9
7," oh yea now um how is that going, is it getting serious?",The One With Sharks,Ross,9
8," oh I dunno I dunno, you know I mean I like him but am I ready to take ', '  my grade a loins off the meat market.",The One With Sharks,Phoebe,9
9," you know I really admire your whole dating attitude, it's so healthy "", ""  I'm always like is this moving to fast? Is this moving to slow? Where's this "", '  going?",The One With Sharks,Ross,9
10, yea you know you are a bit of a drama queen.,The One With Sharks,Phoebe,9
11," but you, your so much better off you just go from guy to guy having fun ', '  and never worrying that it terns into anything serious.",The One With Sharks,Ross,9
12," I wouldn't say never, you know there's that guy (pause) well what about "", ""  (pause) ok well there's gotta be someone.",The One With Sharks,Phoebe,9
13, There isn't that's what I'm saying. (All happy),The One With Sharks,Ross,9
14, Oh my god you're right.,The One With Sharks,Phoebe,9
15, I know and yet here you are all ready for the next date.,The One With Sharks,Ross,9
16," I can't believe I never realized this before, I'm in my thirty's and "", ""  never been in a long-term relationship oh my god (starts crying) what's wrong "", '  with me.",The One With Sharks,Phoebe,9
17," no, no, no there's nothing wrong with you I mean you don't strike me "", '  as the type of person that wants to get married anyway.",The One With Sharks,Ross,9
18, I wanna get married (grabs a tissue),The One With Sharks,Phoebe,9
19," please don't cry because of me Pheebs I don't know what I'm talking about, "", ""  I've been divorced three times.",The One With Sharks,Ross,9
20," least you've been married, OH MY GOD! I wanna trade lives with Ross "", '  (cries more)",The One With Sharks,Phoebe,9
21, Phoebe (comes in smiling then sees Phoebe crying) what's wrong?,The One With Sharks,Mike,9
22," nothing, I'm excited about our date, Mike this is Ross Geller this "", '  is Mike Haaaaa (starts crying)",The One With Sharks,Phoebe,9
23, I'm sorry I didn't catch.,The One With Sharks,Ross,9
24, its Mike Hanagen,The One With Sharks,Mike,9
25, Oh Ross Geller,The One With Sharks,Ross,9
26," Hey, so are you sure your ready to go.",The One With Sharks,Mike,9
27, uh huh (terns to Ross) how do I look (all her make up has gone everywhere),The One With Sharks,Phoebe,9
28, do you have a compact in your purse?,The One With Sharks,Ross,9
29, (goes to cry) No,The One With Sharks,Phoebe,9
