,year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct,id,id_3char,name,Total,Percent_imp,perc_diff
22,2015,PRK,CIV,ALL,496008,0.00091%,afciv,CIV,Cote d'Ivoire,3472362068,0.014284455085229322,99.98571554491477
37,2015,PRK,EGY,ALL,288894,0.00053%,afegy,EGY,Egypt,3472362068,0.00831981211470831,99.9916801878853
77,2015,PRK,ZWE,ALL,3500,0.0000065%,afzwe,ZWE,Zimbabwe,3472362068,0.00010079594038463618,99.99989920405962
110,2015,PRK,CHN,ALL,2946422604,5.4%,aschn,CHN,China,3472362068,84.85355346877958,15.14644653122042
121,2015,PRK,CYP,ALL,1138325,0.0021%,ascyp,CYP,Cyprus,3472362068,0.03278243966809743,99.9672175603319
142,2015,PRK,HKG,ALL,4922055,0.0091%,ashkg,HKG,Hong Kong,3472362068,0.1417494749571144,99.85825052504289
183,2015,PRK,IND,ALL,108550714,0.20%,asind,IND,India,3472362068,3.126134656301055,96.87386534369895
241,2015,PRK,MYS,ALL,4700672,0.0087%,asmys,MYS,Malaysia,3472362068,0.13537390133706528,99.86462609866294
250,2015,PRK,SAU,ALL,6680541,0.012%,assau,SAU,Saudi Arabia,3472362068,0.1923918321066051,99.80760816789339
270,2015,PRK,SGP,ALL,28177326,0.052%,assgp,SGP,Singapore,3472362068,0.8114743061984169,99.18852569380158
291,2015,PRK,THA,ALL,73797295,0.14%,astha,THA,Thailand,3472362068,2.125276499247831,97.87472350075217
309,2015,PRK,TUR,ALL,4652842,0.0086%,astur,TUR,Turkey,3472362068,0.13399645281460898,99.86600354718539
330,2015,PRK,BLX,ALL,328533,0.00061%,eublx,BLX,Belgium-Luxembourg,3472362068,0.00946136933782448,99.99053863066217
351,2015,PRK,CHE,ALL,5173138,0.0095%,euche,CHE,Switzerland,3472362068,0.14898037412842743,99.85101962587157
372,2015,PRK,CZE,ALL,6508,0.000012%,eucze,CZE,Czech Republic,3472362068,0.0001874228514352035,99.99981257714856
393,2015,PRK,DEU,ALL,7402100,0.014%,eudeu,DEU,Germany,3472362068,0.21317189437746156,99.78682810562253
413,2015,PRK,DNK,ALL,304549,0.00056%,eudnk,DNK,Denmark,3472362068,0.008770657956628732,99.99122934204337
434,2015,PRK,ESP,ALL,276887,0.00051%,euesp,ESP,Spain,3472362068,0.007974024441508788,99.99202597555849
455,2015,PRK,FIN,ALL,156242,0.00029%,eufin,FIN,Finland,3472362068,0.004499588376450379,99.99550041162355
476,2015,PRK,FRA,ALL,3335856,0.0062%,eufra,FRA,France,3472362068,0.09606878357363739,99.90393121642636
497,2015,PRK,GBR,ALL,395958,0.00073%,eugbr,GBR,United Kingdom,3472362068,0.01140313113223422,99.98859686886776
518,2015,PRK,GRC,ALL,381872,0.00070%,eugrc,GRC,Greece,3472362068,0.010997470670446225,99.98900252932955
533,2015,PRK,HRV,ALL,54459,0.00010%,euhrv,HRV,Croatia,3472362068,0.001568356033544829,99.99843164396646
553,2015,PRK,HUN,ALL,39624,0.000073%,euhun,HUN,Hungary,3472362068,0.001141125240514521,99.99885887475949
586,2015,PRK,ITA,ALL,1635980,0.0030%,euita,ITA,Italy,3472362068,0.04711432644298774,99.952885673557
603,2015,PRK,LVA,ALL,77005,0.00014%,eulva,LVA,Latvia,3472362068,0.0022176546826625453,99.99778234531733
624,2015,PRK,NLD,ALL,2215541,0.0041%,eunld,NLD,Netherlands,3472362068,0.0638050110159192,99.93619498898408
645,2015,PRK,POL,ALL,1114079,0.0021%,eupol,POL,Poland,3472362068,0.03208418299079288,99.96791581700921
693,2015,PRK,SVK,ALL,10116,0.000019%,eusvk,SVK,Slovakia,3472362068,0.00029132906655170843,99.99970867093344
714,2015,PRK,SWE,ALL,97604,0.00018%,euswe,SWE,Sweden,3472362068,0.002810881990086294,99.99718911800991
