,Age group (years),Year,Opioid_Rate
0,65+,2007–2008,16.6
1,45–64,2007–2008,13.7
2,25–44,2007–2008,11.1
3,15–24,2007–2008,6.5
4,<15,2007–2008,1.4
5,65+,2008–2009,17.1
6,45–64,2008–2009,14.4
7,25–44,2008–2009,10.3
8,15–24,2008–2009,6.4
9,<15,2008–2009,1.4
10,65+,2009–2010,17.6
11,45–64,2009–2010,15.5
12,25–44,2009–2010,11.2
13,15–24,2009–2010,6.7
14,<15,2009–2010,1.3
15,65+,2010–2011,18.1
16,45–64,2010–2011,16.5
17,25–44,2010–2011,11.1
18,15–24,2010–2011,7.1
19,<15,2010–2011,1.4
20,65+,2011–2012,19.6
21,45–64,2011–2012,17.2
22,25–44,2011–2012,13.2
23,15–24,2011–2012,8.5
24,<15,2011–2012,1.4
25,65+,2012–2013,19.4
26,45–64,2012–2013,18.4
27,25–44,2012–2013,12.9
28,15–24,2012–2013,9.6
29,<15,2012–2013,1.6
30,65+,2013–2014,19.3
31,45–64,2013–2014,18.1
32,25–44,2013–2014,12.4
33,15–24,2013–2014,9.9
34,<15,2013–2014,1.7
35,65+,2014–2015,20.1
36,45–64,2014–2015,18.3
37,25–44,2014–2015,13.1
38,15–24,2014–2015,10.4
39,<15,2014–2015,1.8
