,Fiscal year,Canada,provinces,Opioid_Rate,x_1,x_2
0,2014–2015,13.5,N.L.,12.3,1,2
1,2013–2014,13.0,N.L.,10.6,1,2
2,2012–2013,13.1,N.L.,9.5,1,2
3,2011–2012,12.7,N.L.,8.6,1,2
4,2010–2011,11.5,N.L.,8.6,1,2
5,2009–2010,11.0,N.L.,8.9,1,2
6,2008–2009,10.3,N.L.,12.1,1,2
7,2007–2008,10.2,N.L.,7.1,1,2
8,2014–2015,13.5,P.E.I.,15.1,1,2
9,2013–2014,13.0,P.E.I.,12.4,1,2
10,2012–2013,13.1,P.E.I.,11.0,1,2
11,2011–2012,12.7,P.E.I.,9.8,1,2
12,2010–2011,11.5,P.E.I.,3.5,1,2
13,2009–2010,11.0,P.E.I.,6.4,1,2
14,2008–2009,10.3,P.E.I.,8.7,1,2
15,2007–2008,10.2,P.E.I.,16.0,1,2
16,2014–2015,13.5,N.S.,11.8,1,2
17,2013–2014,13.0,N.S.,10.2,1,2
18,2012–2013,13.1,N.S.,11.0,1,2
19,2011–2012,12.7,N.S.,9.7,1,2
20,2010–2011,11.5,N.S.,9.2,1,2
21,2009–2010,11.0,N.S.,9.4,1,2
22,2008–2009,10.3,N.S.,7.4,1,2
23,2007–2008,10.2,N.S.,7.6,1,2
24,2014–2015,13.5,N.B.,14.6,1,2
25,2013–2014,13.0,N.B.,14.0,1,2
26,2012–2013,13.1,N.B.,14.5,1,2
27,2011–2012,12.7,N.B.,13.6,1,2
28,2010–2011,11.5,N.B.,15.8,1,2
29,2009–2010,11.0,N.B.,11.5,1,2
30,2008–2009,10.3,N.B.,7.4,1,2
31,2007–2008,10.2,N.B.,8.6,1,2
32,2014–2015,13.5,Que.,10.1,1,2
33,2013–2014,13.0,Que.,10.2,1,2
34,2012–2013,13.1,Que.,9.1,1,2
35,2011–2012,12.7,Que.,9.3,1,2
36,2010–2011,11.5,Que.,8.3,1,2
37,2009–2010,11.0,Que.,8.1,1,2
38,2008–2009,10.3,Que.,8.1,1,2
39,2007–2008,10.2,Que.,7.9,1,2
40,2014–2015,13.5,Ont.,12.1,1,2
41,2013–2014,13.0,Ont.,12.2,1,2
42,2012–2013,13.1,Ont.,13.1,1,2
43,2011–2012,12.7,Ont.,12.2,1,2
44,2010–2011,11.5,Ont.,10.5,1,2
45,2009–2010,11.0,Ont.,10.3,1,2
46,2008–2009,10.3,Ont.,9.4,1,2
47,2007–2008,10.2,Ont.,9.6,1,2
48,2014–2015,13.5,Man.,10.4,1,2
49,2013–2014,13.0,Man.,10.3,1,2
50,2012–2013,13.1,Man.,11.1,1,2
51,2011–2012,12.7,Man.,12.9,1,2
52,2010–2011,11.5,Man.,8.3,1,2
53,2009–2010,11.0,Man.,9.0,1,2
54,2008–2009,10.3,Man.,9.0,1,2
55,2007–2008,10.2,Man.,10.0,1,2
56,2014–2015,13.5,Sask.,19.9,1,2
57,2013–2014,13.0,Sask.,13.6,1,2
58,2012–2013,13.1,Sask.,16.2,1,2
59,2011–2012,12.7,Sask.,17.3,1,2
60,2010–2011,11.5,Sask.,15.2,1,2
61,2009–2010,11.0,Sask.,13.5,1,2
62,2008–2009,10.3,Sask.,11.7,1,2
63,2007–2008,10.2,Sask.,14.6,1,2
64,2014–2015,13.5,Alta.,17.7,1,2
65,2013–2014,13.0,Alta.,16.1,1,2
66,2012–2013,13.1,Alta.,15.3,1,2
67,2011–2012,12.7,Alta.,14.1,1,2
68,2010–2011,11.5,Alta.,15.0,1,2
69,2009–2010,11.0,Alta.,14.7,1,2
70,2008–2009,10.3,Alta.,13.0,1,2
71,2007–2008,10.2,Alta.,11.5,1,2
72,2014–2015,13.5,B.C.,19.5,1,2
73,2013–2014,13.0,B.C.,19.0,1,2
74,2012–2013,13.1,B.C.,19.3,1,2
75,2011–2012,12.7,B.C.,18.8,1,2
76,2010–2011,11.5,B.C.,17.1,1,2
77,2009–2010,11.0,B.C.,15.9,1,2
78,2008–2009,10.3,B.C.,15.7,1,2
79,2007–2008,10.2,B.C.,15.1,1,2
80,2014–2015,13.5,Territories,12.9,1,2
81,2013–2014,13.0,Territories,13.0,1,2
82,2012–2013,13.1,Territories,13.1,1,2
83,2011–2012,12.7,Territories,15.1,1,2
84,2010–2011,11.5,Territories,17.1,1,2
85,2009–2010,11.0,Territories,17.4,1,2
86,2008–2009,10.3,Territories,14.8,1,2
87,2007–2008,10.2,Territories,14.9,1,2
