Actor leading role,Movie,Year
Emil Jannings,The Last Command & The Way of All Flesh,1927/28 (1st)
Warner Baxter,In Old Arizona,1928/29 (2nd)
George Arliss,Disraeli,1929/30 (3rd)
Lionel Barrymore,A Free Soul,1930/31 (4th)
Wallace Beery,The Champ,1931/32 (5th)
Fredric March,Dr. Jekyll and Mr. Hyde,1931/32 (5th)
Charles Laughton,The Private Life of Henry VIII,1932/33 (6th)
Clark Gable,It Happened One Night,1934 (7th)
Victor McLaglen,The Informer,1935 (8th)
Paul Muni,The Story of Louis Pasteur,1936 (9th)
Spencer Tracy,Captains Courageous,1937 (10th)
Spencer Tracy,Boys Town,1938 (11th)
Robert Donat,"Goodbye, Mr. Chips",1939 (12th)
James Stewart,The Philadelphia Story,1940 (13th)
Gary Cooper,Sergeant York,1941 (14th)
James Cagney,Yankee Doodle Dandy,1942 (15th)
Paul Lukas,Watch on the Rhine,1943 (16th)
Bing Crosby,Going My Way,1944 (17th)
Ray Milland,The Lost Weekend,1945 (18th)
Fredric March,The Best Years of Our Lives,1946 (19th)
Ronald Colman,A Double Life,1947 (20th)
Laurence Olivier,Hamlet,1948 (21st)
Broderick Crawford,All the King's Men,1949 (22nd)
José Ferrer,Cyrano de Bergerac,1950 (23rd)
Humphrey Bogart,The African Queen,1951 (24th)
Gary Cooper,High Noon,1952 (25th)
William Holden,Stalag 17,1953 (26th)
Marlon Brando,On the Waterfront,1954 (27th)
Ernest Borgnine,Marty,1955 (28th)
Yul Brynner,The King and I,1956 (29th)
Alec Guinness,The Bridge on the River Kwai,1957 (30th)
David Niven,Separate Tables,1958 (31st)
Charlton Heston,Ben-Hur,1959 (32nd)
Burt Lancaster,Elmer Gantry,1960 (33rd)
Maximilian Schell,Judgment at Nuremberg,1961 (34th)
Gregory Peck,To Kill a Mockingbird,1962 (35th)
Sidney Poitier,Lilies of the Field,1963 (36th)
Rex Harrison,My Fair Lady,1964 (37th)
Lee Marvin,Cat Ballou,1965 (38th)
Paul Scofield,A Man for All Seasons,1966 (39th)
Rod Steiger,In the Heat of the Night,1967 (40th)
Cliff Robertson,Charly,1968 (41st)
John Wayne,True Grit,1969 (42nd)
George C. Scott,Patton,1970 (43rd)
Gene Hackman,The French Connection,1971 (44th)
Marlon Brando,The Godfather,1972 (45th)
Jack Lemmon,Save the Tiger,1973 (46th)
Art Carney,Harry and Tonto,1974 (47th)
Jack Nicholson,One Flew over the Cuckoo's Nest,1975 (48th)
Peter Finch,Network,1976 (49th)
Richard Dreyfuss,The Goodbye Girl,1977 (50th)
Jon Voight,Coming Home,1978 (51st)
Dustin Hoffman,Kramer vs. Kramer,1979 (52nd)
Robert De Niro,Raging Bull,1980 (53rd)
Henry Fonda,On Golden Pond,1981 (54th)
Ben Kingsley,Gandhi,1982 (55th)
Robert Duvall,Tender Mercies,1983 (56th)
F. Murray Abraham,Amadeus,1984 (57th)
William Hurt,Kiss of the Spider Woman,1985 (58th)
Paul Newman,The Color of Money,1986 (59th)
Michael Douglas,Wall Street,1987 (60th)
Dustin Hoffman,Rain Man,1988 (61st)
Daniel Day Lewis,My Left Foot,1989 (62nd)
Jeremy Irons,Reversal of Fortune,1990 (63rd)
Anthony Hopkins,The Silence of the Lambs,1991 (64th)
Al Pacino,Scent of a Woman,1992 (65th)
Tom Hanks,Philadelphia,1993 (66th)
Tom Hanks,Forrest Gump,1994 (67th)
Nicolas Cage,Leaving Las Vegas,1995 (68th)
Geoffrey Rush,Shine,1996 (69th)
Jack Nicholson,As Good as It Gets,1997 (70th)
Roberto Benigni,Life Is Beautiful,1998 (71st)
Kevin Spacey,American Beauty,1999 (72nd)
Russell Crowe,Gladiator,2000 (73rd)
Denzel Washington,Training Day,2001 (74th)
Adrien Brody,The Pianist,2002 (75th)
Sean Penn,Mystic River,2003 (76th)
Jamie Foxx,Ray,2004 (77th)
Philip Seymour Hoffman,Capote,2005 (78th)
Forest Whitaker,The Last King of Scotland,2006 (79th)
Daniel Day-Lewis,There Will Be Blood,2007 (80th)
Sean Penn,Milk,2008 (81st)
Jeff Bridges,Crazy Heart,2009 (82nd)
Colin Firth,The King's Speech,2010 (83rd)
Jean Dujardin,The Artist,2011 (84th)
Daniel Day-Lewis,Lincoln,2012 (85th)
Matthew McConaughey,Dallas Buyers Club,2013 (86th)
Eddie Redmayne,The Theory of Everything,2014 (87th)
Leonardo DiCaprio,The Revenant,2015 (88th)
Casey Affleck,Manchester by the Sea,2016 (89th)
