,Actor leading role,Movie_male,Year,Actress in leading role,Movie_female
0,Emil Jannings,The Last Command & The Way of All Flesh,1927/28 ,Janet Gaynor,"7th Heaven, Street Angel, Sunrise"
1,Warner Baxter,In Old Arizona,1928/29 ,Mary Pickford,Coquette
2,George Arliss,Disraeli,1929/30 ,Norma Shearer,The Divorcee
3,Lionel Barrymore,A Free Soul,1930/31 ,Marie Dressler,Min and Bill
4,Wallace Beery,The Champ,1931/32 ,Helen Hayes,The Sin of Madelon Claudet
5,Fredric March,Dr. Jekyll and Mr. Hyde,1931/32 ,Katharine Hepburn,Morning Glory
6,Charles Laughton,The Private Life of Henry VIII,1932/33 ,Claudette Colbert,It Happened One Night
7,Clark Gable,It Happened One Night,1934 ,Bette Davis,Dangerous
8,Victor McLaglen,The Informer,1935 ,Luise Rainer,The Great Ziegfeld
9,Paul Muni,The Story of Louis Pasteur,1936 ,Luise Rainer,The Good Earth
10,Spencer Tracy,Captains Courageous,1937 ,Bette Davis,Jezebel
11,Spencer Tracy,Boys Town,1938 ,Vivien Leigh,Gone with the Wind
12,Robert Donat,"Goodbye, Mr. Chips",1939 ,Ginger Rogers,Kitty Foyle
13,James Stewart,The Philadelphia Story,1940 ,Joan Fontaine,Suspicion
14,Gary Cooper,Sergeant York,1941 ,Greer Garson,Mrs. Miniver
15,James Cagney,Yankee Doodle Dandy,1942 ,Jennifer Jones,The Song of Bernadette
16,Paul Lukas,Watch on the Rhine,1943 ,Ingrid Bergman,Gaslight
17,Bing Crosby,Going My Way,1944 ,Joan Crawford,Mildred Pierce
18,Ray Milland,The Lost Weekend,1945 ,Olivia de Havilland,To Each His Own
19,Fredric March,The Best Years of Our Lives,1946 ,Loretta Young,The Farmer's Daughter
20,Ronald Colman,A Double Life,1947 ,Jane Wyman,Johnny Belinda
21,Laurence Olivier,Hamlet,1948 ,Olivia de Havilland,The Heiress
22,Broderick Crawford,All the King's Men,1949 ,Judy Holliday,Born Yesterday
23,José Ferrer,Cyrano de Bergerac,1950 ,Vivien Leigh,A Streetcar Named Desire
24,Humphrey Bogart,The African Queen,1951 ,Shirley Booth,"Come Back, Little Sheba"
25,Gary Cooper,High Noon,1952 ,Audrey Hepburn,Roman Holiday
26,William Holden,Stalag 17,1953 ,Grace Kelly,The Country Girl
27,Marlon Brando,On the Waterfront,1954 ,Anna Magnani,The Rose Tattoo
28,Ernest Borgnine,Marty,1955 ,Ingrid Bergman,Anastasia
29,Yul Brynner,The King and I,1956 ,Joanne Woodward,The Three Faces of Eve
30,Alec Guinness,The Bridge on the River Kwai,1957 ,Susan Hayward,I Want to Live!
31,David Niven,Separate Tables,1958 ,Simone Signoret,Room at the Top
32,Charlton Heston,Ben-Hur,1959 ,Elizabeth Taylor,Butterfield 8
33,Burt Lancaster,Elmer Gantry,1960 ,Sophia Loren,Two Women
34,Maximilian Schell,Judgment at Nuremberg,1961 ,Anne Bancroft,The Miracle Worker
35,Gregory Peck,To Kill a Mockingbird,1962 ,Patricia Neal,Hud
36,Sidney Poitier,Lilies of the Field,1963 ,Julie Andrews,Mary Poppins
37,Rex Harrison,My Fair Lady,1964 ,Julie Christie,Darling
38,Lee Marvin,Cat Ballou,1965 ,Elizabeth Taylor,Who's Afraid of Virginia Woolf?
39,Paul Scofield,A Man for All Seasons,1966 ,Katharine Hepburn,Guess Who's Coming to Dinner
40,Rod Steiger,In the Heat of the Night,1967 ,Katharine Hepburn,The Lion in Winter
41,Cliff Robertson,Charly,1968 ,Barbra Streisand,Funny Girl
42,John Wayne,True Grit,1969 ,Maggie Smith,The Prime of Miss Jean Brodie
43,George C. Scott,Patton,1970 ,Glenda Jackson,Women in Love
44,Gene Hackman,The French Connection,1971 ,Jane Fonda,Klute
45,Marlon Brando,The Godfather,1972 ,Liza Minnelli,Cabaret
46,Jack Lemmon,Save the Tiger,1973 ,Glenda Jackson,A Touch of Class
47,Art Carney,Harry and Tonto,1974 ,Ellen Burstyn,Alice Doesn't Live Here Anymore
