Actor supporting role,Movie_male,Years,Movies_female,Actress in supporting role,Male_Race,Female_race
Walter Brennan,Come and Get It,1936,Anthony Adverse,Gale Sondergaard,White,White
Joseph Schildkraut,The Life of Emile Zola,1937,In Old Chicago,Alice Brady,White,White
Walter Brennan,Kentucky,1938,Jezebel,Fay Bainter,White,White
Thomas Mitchell,Stagecoach,1939,Gone with the Wind,Hattie McDaniel,White,Black
Walter Brennan,The Westerner,1940,The Grapes of Wrath,Jane Darwell,White,White
Donald Crisp,How Green Was My Valley,1941,The Great Lie,Mary Astor,White,White
Van Heflin,Johnny Eager,1942,Mrs. Miniver,Teresa Wright,White,White
Charles Coburn,The More the Merrier,1943,For Whom the Bell Tolls,Katina Paxinou,White,White
Barry Fitzgerald,Going My Way,1944,None but the Lonely Heart,Ethel Barrymore,White,White
James Dunn,A Tree Grows in Brooklyn,1945,National Velvet,Anne Revere,White,White
Harold Russell,The Best Years of Our Lives,1946,The Razor's Edge,Anne Baxter,White,White
Edmund Gwenn,Miracle on 34th Street,1947,Gentleman's Agreement,Celeste Holm,White,White
Walter Huston,The Treasure of the Sierra Madre,1948,Key Largo,Claire Trevor,White,White
Dean Jagger,Twelve O'Clock High,1949,All the King's Men,Mercedes McCambridge,White,White
George Sanders,All about Eve,1950,Harvey,Josephine Hull,White,White
Karl Malden,A Streetcar Named Desire,1951,A Streetcar Named Desire,Kim Hunter,White,White
Anthony Quinn,Viva Zapata!,1952,The Bad and the Beautiful,Gloria Grahame,Mixed,White
Frank Sinatra,From Here to Eternity,1953,From Here to Eternity,Donna Reed,White,White
Edmond O'Brien,The Barefoot Contessa,1954,On the Waterfront,Eva Marie Saint,White,White
Jack Lemmon,Mister Roberts,1955,East of Eden,Jo Van Fleet,White,White
Anthony Quinn,Lust for Life,1956,Written on the Wind,Dorothy Malone,Mixed,White
Red Buttons,Sayonara,1957,Sayonara,Miyoshi Umeki,White,Asian
Burl Ives,The Big Country,1958,Separate Tables,Wendy Hiller,White,White
Hugh Griffith,Ben-Hur,1959,The Diary of Anne Frank,Shelley Winters,White,White
Peter Ustinov,Spartacus,1960,Elmer Gantry,Shirley Jones,White,White
George Chakiris,West Side Story,1961,West Side Story,Rita Moreno,White,White
Ed Begley,Sweet Bird of Youth,1962,The Miracle Worker,Patty Duke,White,White
Melvyn Douglas,Hud,1963,The V.I.P.s,Margaret Rutherford,White,White
Peter Ustinov,Topkapi,1964,Zorba the Greek,Lila Kedrova,White,White
Martin Balsam,A Thousand Clowns,1965,A Patch of Blue,Shelley Winters,White,White
Walter Matthau,The Fortune Cookie,1966,Who's Afraid of Virginia Woolf?,Sandy Dennis,White,White
George Kennedy,Cool Hand Luke,1967,Bonnie and Clyde,Estelle Parsons,White,White
Jack Albertson,The Subject Was Roses,1968,Rosemary's Baby,Ruth Gordon,White,White
Gig Young,"They Shoot Horses, Don't They?",1969,Cactus Flower,Goldie Hawn,White,White
John Mills,Ryan's Daughter,1970,Airport,Helen Hayes,White,White
Ben Johnson,The Last Picture Show,1971,The Last Picture Show,Cloris Leachman,White,White
Joel Grey,Cabaret,1972,Butterflies Are Free,Eileen Heckart,White,White
John Houseman,The Paper Chase,1973,Paper Moon,Tatum O'Neal,White,White
Robert De Niro,The Godfather Part II,1974,Murder on the Orient Express,Ingrid Bergman,White,White
