,index,Actor supporting role,Movie_male,Years,Movies_female,Actress in supporting role
0,0,Walter Brennan,Come and Get It,1936,Anthony Adverse,Gale Sondergaard
1,1,Joseph Schildkraut,The Life of Emile Zola,1937,In Old Chicago,Alice Brady
2,2,Walter Brennan,Kentucky,1938,Jezebel,Fay Bainter
3,3,Thomas Mitchell,Stagecoach,1939,Gone with the Wind,Hattie McDaniel
4,4,Walter Brennan,The Westerner,1940,The Grapes of Wrath,Jane Darwell
5,5,Donald Crisp,How Green Was My Valley,1941,The Great Lie,Mary Astor
6,6,Van Heflin,Johnny Eager,1942,Mrs. Miniver,Teresa Wright
7,7,Charles Coburn,The More the Merrier,1943,For Whom the Bell Tolls,Katina Paxinou
8,8,Barry Fitzgerald,Going My Way,1944,None but the Lonely Heart,Ethel Barrymore
9,9,James Dunn,A Tree Grows in Brooklyn,1945,National Velvet,Anne Revere
10,10,Harold Russell,The Best Years of Our Lives,1946,The Razor's Edge,Anne Baxter
11,11,Edmund Gwenn,Miracle on 34th Street,1947,Gentleman's Agreement,Celeste Holm
12,12,Walter Huston,The Treasure of the Sierra Madre,1948,Key Largo,Claire Trevor
13,13,Dean Jagger,Twelve O'Clock High,1949,All the King's Men,Mercedes McCambridge
14,14,George Sanders,All about Eve,1950,Harvey,Josephine Hull
15,15,Karl Malden,A Streetcar Named Desire,1951,A Streetcar Named Desire,Kim Hunter
16,16,Anthony Quinn,Viva Zapata!,1952,The Bad and the Beautiful,Gloria Grahame
17,17,Frank Sinatra,From Here to Eternity,1953,From Here to Eternity,Donna Reed
18,18,Edmond O'Brien,The Barefoot Contessa,1954,On the Waterfront,Eva Marie Saint
19,19,Jack Lemmon,Mister Roberts,1955,East of Eden,Jo Van Fleet
20,20,Anthony Quinn,Lust for Life,1956,Written on the Wind,Dorothy Malone
21,21,Red Buttons,Sayonara,1957,Sayonara,Miyoshi Umeki
22,22,Burl Ives,The Big Country,1958,Separate Tables,Wendy Hiller
23,23,Hugh Griffith,Ben-Hur,1959,The Diary of Anne Frank,Shelley Winters
24,24,Peter Ustinov,Spartacus,1960,Elmer Gantry,Shirley Jones
25,25,George Chakiris,West Side Story,1961,West Side Story,Rita Moreno
26,26,Ed Begley,Sweet Bird of Youth,1962,The Miracle Worker,Patty Duke
27,27,Melvyn Douglas,Hud,1963,The V.I.P.s,Margaret Rutherford
28,28,Peter Ustinov,Topkapi,1964,Zorba the Greek,Lila Kedrova
29,29,Martin Balsam,A Thousand Clowns,1965,A Patch of Blue,Shelley Winters
30,30,Walter Matthau,The Fortune Cookie,1966,Who's Afraid of Virginia Woolf?,Sandy Dennis
31,31,George Kennedy,Cool Hand Luke,1967,Bonnie and Clyde,Estelle Parsons
32,32,Jack Albertson,The Subject Was Roses,1968,Rosemary's Baby,Ruth Gordon
33,33,Gig Young,"They Shoot Horses, Don't They?",1969,Cactus Flower,Goldie Hawn
34,34,John Mills,Ryan's Daughter,1970,Airport,Helen Hayes
35,35,Ben Johnson,The Last Picture Show,1971,The Last Picture Show,Cloris Leachman
36,36,Joel Grey,Cabaret,1972,Butterflies Are Free,Eileen Heckart
37,37,John Houseman,The Paper Chase,1973,Paper Moon,Tatum O'Neal
38,38,Robert De Niro,The Godfather Part II,1974,Murder on the Orient Express,Ingrid Bergman
39,39,George Burns,The Sunshine Boys,1975,Shampoo,Lee Grant
40,40,Jason Robards,All the President's Men,1976,Network,Beatrice Straight
41,41,Jason Robards,Julia,1977,Julia,Vanessa Redgrave
42,42,Christopher Walken,The Deer Hunter,1978,California Suite,Maggie Smith
43,43,Melvyn Douglas,Being There,1979,Kramer vs. Kramer,Meryl Streep
44,44,Timothy Hutton,Ordinary People,1980,Melvin and Howard,Mary Steenburgen
45,45,John Gielgud,Arthur,1981,Reds,Maureen Stapleton
46,46,"Louis Gossett, Jr.",An Officer and a Gentleman,1982,Tootsie,Jessica Lange
47,47,Jack Nicholson,Terms of Endearment,1983,The Year of Living Dangerously,Linda Hunt
48,48,Haing S. Ngor,The Killing Fields,1984,A Passage to India,Peggy Ashcroft
49,49,Don Ameche,Cocoon,1985,Prizzi's Honor,Anjelica Huston
50,50,Michael Caine,Hannah and Her Sisters,1986,Hannah and Her Sisters,Dianne Wiest
51,51,Sean Connery,The Untouchables,1987,Moonstruck,Olympia Dukakis
52,52,Kevin Kline,A Fish Called Wanda,1988,The Accidental Tourist,Geena Davis
53,53,Denzel Washington,Glory,1989,My Left Foot,Brenda Fricker
54,54,Joe Pesci,Good Fellas,1990,Ghost,Whoopi Goldberg
55,55,Jack Palance,City Slickers,1991,The Fisher King,Mercedes Ruehl
56,56,Gene Hackman,Unforgiven,1992,My Cousin Vinny,Marisa Tomei
57,57,Tommy Lee Jones,The Fugitive,1993,The Piano,Anna Paquin
58,58,Martin Landau,Ed Wood,1994,Bullets over Broadway,Dianne Wiest
59,59,Kevin Spacey,The Usual Suspects,1995,Mighty Aphrodite,Mira Sorvino
60,60,"Cuba Gooding, Jr.",Jerry Maguire,1996,The English Patient,Juliette Binoche
61,61,Robin Williams,Good Will Hunting,1997,L.A. Confidential,Kim Basinger
62,62,James Coburn,Affliction,1998,Shakespeare in Love,Judi Dench
63,63,Michael Caine,The Cider House Rules,1999,"Girl, Interrupted",Angelina Jolie
64,64,Benicio Del Toro,Traffic,2000,Pollock,Marcia Gay Harden
65,65,Jim Broadbent,Iris,2001,A Beautiful Mind,Jennifer Connelly
66,66,Chris Cooper,Adaptation,2002,Chicago,Catherine Zeta-Jones
67,67,Tim Robbins,Mystic River,2003,Cold Mountain,Renée Zellweger
68,68,Morgan Freeman,Million Dollar Baby,2004,The Aviator,Cate Blanchett
69,69,George Clooney,Syriana,2005,The Constant Gardener,Rachel Weisz
70,70,Alan Arkin,Little Miss Sunshine,2006,Dreamgirls,Jennifer Hudson
71,71,Javier Bardem,No Country for Old Men,2007,Michael Clayton,Tilda Swinton
72,72,Heath Ledger,The Dark Knight,2008,Vicky Cristina Barcelona,Penélope Cruz
