Year of Death,"All Races,Both Sexes","All Races,Males","All Races,Females","Whites,Both Sexes","Whites,Males","Whites,Females","Blacks,Both Sexes","Blacks,Males","Blacks,Females"
1975,199.14,258.43,160.03,196.33,254,158.99,235.5,320.45,174.17
1976,202.3,262.23,162.7,199.38,257.5,161.69,241.76,328.45,179.1
1977,203.02,264.23,162.94,199.67,258.78,161.61,246.38,337.95,181.6
1978,204.42,267.07,163.76,201.14,261.65,162.54,247.24,340.91,181.53
1979,204.53,268.65,163.06,201.2,263.24,161.7,248.98,344.67,182.73
1980,206.96,271.08,165.75,203.27,265.03,164.17,256.18,353.91,189.25
1981,206.4,269.78,165.9,202.64,263.27,164.55,256.77,358.65,187.47
1982,208.32,272.89,167.45,204.54,266.28,166.11,260.36,364.86,190.17
1983,209.21,274.09,168.27,205.17,267.22,166.69,263.75,369.32,193.24
1984,210.91,275.08,170.55,206.66,267.55,169.02,268.15,377.93,195.67
1985,211.35,275.68,170.96,207.25,268.25,169.58,268.06,377.82,196.31
1986,211.79,276.04,171.59,207.73,268.83,170.01,269.45,378.92,199.05
1987,211.91,276.34,171.54,207.78,268.96,169.87,271.12,383.24,199.91
1988,212.62,276.89,172.53,208.48,269.46,170.94,271.59,384.17,200.36
1989,214.3,278.5,174.25,209.96,270.25,172.88,275.87,395.28,200.87
1990,214.95,279.82,174.65,210.41,271.48,172.89,279.3,399.14,205.39
1991,215.06,279.15,175.3,210.62,271.19,173.41,278.97,395.85,207.39
1992,213.46,276.51,174.39,209.24,268.91,172.58,274.93,389.2,205.8
1993,213.45,275.89,174.55,209.16,267.89,172.82,277.09,394.76,206.29
1994,211.74,272.12,174.11,207.83,264.73,172.62,271.96,385.2,204.06
1995,209.89,268.5,173.35,206.09,261.46,171.73,269.51,379.02,204.53
1996,207,263.75,171.21,203.4,256.83,169.85,265.28,373.7,200.94
1997,203.55,258.13,169,199.94,251.58,167.35,262.14,363.18,202.53
1998,200.82,253.63,166.93,197.56,247.62,165.38,255.66,353.13,198.38
1999,200.72,252.75,167.24,197.75,247.14,165.92,253.8,349.23,197.54
2000,198.79,248.46,166.7,196.37,243.37,165.98,248.07,341.2,193.21
2001,196.29,245.05,164.61,193.98,240.31,163.75,244.34,334.14,192.12
2002,194.36,241.63,163.38,192.38,237.62,162.56,240.81,325.8,191.45
2003,190.89,235.81,161.16,189.1,232.16,160.4,235.16,314.6,188.76
2004,186.84,230.27,157.92,185.21,226.6,157.41,228.98,307.3,183.51
2005,185.23,228.09,156.46,183.87,224.94,156.04,224.83,300.33,180.94
2006,182.03,222.56,154.63,181.1,220.02,154.52,218.93,290.16,177.31
2007,179.26,219.33,152,178.3,216.64,151.91,216.23,286.57,175.47
2008,176.32,215.34,149.27,175.69,213.21,149.37,209.37,275.26,170.41
2009,173.4,211.17,147.12,173.03,209.33,147.48,205.39,268.91,167.41
2010,171.75,208.8,145.73,171.36,207.16,145.86,202.85,264.15,166.19
2011,168.73,204.27,143.49,168.54,203.3,143.45,199.04,253.59,166.03
2012,166.31,200.52,141.77,166.42,199.86,142.04,194.09,247.18,161.72
2013,163.14,196.39,139.2,163.52,195.93,139.83,189.66,240.27,158.5
2014,161.3,193.56,137.91,161.9,193.57,138.55,186.4,234.14,156.97
