Site,Incidence (2010-2014) Both Sexes,"Incidence(a) (2010-2014),Males","Incidence(a) (2010-2014),Females","US Mortality(b) (2010-2014),Both Sexes","US Mortality(b) (2010-2014),Males","US Mortality(b) (2010-2014),Females","Survival(c) (%) (2007-2013),Both Sexes","Survival(c) (%) (2007-2013),Males","Survival(c) (%) (2007-2013),Females"
All Sites,442.7,492.4,408.7,166.1,200.5,141.5,67,66.8,67.2
Oral Cavity & Pharynx:,11.2,16.9,6.2,2.5,3.8,1.3,64.5,63.6,66.8
Lip,0.7,1.1,0.3,0,0,0,89.6,89.7,89.2
Tongue,3.3,5.1,1.8,0.6,0.9,0.4,65.5,65.8,64.5
Salivary gland,1.3,1.7,1,0.2,0.4,0.1,71.9,63.9,82.7
Floor of mouth,0.5,0.7,0.3,0,0,0,53.2,52,56.2
Gum & other oral cavity,1.5,1.8,1.3,0.4,0.5,0.3,59.1,54.8,64.3
Nasopharynx,0.6,0.9,0.4,0.2,0.3,0.1,61.2,59.7,64.8
Tonsil,2,3.4,0.7,0.2,0.4,0.1,73.4,73.9,70.8
Oropharynx,0.4,0.7,0.2,0.2,0.4,0.1,43.9,45.2,39.2
Hypopharynx,0.6,1,0.2,0.1,0.2,0,33,33.1,32.1
Other oral cavity & pharynx,0.3,0.4,0.1,0.4,0.8,0.2,42.1,43.9,36.4
Digestive System:,81.5,99.3,66.7,41.6,53.4,31.9,43.9,41.7,46.7
Esophagus,4.2,7.3,1.7,4.1,7.3,1.5,18.8,18.7,19.2
Stomach,7.3,9.9,5.2,3.2,4.4,2.3,30.6,28.4,34.1
Small intestine,2.3,2.6,2,0.4,0.5,0.3,67.5,67,68.1
Colon & Rectum:,40.1,46,35.1,14.8,17.7,12.4,64.9,64.5,65.2
Colon,28.2,31.3,25.8,-,-,-,64.1,64,64.1
Rectum,11.8,14.8,9.4,-,-,-,66.7,65.5,68.2
"Anus, anal canal & anorectum",1.8,1.5,2.1,0.2,0.2,0.3,66.9,60.3,70.9
Liver & intrahepatic bile duct,8.6,13.3,4.6,6.3,9.2,3.7,17.6,17.2,18.6
Gallbladder,1.2,0.9,1.4,0.6,0.5,0.7,18.2,16.7,18.8
Other biliary,1.9,2.4,1.6,0.4,0.5,0.4,17,18.2,15.7
Pancreas,12.5,14.2,11.1,10.9,12.6,9.5,8.2,8.2,8.1
Retroperitoneum,0.4,0.4,0.4,0.1,0.1,0.1,54.9,55.1,54.6
"Peritoneum, omentum & mesentery",0.5,0.1,0.9,0.3,0.1,0.4,31.7,41.8,30.9
Other digestive system,0.7,0.8,0.6,0.3,0.4,0.3,9.3,8.3,10.1
Respiratory System:,59.8,72.3,50.1,46,58.1,36.8,21.1,19.9,22.6
"Nose, nasal cavity & middle ear",0.7,0.9,0.5,0.1,0.2,0.1,57.1,58.6,54.7
Larynx,3.1,5.4,1.1,1,1.9,0.4,60.7,61.3,58.1
Lung & bronchus,55.8,65.7,48.4,44.7,55.9,36.3,18.1,15.2,21.3
Pleura(d),0,0,0,0.1,0.1,0,25.8,26.7,24.4
Trachea & other respiratory organs,0.2,0.3,0.1,0.1,0.1,0,52.9,53.7,50.7
Bones & joints,0.9,1.1,0.8,0.4,0.5,0.3,67.7,66,70
Soft tissue (including heart),3.4,4.1,2.9,1.3,1.5,1.2,64.4,63.7,65.3
Skin (excl. basal & squamous):,24.4,32.1,18.7,3.6,5.6,2.1,91.1,89.1,93.7
