Primary Site,U.S. Mortality Percent Change 1950-2014,U.S. Mortality Percent Change 1950-2014,"5-Year Relative Survival Rates (Percent), 1950-1954",5-Year Relative Survival Rates (Percent) 2007-2013
Oral cavity and pharynx,-50.3,-1.3,46,69.2
Esophagus,24.7,0.7,4,22.3
Stomach,-88.5,-3.3,12,29.9
Colon and rectum,-57.7,-1.3,37,67.1
Colon,-51.7,-1.1,41,66.5
Rectum,-71.2,-2.2,40,68.5
Liver and intrahepatic bile duct,61.6,0.9,1,17.7
Pancreas,27.4,0.1,1,8.9
Larynx,-42.2,-0.8,52,64.5
Lung and bronchus,183.5,1.1,6,19.6
Lung and bronchus (Males),109,0.4,5,16.9
Lung and bronchus (Females),507.4,2.5,9,22.6
Melanoma of the skin,163.1,1.2,49,93.6
Breast(females),-38.5,-0.7,60,92.2
Cervix uteri,-81.9,-3.1,59,70.8
"Corpus and uterus, NOS",-64.5,-1.5,72,85.3
Ovary,-17,-0.4,30,46.2
Prostate,-38.5,-0.6,43,99.6
Testis,-70.2,-2.7,57,96.9
Urinary bladder,-29.8,-0.6,53,78.6
Kidney and renal pelvis,27.8,0.4,34,74.8
Brain and nervous system,55.9,0.4,21,33.4
Thyroid,-41.3,-0.9,80,98.4
Hodgkin lymphoma,-83.6,-3.3,30,88.9
Non-Hodgkin lymphoma,70.6,0.7,33,74.2
Myeloma,209.7,1,6,50.6
Leukemia,-4.4,-0.3,10,64.8
Childhood (Ages 0-14),-75.2,-2.6,20,85.2
All Sites,-17.5,-0.2,35,70.1
