,Movies,count,mean
0,12 Years a Slave,10,6.2
1,2046,2,4.0
2,24 Hour Party People,2,6.0
3,25th Hour,12,5.5
4,3-Iron,2,3.0
5,35 Shots of Rum,5,7.4
6,"4 Months, 3 Weeks & 2 Days",17,5.235294117647059
7,5 Broken Cameras,1,8.0
8,5x2,1,8.0
9,678,1,8.0
10,7 Letters,1,10.0
11,99 Homes,1,6.0
12,A Borrowed Identity,1,4.0
13,A Commuter’s Life,2,7.5
14,A Girl Walks Home Alone at Night,1,8.0
15,A History of Violence,6,4.833333333333333
16,A Letter to Nelson Mandela,1,3.0
17,A Pigeon Sat on a Branch Reflecting on Existence,3,6.0
18,A Prophet,7,7.0
19,A Separation,28,5.571428571428571
20,A Serious Man,8,7.5
21,A Single Man,1,5.0
22,A Tale of Two Sisters,1,7.0
23,A Time for Drunken Horses,1,2.0
24,A Touch of Sin,4,7.25
25,A Vingança de Uma Mulher,1,8.0
26,AI: Artificial Intelligence,4,4.0
27,About Elly,3,8.666666666666666
28,Actress,1,10.0
29,Adaptation,3,5.666666666666667
30,Adventureland,1,9.0
31,After the Wedding,1,10.0
32,Ajami,1,10.0
33,Alexandre Sokurov,1,3.0
34,All Divided Selves,1,10.0
35,Almayer's Folly,1,7.0
36,Almost Famous,4,3.75
37,Alpha Dog,1,5.0
38,American Hustle,1,8.0
39,American Psycho,3,6.0
40,American Splendor,1,8.0
41,Amores Perros,4,6.75
42,Amour,8,5.0
43,Amélie,5,5.6
44,An Injury to One,1,4.0
45,Anchorman: The Legend of Ron Burgundy,1,9.0
46,Animal Kingdom,2,5.5
47,Ankhon Dekhi,1,1.0
48,Anomalisa,1,3.0
49,Another Year,1,6.0
50,Antichrist,2,3.5
51,Apocalypto,1,4.0
52,Arabian Nights: Volume 1 – The Restless One,1,8.0
53,Archipelago,1,5.0
54,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,1,9.0
55,At the First Breath of Wind,1,7.0
56,Attack the Block,2,8.5
57,Aurora,1,10.0
58,Avatar,2,8.0
59,Babel,1,2.0
60,Bad Education,2,6.5
61,Bad Lieutenant: Port of Call New Orleans,1,10.0
62,Bamboozled,1,10.0
63,Barbara,1,10.0
64,Battle Royale,1,8.0
65,Battle in Heaven,1,5.0
66,Be Kind Rewind,1,8.0
67,Beasts of the Southern Wild,2,5.5
68,Before Midnight,2,3.5
69,Before Sunset,5,4.6
70,Before the Devil Knows You're Dead,1,9.0
71,Beginners,1,10.0
72,Belle,1,10.0
73,Bend It Like Beckham,1,2.0
74,Best in Show,1,9.0
75,Beyond the Hills,1,3.0
76,Birdman,5,7.2
77,Birth,2,3.0
78,Black Swan,1,4.0
79,Blissfully Yours,1,7.0
80,Blue Is the Warmest Color,7,4.285714285714286
81,Blue Valentine,3,7.333333333333333
82,Bone Tomahawk,1,10.0
83,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,5,9.8
84,Bowling for Columbine,2,9.5
85,Boyhood,30,4.566666666666666
86,Brick,2,8.0
87,Bridesmaids,3,5.666666666666667
88,Bright Star,1,1.0
89,Brokeback Mountain,11,6.363636363636363
90,Brooklyn,6,3.5
91,Burning Bush,1,7.0
92,Butter on the Latch,1,6.0
93,Caché,13,5.461538461538462
94,Café Lumière,2,5.0
95,Capitalism: Child Labor,1,2.0
96,Captain America: Winter Soldier,1,3.0
97,Caramel,1,1.0
98,Carlos,3,4.0
99,Carol,6,5.333333333333333
100,Casino Royale,4,7.75
101,Cast Away,1,7.0
102,Cave of Forgotten Dreams,1,7.0
103,Centochiodi,1,10.0
104,Certified Copy,9,5.777777777777778
105,Chakde! India,1,6.0
106,Che,2,7.0
107,Chicago,1,7.0
108,Children of Men,18,4.777777777777778
109,Chuck & Buck,1,2.0
110,City of God,10,5.8
111,Climates,1,3.0
112,Closed Curtain,1,6.0
113,Collateral,1,3.0
114,Colossal Youth,2,5.0
115,Coma,1,10.0
116,Coming Home,1,10.0
117,Conversations on a Sunday Afternoon,1,9.0
118,Cosmos,1,2.0
119,Court,1,2.0
120,Crank,1,6.0
121,Crimson Gold,1,10.0
122,"Crouching Tiger, Hidden Dragon",8,4.0
123,Cuba: An African Odyssey,1,3.0
124,Dancer in the Dark,2,5.5
125,Daylight Moon,1,5.0
126,Days of Glory,2,5.5
127,Death Proof – Grindhouse,1,8.0
128,Detention,1,7.0
129,Dev D,1,5.0
130,Dirty Pretty Things,1,5.0
131,Distant,3,6.666666666666667
132,District 9,3,8.333333333333334
133,Divine Intervention,1,9.0
134,Django Unchained,1,3.0
135,Dogtooth,2,6.5
136,Dogville,5,5.0
137,Donnie Darko,3,8.666666666666666
138,Dreams of a Life,1,3.0
139,Drive,2,6.0
140,Déjà Vu,1,9.0
141,"Eat, Sleep, Die",1,9.0
142,Eden,2,4.5
143,Eldorado,1,9.0
144,Elena,1,4.0
145,Elephant,6,7.666666666666667
146,Enter the Void,3,5.333333333333333
147,Eternal Sunshine of the Spotless Mind,29,4.827586206896552
148,Even If She Had Been a Criminal...,1,4.0
149,Everyone Else,1,8.0
150,Evolution of a Filipino Family,1,5.0
151,Ex Machina,2,4.0
152,Extraordinary Stories,1,6.0
153,Ezra,1,10.0
154,Fados,1,10.0
155,Fantastic Mr Fox,4,7.75
156,Far From Heaven,5,5.6
157,Fat Girl,2,7.0
158,Father of My Children,1,10.0
159,Femme Fatale,5,8.4
160,Film socialisme,2,3.5
161,Finding Nemo,4,6.5
162,Fish Tank,5,3.8
163,Footnote,1,6.0
164,Four Lions,1,5.0
165,Frances Ha,2,9.0
166,From What Is Before,1,9.0
