,Age,Injured Male,Population (thousands) Male,Injury Rate Male,Injured Female,Population (thousands) Female,Injury Rate Female
0,0-4,0,10178,4,1000,9730,9
1,5-9,1000,10459,11,1000,10028,8
2,10-14,3000,10520,25,2000,10102,24
4,15-19,4000,10798,40,3000,10311,30
5,20-24,4000,11668,38,4000,11071,34
6,25-29,3000,11409,29,3000,11052,26
7,30-34,3000,10890,26,1000,10786,12
8,35-39,2000,10173,20,1000,10201,14
9,40-44,2000,10030,24,1000,10185,12
10,45-49,2000,10335,19,3000,10519,26
11,50-54,5000,10964,43,2000,11370,15
12,55-59,3000,10598,31,2000,11210,18
13,60-64,2000,9117,19,2000,9953,18
14,65-69,1000,7596,19,2000,8471,18
15,70-74,1000,5296,21,2000,6187,30
16,75-79,0,3611,9,1000,4513,17
17,80+,1000,4587,13,1000,7500,13
