Episodes_First,Characters,Episodes_deaths,Deaths
38,Adrack Humble,38,Dead
51,Akho,54,Dead
1,Bran Stark,64,Alive
1,Sansa Stark,64,Alive
1,Arya Stark,64,Alive
1,Theon Greyjoy,64,Alive
1,Nymeria,64,Alive
1,Ghost,64,Alive
1,Jaime Lannister,64,Alive
1,Cersei Lannister,64,Alive
1,Sandor Clegane,64,Alive
1,Tyrion Lannister,64,Alive
1,Daenerys Targaryen,64,Alive
1,Jorah Mormont,64,Alive
3,Petyr Baelish,64,Alive
3,Varys,64,Alive
4,Samwell Tarly,64,Alive
4,Gregor Clegane,64,Alive
4,Bronn,,Alive
5,Robin Arryn,64,Alive
10,Hot Pie,64,Alive
10,Drogon,64,Alive
10,Viserion,64,Alive
10,Rhaegal,64,Alive
11,Eddison Tollett,64,Alive
11,Gilly,64,Alive
11,Melisandre,64,Alive
11,Davos Seaworth,64,Alive
12,Podrick Payne,64,Alive
12,Yara Greyjoy,64,Alive
13,Brienne of Tarth,64,Alive
21,Tormund Giantsbane,64,Alive
21,Qyburn,64,Alive
21,Missandei,64,Alive
22,Meera Reed,64,Alive
22,Thoros of Myr,64,Alive
25,Grey Worm,64,Alive
31,Ellaria Sand,64,Alive
36,Tycho Nestoris,64,Alive
38,Yohn Royce,64,Alive
48,Wun Wun,64,Alive
51,Maester Wolkan,64,Alive
52,Euron Greyjoy,64,Alive
56,Dickon Tarly,64,Alive
56,Randyll Tarly,64,Alive
57,Lady Lyanna Mormont,64,Alive
57,Robett Glover,64,Alive
60,Cley Cerwyn,64,Alive
60,Wyman Manderly,64,Alive
61,Ned Umber,64,Alive
61,Alys Karstark,64,Alive
61,Archmaester Ebrose,64,Alive
3,Alliser Thorne,53,Dead
11,Alton Lannister,17,Dead
13,Amory Lorch,16,Dead
32,Axell Florent,32,Dead
12,Balon Greyjoy,52,Dead
19,Baratheon Officer,19,Dead
5,Barra,11,Dead
3,Barristan Selmy,44,Dead
54,Belicho Paenymion,59,Dead
6,Beric Dondarrion,25,Dead
17,Billy,17,Dead
12,Biter ,37,Dead
38,Black Jack Bulwer,38,Dead
51,Bolton Officer,51,Dead
15,Borba,18,Dead
41,Bowen Marsh,53,Dead
44,Brother Boake,60,Dead
57,Brother Ray,57,Dead
23,"Brynden ""The Blackfish"" Tully",58,Dead
1,Catelyn Stark,29,Dead
39,Cooper,39,Dead
11,Craster,24,Dead
Episodes_First,Characters,Episodes_deaths,Deaths
21,Dongo,39,Dead
39,Donnel Hill,39,Dead
11,Dontos Hollard,33,Dead
42,Doran Martell,51,Dead
2,Doreah,20,Dead
15,Drennan,16,Dead
37,Dying man,37,Dead
1,Eddard Stark,9,Dead
25,Edric Baratheon,25,Dead
15,Emmon Cuy,15,Dead
22,Anguy,22,Dead
1,Gared,1,Dead
46,Ghita,46,Dead
50,Gordy,50,Dead
3,Grand Maester Pycelle,60,Dead
8,Greatjon Umber,10,Dead
23,Greizhen mo Ullhor,24,Dead
3,Grenn,39,Dead
1,Grey Wind,29,Dead
33,Guymon,33,Dead
52,Harald Karstark,59,Dead
15,Harker,18,Dead
5,Heward,5,Dead
33,Hizdahr zo Loraq,49,Dead
1,Hodor,55,Dead
4,Hugh of the Vale,4,Dead
54,Iggo,54,Dead
2,Irri,16,Dead
17,Jack,17,Dead
8,Jafer Flowers,8,Dead
4,Janos Slynt,43,Dead
21,Jaremy Mallister,21,Dead
3,Jeor Mormont,24,Dead
1,Joffrey Baratheon,32,Dead
22,Jojen Reed,40,Dead
1,Jon Snow,50,Dead
48,Karsi,48,Dead
25,Karstark lookout,25,Dead
38,Kegs,38,Dead
8,Kevan Lannister,60,Dead
54,Khal Brozho,54,Dead
1,Khal Drogo,10,Dead
54,Khal Forzho,54,Dead
51,Khal Moro,54,Dead
54,Khal Qorro,54,Dead
54,Khal Rhalko,54,Dead
21,Kraznys mo Nakloz,24,Dead
4,Kurleket,5,Dead
1,Lady,2,Dead
3,Lancel Lannister,60,Dead
2,Lannister guardsman,14,Dead
14,Lannister guardsman,14,Dead
1,Magister Illyrio Mopatis,3,Last seen
1,Benjen Stark,60,Last seen
2,Ilyn Payne,19,Last seen
4,Gendry,30,Last seen
5,Mord,6,Last seen
8,Galbart Glover,10,Last seen
10,Jaqen H'ghar,58,Last seen
12,Jaqen H'ghar ,58,Last seen
12,Salladhor Saan,26,Last seen
15,Quaithe,17,Last seen
23,Edmure Tully,58,Last seen
25,Olyvar,56,Last seen
28,Daario Naharis,60,Last seen
28,High Septon,43,Last seen
36,Lhara,49,Last seen
40,Ternesio Terys,52,Last seen
42,Lollys Stokeworth,42,Last seen
52,Aeron Greyjoy,55,Last seen
44,Lead Dornish Guard,44,Dead
40,Leaf,55,Dead
48,Loboda,48,Dead
22,Locke,35,Dead
10,Lommy Greenhands,13,Dead
5,Loras Tyrell,60,Dead
26,Lothar Frey,60,Dead
31,Lowell,31,Dead
5,Lysa Arryn,37,Dead
32,Mace Tyrell,60,Dead
3,Maester Aemon,47,Dead
51,Maester Caleotte,51,Dead
11,Maester Cressen,11,Dead
1,Maester Luwin,20,Dead
39,Mag Mar Tun Doh Weg,39,Dead
1,Mago,8,Dead
21,Mance Rayder,41,Dead
7,Mandon Moore,19,Dead
13,Margaery Tyrell,60,Dead
23,Martyn Lannister,25,Dead
45,Master Eaton,45,Dead
22,Master Torturer,23,Dead
11,Matthos Seaworth,19,Dead
43,Medger Cerwyn,43,Dead
44,Merchant captain,44,Dead
28,Mero,28,Dead
8,Meryn Trant,50,Dead
8,Mirri Maz Duur,10,Dead
33,Mole's Town whore,38,Dead
31,Morgan,58,Dead
57,Morgan,58,Dead
38,Mully,38,Dead
2,Mycah,2,Dead
27,Myranda,50,Dead
1,Myrcella Baratheon,50,Dead
52,Newborn Bolton,52,Dead
44,Nymeria Sand,62,Dead
44,Obara Sand,62,Dead
31,Oberyn Martell,38,Dead
29,Old man,29,Dead
22,Olenna Tyrell,63,Dead
33,Olly,53,Dead
33,Olly's mother,33,Dead
22,Orell,29,Dead
6,Osha,54,Dead
7,Othell Yarwyck,53,Dead
8,Othor,8,Dead
33,Oznak zo Pahl,33,Dead
13,Polliver,31,Dead
28,Prendahl na Ghezn,28,Dead
14,Pyat Pree,20,Dead
3,Pypar,39,Dead
