,Episode,number,Deaths
0,1,0,Ser Waymar Royce
1,2,0,Catspaw assassin
2,3,0,None
3,4,0,Ser Hugh of the Vale
4,5,0,Kurleket
5,6,0,Wallen
6,7,0,King Robert Baratheon
7,8,0,Vayon Poole
8,9,0,Qotho
9,10,0,Rhaego
10,11,0,Silver
11,12,0,Rakharo
12,13,0,Yoren
13,14,0,Rennick
14,15,0,King Renly Baratheon
15,16,0,Ser Rodrik Cassel
16,17,0,Ser Alton Lannister
17,18,0,Borba
18,19,0,Matthos Seaworth
19,20,0,Tom
20,21,0,Ser Jaremy Mallister
21,22,0,Hoster Tully
22,23,0,Master Torturer
23,24,0,Bannen
24,25,0,Lord Beric Dondarrion (Later Resurrected)
25,26,0,Ros
26,27,0,None
27,28,0,Mero
28,29,0,Old man
29,30,0,Many unnamed Bolton soldiers
30,31,0,Lowell
31,32,0,Tansy
32,33,0,Ser Dontos Hollard
33,34,0,Many unnamed Slave masters
34,35,0,All 11 Mutineers
35,36,0,Many unnamed Bolton soldiers
36,37,0,Dying man
37,38,0,Kegs
38,39,0,Dongo
39,40,0,Zalla
40,41,0,White Rat
41,42,0,Dwarf
42,43,0,Despondent man
43,44,0,Lead Dornish Guard
44,45,0,Master Eaton
45,46,0,Ghita
46,47,0,Maester Aemon
47,48,0,Lord of Bones
48,49,0,Princess Shireen Baratheon
49,50,0,Queen Selyse Baratheon
50,51,0,Bolton Officer
51,52,0,King's Landing boaster
52,53,0,Ser Arthur Dayne (Flashback)
53,54,0,Iggo
54,55,0,White Walker
55,56,0,King Aerys II Targaryen (Flashback)
56,57,0,Maege Mormont (Confirmed Fate)
57,58,0,Steve
58,59,0,Belicho Paenymion
59,60,0,Grand Maester Pycelle
60,61,0,Harald Karstark (Confirmed Fate)
61,62,0,Obara Sand
62,63,0,Tyene Sand
63,1,1,Gared
64,2,1, Mycah
67,5,1, Ser Willis Wode
68,6,1, Stiv
69,7,1, Varly
70,8,1,speared by a Lannister guardsman
71,9,1, Lord Eddard Stark (Warden of The North & Hand of The King)
72,10,1, Khal Drogo
73,11,1, Maester Cressen
75,13,1, Lommy Greenhands
76,14,1,Lannister guardsman
77,15,1, Emmon Cuy
78,16,1, The High Septon
79,17,1,Torrhen Karstark
80,18,1,Harker
81,19,1,Baratheon Officer
82,20,1,Maester Luwin
83,21,1, 1 unnamed Black Brother
85,23,1, 3 unnamed Bolton soldiers
86,24,1, Craster
87,25,1,Willem Lannister
88,26,1,At least 6 unnamed Wildlings
90,28,1, Prendahl na Ghezn
91,29,1,Orell
92,30,1,Many unnamed Stark soldiers
93,31,1,Polliver
94,32,1,Ser Axell Florent
95,33,1,Guymon
98,36,1,Many unnamed Greyjoy soldiers
99,37,1,Biter
100,38,1,Black Jack Bulwer
101,39,1,Smitty
102,40,1,Jojen Reed
103,41,1,King-Beyond-the-Wall Mance Rayder
104,42,1,Son of the Harpy
105,43,1,Lord Medger Cerwyn
106,44,1, Merchant captain
109,47,1,Old woman
110,48,1, Loboda
111,49,1, Dothraki pit fighter
112,50,1, Baratheon General
113,51,1, Areo Hotah
114,52,1, Lord Roose Bolton
115,53,1, Ser Gerold Hightower (Flashback)
116,54,1, Akho
117,55,1, Summer
118,56,1, Many Wights
119,57,1, Brother Ray
120,58,1, Riddell
121,59,1, Razdal mo Eraz
122,60,1, Ser Lancel Lannister
123,61,1, Sally (Confirmed Fate)
124,62,1,Nymeria Sand
125,63,1, Olenna Tyrell
126,1,2,Lord Jon Arryn (Hand of the king & Warden of the East)
127,2,2, Lady
130,5,2, Wyl
131,6,2, Ser Vardis Egen
132,7,2, At least 20 unnamed Stark soldiers
133,8,2, Septa Mordane
134,9,2, Many unnamed Stark soldiers
135,10,2, Mirri Maz Duur
136,11,2, Barra
138,13,2, At least 3 unnamed Lannister soldiers
139,14,2,Tortured prisoner
140,15,2, Robar Royce
141,16,2, Ser Amory Lorch
142,17,2,11 of the Thirteen
143,18,2,Stonesnake
144,19,2,Ser Mandon Moore
145,20,2,Pyat Pree
146,21,2, At least 199 Northmen
149,24,2, Lord Commander Jeor Mormont
150,25,2,Martyn Lannister
153,28,2, White Walker
154,29,2,Queen Talisa Stark
155,30,2,Many unnamed Frey soldiers
156,31,2,At least 3 unnamed Lannister soldiers
157,32,2,King Joffrey I Baratheon
158,33,2,Olly's mother
160,35,2,Karl
162,37,2,Rorge
163,38,2,Mully
164,39,2,Pypar
165,40,2,Shae
167,42,2,Mossador
168,43,2,Lord Janos Slynt
169,44,2, Ser Barristan Selmy
172,47,2,Many unnamed Slaves
173,48,2, White Walker
174,49,2, Norvoshi pit fighter
175,50,2, Gordy
176,51,2, Prince Doran Martell
177,52,2, Lady Walda Bolton
178,53,2, Lord Greatjon Umber (Confirmed Fate)
179,54,2, Osha
180,55,2, Three-eyed raven
182,57,2, Many unnamed Villagers
183,58,2, Gatins
184,59,2, Prince Rickon Stark
185,60,2, The High Sparrow
186,61,2,Sally's father (Confirmed Fate)
187,62,2,Many unnamed Ironborn soldiers
188,63,2, Many unnamed Unsullied soldiers
189,1,3,Will
193,5,3, Heward
194,6,3, Prince Viserys Targaryen
196,8,3,stabbed by Lannister guardsmen
197,9,3, Many unnamed Lannister soldiers
199,11,3, 1 unnamed Knight
201,13,3, At least 2 unnamed men
202,14,3,Stafford Lannister
203,15,3, The Tickler
204,16,3, Drennan
206,18,3,At least 9 unnamed Lannister soldiers
207,19,3,Many unnamed Baratheon soldiers
208,20,3,Qhorin Halfhand
212,24,3, Kraznys mo Nakloz
213,25,3,Karstark lookout
217,29,3,Wendel Manderly
218,30,3,At least 163 slaves
220,32,3,2 unnamed men
221,33,3,Oznak zo Pahl
223,35,3,Rast
225,37,3,Lady Lysa Arryn
226,38,3,Mole's Town whore
227,39,3,Thenn Warg
228,40,3,Lord Tywin Lannister (Hand of The King
230,42,3,Many unnamed Slave masters
232,44,3,Many unnamed King's Landing residents
236,48,3, Karsi
237,49,3, Pit fighter
238,50,3, Simpson
239,51,3, Maester Caleotte
240,52,3, Newborn Bolton
241,53,3, Shaggydog (Confirmed Fate)
242,54,3, 10 Khals including
243,55,3, Leaf
246,58,3, Morgan
247,59,3, Lord Jon Umber
248,60,3, Brother Boake
249,61,3, Many unnamed Frey men
251,63,3, Many unnamed Lannister soldiers
252,1,4,At least 1 unnamed Dothraki
256,5,4, Jory Cassel
257,6,4, 1 unnamed wildling
259,8,4, Syrio Forel
262,11,4,At least 4 of Robert Baratheon's bastards
265,14,4,Many unnamed Lannister soldiers
267,16,4, Irri
268,17,4,The Spice King
270,19,4,Many unnamed Lannister soldiers
271,20,4, Doreah
275,24,4, Greizhen mo Ullhor
276,25,4,Lord Rickard Karstark
280,29,4,Grey Wind
284,33,4,Many unnamed Villagers
288,37,4,At least 3 unnamed men
289,38,4,Ralf Kenning
290,39,4,Styr
291,40,4,Protector of The Realm & Warden of The West)
293,42,4,Many unnamed Meereenese residents
295,44,4, 3 unnamed Dornish guards
299,48,4, Many unnamed Wildlings
300,49,4, Water Dancer
301,50,4, King Stannis Baratheon
302,51,4, Prince Trystane Martell
303,52,4, King Balon Greyjoy
304,53,4, Bowen Marsh
305,54,4, Khal Rhalko
306,55,4, Hodor
309,58,4, Ser Brynden Tully
310,59,4, Wun Weg Wun Dar Wun
311,60,4, Ser Loras Tyrell
314,63,4, Many unnamed Tyrell soldiers
319,5,5, At least 6 unnamed mountain clansmen
322,8,5,killed by Meryn Trant
328,14,5,Many unnamed Stark soldiers
330,16,5, At least 3 unnamed Wildlings
331,17,5,The Silk King
334,20,5, Xaro Xhoan Daxos
338,24,5, Many unnamed Slave masters
343,29,5,King Robb Stark
349,35,5,5 Black Brothers
352,38,5,Adrack Humble
353,39,5,Ygritte
354,40,5,Many unnamed Wildlings
358,44,5, Many unnamed Meereenese residents
362,48,5, Many Wights
363,49,5, Meereenese Champion
364,50,5, Myranda
365,51,5, A few unnamed Bolton soldiers
366,52,5, 2 unnamed Black Brothers
367,53,5, Othell Yarwyck
368,54,5, Khal Brozho
369,55,5, Many Wights
372,58,5, Lem Lemoncloak
373,59,5, Lord Ramsay Bolton
374,60,5, Queen Margaery Tyrell
382,5,6, At least 4 unnamed Stark soldiers
385,8,6, Stableboy
393,16,6, At least 4 unnamed Goldcloaks
394,17,6,The Copper King
397,20,6, 3 unnamed women
401,24,6, Many unnamed Astapor soldiers
406,29,6,Lady Joyeuse Erenford
415,38,6,Prince Oberyn Martell
416,39,6,Mag Mar Tun Doh Weg
417,40,6,Many unnamed Baratheon soldiers
421,44,6, Many unnamed Sons of the Harpy
425,48,6, Many unnamed Black Brothers
426,49,6, Hizdahr zo Loraq
427,50,6, Ser Meryn Trant
430,53,6, Ser Alliser Thorne
431,54,6, Khal Qorro
435,58,6, Lady Crane
436,59,6, Many unnamed Meereenese residents
437,60,6, Lord Mace Tyrell (Warden of The South)
445,5,7, At least 7 unnamed Lannister soldiers
448,8,7,stabbed by Arya Stark
456,16,7,At least 6 unnamed king's landing residents
460,20,7, 2 unnamed Stark soldiers
469,29,7,Lady Catelyn Stark
475,35,7,Locke
478,38,7,Many unnamed Villagers
479,39,7,Grenn
480,40,7,Many Wights
484,44,7, Many unnamed Unsullied
489,49,7, Many unnamed Slave Masters
490,50,7, Princess Myrcella Baratheon
493,53,7, Olly
494,54,7, Khal Forzho
498,58,7, The Waif
499,59,7, Many unnamed Slave Masters
500,60,7, Ser Kevan Lannister (Hand of The King & Protector of The Realm)
511,8,8, Mago
520,17,8,Winterfell Shepherd
532,29,8,At least 3 unnamed Wildlings
541,38,8,Many unnamed Greyjoy soldiers
542,39,8,Cooper
552,49,8, Many unnamed Sons of the Harpy
553,50,8, Lord Commander Jon Snow (Later Resurrected)
556,53,8, 4 unnamed Stark soldiers (Flashback)
557,54,8, Khal Moro
561,58,8, 1 unnamed brother of the Faith Militant
562,59,8, Many unnamed Sons of the Harpy
563,60,8, King Tommen Baratheon
574,8,9,throat slit by Drogo
583,17,9,Winterfell Shepherd's wife
595,29,9,Many unnamed Yunkai soldiers
605,39,9,Donnel Hill
615,49,9, Many unnamed Meereenese residents
616,50,9, Many unnamed Baratheon soldiers
624,58,9, 2 unnamed outlaws
625,59,9, Many unnamed Soldiers from various houses
626,60,9," Ser ""Black"" Walder Rivers"
637,8,10, Jafer Flowers
646,17,10,Billy
658,29,10,Many unnamed Stark soldiers
668,39,10,Many unnamed Black brothers
679,50,10, Many unnamed Bolton soldiers
689,60,10," ""Lame"" Lothar Frey"
700,8,11,burned by black brothers
709,17,11,Jack
731,39,11,Many unnamed Wildlings
742,50,11, 1 unnamed Faceless man
752,60,11, Lord Walder Frey
763,8,12, Othor
772,17,12,At least 20 unnamed Lannister soldiers
794,39,12,Many unnamed Thenns
815,60,12, Lady Lyanna Stark (Flashback)
826,8,13,burned by Jon Snow
878,60,13, Many unnamed Sparrows
889,8,14, At least 5 unnamed Stark soldiers
941,60,14,Many unnamed King's Landing residents
952,8,15, At least 14 unnamed Villagers
