,Episodes_First,Characters,Episodes_deaths,Deaths
394,31,A Thenn Warg,31,Unknown fate
313,10,Addam Marbrand,10,Unknown fate
0,38,Adrack Humble,38,Dead
144,52,Aeron Greyjoy,55,Last seen
319,11,Aggo,11,Unknown fate
1,51,Akho,54,Dead
52,3,Alliser Thorne,53,Dead
284,7,Allo,7,Unknown fate
53,11,Alton Lannister,17,Dead
50,61,Alys Karstark,64,Alive
54,13,Amory Lorch,16,Dead
449,49,Anara,49,Unknown fate
85,22,Anguy,22,Dead
51,61,Archmaester Ebrose,64,Alive
279,7,Armeca,7,Unknown fate
308,8,Aron Santagar,8,Unknown fate
435,47,Arryk,47,Unknown fate
311,9,Arwaya Frey,9,Unknown fate
364,29,Arwaya Frey (first identified),29,Unknown fate
4,1,Arya Stark,64,Alive
302,7,Arys Oakheart,7,Unknown fate
457,54,Ash,54,Unknown fate
55,32,Axell Florent,32,Dead
450,49,Aya,49,Unknown fate
285,7,Balian,7,Unknown fate
56,12,Balon Greyjoy,52,Dead
362,27,Balon Swann,27,Unknown fate
57,19,Baratheon Officer,19,Dead
58,5,Barra,11,Dead
59,3,Barristan Selmy,44,Dead
470,57,Bear Island maester,57,Unknown fate
60,54,Belicho Paenymion,59,Dead
128,1,Benjen Stark,60,Last seen
61,6,Beric Dondarrion,25,Dead
464,55,Bianca,55,Unknown fate
62,17,Billy,17,Dead
63,12,Biter ,37,Dead
64,38,Black Jack Bulwer,38,Dead
359,26,Black Walder Rivers,26,Unknown fate
389,31,Blackmont,31,Unknown fate
438,47,Boake,47,Unknown fate
343,21,Boat commander,21,Unknown fate
463,55,Bobono,55,Unknown fate
65,51,Bolton Officer,51,Dead
476,59,Bolton general,59,Unknown fate
357,24,Bolton soldier,24,Unknown fate
66,15,Borba,18,Dead
301,7,Boros Blount,7,Unknown fate
338,19,Boros Blount (first identified),19,Unknown fate
67,41,Bowen Marsh,53,Dead
447,49,Braavosi madam,49,Unknown fate
2,1,Bran Stark,64,Alive
433,47,Brant,47,Unknown fate
448,49,Brea,49,Unknown fate
30,13,Brienne of Tarth,64,Alive
18,4,Bronn,64,Alive
68,44,Brother Boake,60,Dead
69,57,Brother Ray,57,Dead
349,22,Brotherhood Member,22,Unknown fate
446,49,Brusco,49,Unknown fate
70,23,"Brynden ""The Blackfish"" Tully",58,Dead
462,55,Camello,55,Unknown fate
425,42,Captain Areo Hotah,42,Unknown fate
477,59,Captain of the Bolton archers,59,Unknown fate
325,12,Captain's daughter,12,Unknown fate
71,1,Catelyn Stark,29,Dead
261,2,Catspaw assassin,2,Unknown fate
9,1,Cersei Lannister,64,Alive
306,8,Chella,8,Unknown fate
478,60,Citadel maester,60,Unknown fate
460,55,Clarenzo,55,Unknown fate
428,43,Clea,43,Unknown fate
47,60,Cley Cerwyn,64,Alive
303,7,Clydas,7,Unknown fate
258,1,Cohollo,1,Unknown fate
326,13,Colen of Greenpools,13,Unknown fate
72,39,Cooper,39,Dead
73,11,Craster,24,Dead
411,34,Craster's last son,34,Unknown fate
351,23,Craster's wife,23,Unknown fate
139,28,Daario Naharis,60,Last seen
417,38,Daemon Sand,38,Unknown fate
12,1,Daenerys Targaryen,64,Alive
332,15,Dagmer,15,Unknown fate
390,31,Dagos Manwoody,31,Unknown fate
323,11,Daisy,11,Unknown fate
283,7,Dareon,7,Unknown fate
27,11,Davos Seaworth,64,Alive
426,42,Denys Mallister,42,Unknown fate
434,47,Derek,47,Unknown fate
365,29,Derwa Frey,29,Unknown fate
380,30,Desmond Crakehall,30,Unknown fate
391,31,Deziel Dalt,21,Unknown fate
43,56,Dickon Tarly,64,Alive
445,48,Dim Dalba,48,Unknown fate
75,21,Dongo,39,Dead
76,39,Donnel Hill,39,Dead
413,35,Donnel Waynwood,35,Unknown fate
77,11,Dontos Hollard,33,Dead
78,42,Doran Martell,51,Dead
79,2,Doreah,20,Dead
274,6,Dothraki crone,6,Unknown fate
80,15,Drennan,16,Dead
21,10,Drogon,64,Alive
377,29,Drummer,29,Unknown fate
266,3,Drunk man,3,Unknown fate
442,48,Duncan Liddle,48,Unknown fate
395,32,Dwarf 1,32,Unknown fate
396,32,Dwarf 2,32,Unknown fate
