,Episodes_First,Characters,Episodes_deaths,Deaths,Difference
259,1,Haggo,1,Unknown fate,0
482,1,Viserys Targaryen,6,Dead,-5
255,1,Preston Greenfield,1,Unknown fate,0
229,1,Summer,55,Dead,-54
82,1,Eddard Stark,9,Dead,-8
128,1,Benjen Stark,60,Last seen,-59
5,1,Theon Greyjoy,64,Alive,-63
242,1,Tommen Baratheon,60,Dead,-59
254,1,Tommy,1,Unknown fate,0
257,1,Pentoshi servant,1,Unknown fate,0
495,1,Will,1,Dead,0
248,1,Wildling girl,1,Unknown fate,0
250,1,White Walker 2,1,Unknown fate,0
249,1,White Walker 1,1,Unknown fate,0
158,1,Maester Luwin,20,Dead,-19
12,1,Daenerys Targaryen,64,Alive,-63
11,1,Tyrion Lannister,64,Alive,-63
179,1,Myrcella Baratheon,50,Dead,-49
127,1,Magister Illyrio Mopatis,3,Last seen,-2
258,1,Cohollo,1,Unknown fate,0
486,1,Waymar Royce,1,Dead,0
2,1,Bran Stark,64,Alive,-63
9,1,Cersei Lannister,64,Alive,-63
71,1,Catelyn Stark,29,Dead,-28
7,1,Ghost,64,Alive,-63
93,1,Grey Wind,29,Dead,-28
86,1,Gared,1,Dead,0
99,1,Hodor,55,Dead,-54
211,1,Robert Baratheon,7,Dead,-6
252,1,Rodrik Cassel,1,Unknown fate,0
123,1,Lady,2,Dead,-1
213,1,Ros,26,Dead,-25
210,1,Robb Stark,29,Dead,-28
198,1,Qotho,9,Dead,-8
10,1,Sandor Clegane,64,Alive,-63
3,1,Sansa Stark,64,Alive,-63
116,1,Khal Drogo,10,Dead,-9
216,1,Septa Mordane,8,Dead,-7
207,1,Rickon Stark,59,Dead,-58
253,1,Jory Cassel,1,Unknown fate,0
256,1,Mikken,1,Unknown fate,0
160,1,Mago,8,Dead,-7
110,1,Jon Snow,50,Dead,-49
219,1,Shaggydog,53,Dead,-52
108,1,Joffrey Baratheon,32,Dead,-31
6,1,Nymeria,64,Alive,-63
4,1,Arya Stark,64,Alive,-63
251,1,Jeyne Poole,1,Unknown fate,0
8,1,Jaime Lannister,64,Alive,-63
13,1,Jorah Mormont,64,Alive,-63
202,2,Rast,35,Dead,-33
260,2,Jhiqui,2,Unknown fate,0
79,2,Doreah,20,Dead,-18
102,2,Irri,16,Dead,-14
261,2,Catspaw assassin,2,Unknown fate,0
129,2,Ilyn Payne,19,Last seen,-17
177,2,Mycah,2,Dead,0
125,2,Lannister guardsman,14,Dead,-12
501,3,Yoren,13,Dead,-10
263,3,Old Nan,3,Unknown fate,0
155,3,Maester Aemon,47,Dead,-44
52,3,Alliser Thorne,53,Dead,-50
262,3,Royal Steward,3,Unknown fate,0
230,3,Syrio Forel,8,Dead,-5
59,3,Barristan Selmy,44,Dead,-41
204,3,Renly Baratheon,15,Dead,-12
264,3,Goldcloak 1,3,Unknown fate,0
14,3,Petyr Baelish,64,Alive,-61
265,3,Goldcloak 2,3,Unknown fate,0
199,3,Rakharo,12,Dead,-9
89,3,Grand Maester Pycelle,60,Dead,-57
92,3,Grenn,39,Dead,-36
266,3,Drunk man,3,Unknown fate,0
124,3,Lancel Lannister,60,Dead,-57
107,3,Jeor Mormont,24,Dead,-21
15,3,Varys,64,Alive,-61
196,3,Pypar,39,Dead,-36
105,4,Janos Slynt,43,Dead,-39
18,4,Bronn,64,Alive,-60
130,4,Gendry,30,Last seen,-26
