,Unnamed: 0,Episodes_First,Characters,Episodes_deaths,Deaths,Difference
0,216,1,Septa Mordane,8,Dead,-7
1,211,1,Robert Baratheon,7,Dead,-6
2,12,1,Daenerys Targaryen,64,Alive,-63
3,210,1,Robb Stark,29,Dead,-28
4,486,1,Waymar Royce,1,Dead,0
5,82,1,Eddard Stark,9,Dead,-8
6,219,1,Shaggydog,53,Dead,-52
7,207,1,Rickon Stark,59,Dead,-58
8,86,1,Gared,1,Dead,0
9,7,1,Ghost,64,Alive,-63
10,482,1,Viserys Targaryen,6,Dead,-5
11,93,1,Grey Wind,29,Dead,-28
12,99,1,Hodor,55,Dead,-54
13,8,1,Jaime Lannister,64,Alive,-63
14,108,1,Joffrey Baratheon,32,Dead,-31
15,110,1,Jon Snow,64,Dead,-49
16,13,1,Jorah Mormont,64,Alive,-63
17,116,1,Khal Drogo,10,Dead,-9
18,11,1,Tyrion Lannister,64,Alive,-63
19,123,1,Lady,2,Dead,-1
20,242,1,Tommen Baratheon,60,Dead,-59
21,198,1,Qotho,9,Dead,-8
22,5,1,Theon Greyjoy,64,Alive,-63
23,158,1,Maester Luwin,20,Dead,-19
24,127,1,Magister Illyrio Mopatis,3,Last seen,-2
25,160,1,Mago,8,Dead,-7
26,179,1,Myrcella Baratheon,50,Dead,-49
27,229,1,Summer,55,Dead,-54
28,9,1,Cersei Lannister,64,Alive,-63
29,71,1,Catelyn Stark,29,Dead,-28
30,6,1,Nymeria,64,Alive,-63
31,213,1,Ros,26,Dead,-25
32,3,1,Sansa Stark,64,Alive,-63
33,128,1,Benjen Stark,60,Last seen,-59
34,495,1,Will,1,Dead,0
35,4,1,Arya Stark,64,Alive,-63
36,2,1,Bran Stark,64,Alive,-63
37,10,1,Sandor Clegane,64,Alive,-63
38,202,2,Rast,35,Dead,-33
39,129,2,Ilyn Payne,19,Last seen,-17
40,102,2,Irri,16,Dead,-14
41,125,2,Lannister guardsman,14,Dead,-12
42,79,2,Doreah,20,Dead,-18
43,177,2,Mycah,2,Dead,0
44,92,3,Grenn,39,Dead,-36
45,155,3,Maester Aemon,47,Dead,-44
46,124,3,Lancel Lannister,60,Dead,-57
47,52,3,Alliser Thorne,53,Dead,-50
48,199,3,Rakharo,12,Dead,-9
49,59,3,Barristan Selmy,44,Dead,-41
50,107,3,Jeor Mormont,24,Dead,-21
51,14,3,Petyr Baelish,64,Alive,-61
52,230,3,Syrio Forel,8,Dead,-5
53,501,3,Yoren,13,Dead,-10
54,204,3,Renly Baratheon,15,Dead,-12
55,196,3,Pypar,39,Dead,-36
56,89,3,Grand Maester Pycelle,60,Dead,-57
57,15,3,Varys,64,Alive,-61
58,105,4,Janos Slynt,43,Dead,-39
59,130,4,Gendry,30,Last seen,-26
60,122,4,Kurleket,5,Dead,-1
61,17,4,Gregor Clegane,64,Alive,-60
62,497,4,Willis Wode,5,Dead,-1
63,16,4,Samwell Tarly,64,Alive,-60
64,100,4,Hugh of the Vale,4,Dead,0
65,18,4,Bronn,64,Alive,-60
66,150,5,Loras Tyrell,60,Dead,-55
67,19,5,Robin Arryn,64,Alive,-59
68,153,5,Lysa Arryn,37,Dead,-32
69,498,5,Wyl,5,Dead,0
70,58,5,Barra,11,Dead,-6
71,479,5,Vardis Egen,6,Dead,-1
72,131,5,Mord,6,Last seen,-1
73,97,5,Heward,5,Dead,0
74,485,6,Wallen,6,Dead,0
75,189,6,Osha,54,Dead,-48
76,61,6,Beric Dondarrion,25,Dead,-19
77,226,6,Stiv,6,Dead,0
78,162,7,Mandon Moore,19,Dead,-12
79,247,7,Tywin Lannister,40,Dead,-33
80,190,7,Othell Yarwyck,53,Dead,-46
81,480,7,Varly,7,Dead,0
82,114,8,Kevan Lannister,60,Dead,-52
83,191,8,Othor,8,Dead,0
84,481,8,Vayon Poole,8,Dead,0
85,171,8,Meryn Trant,50,Dead,-42
86,104,8,Jafer Flowers,8,Dead,0
87,172,8,Mirri Maz Duur,10,Dead,-2
88,90,8,Greatjon Umber,10,Dead,-2
89,132,8,Galbart Glover,10,Last seen,-2
90,218,9,Shae,40,Dead,-31
91,484,9,Walder Frey,60,Dead,-51
92,149,10,Lommy Greenhands,13,Dead,-3
93,21,10,Drogon,64,Alive,-54
94,23,10,Rhaegal,64,Alive,-54
95,22,10,Viserion,64,Alive,-54
96,20,10,Hot Pie,64,Alive,-54
97,206,10,Rickard Karstark,25,Dead,-15
99,73,11,Craster,24,Dead,-13
100,77,11,Dontos Hollard,33,Dead,-22
101,157,11,Maester Cressen,11,Dead,0
102,53,11,Alton Lannister,17,Dead,-6
103,215,11,Selyse Baratheon,50,Dead,-39
104,27,11,Davos Seaworth,64,Alive,-53
105,167,11,Matthos Seaworth,19,Dead,-8
106,25,11,Gilly,64,Alive,-53
107,24,11,Eddison Tollett,64,Alive,-53
108,26,11,Melisandre,64,Alive,-53
109,224,11,Stannis Baratheon,50,Dead,-39
110,28,12,Podrick Payne,64,Alive,-52
111,63,12,Biter ,37,Dead,-25
112,29,12,Yara Greyjoy,64,Alive,-52
113,134,12,Jaqen H'ghar ,58,Last seen,-46
114,135,12,Salladhor Saan,26,Last seen,-14
115,56,12,Balon Greyjoy,52,Dead,-40
116,30,13,Brienne of Tarth,64,Alive,-51
117,193,13,Polliver,31,Dead,-18
118,163,13,Margaery Tyrell,60,Dead,-47
119,54,13,Amory Lorch,16,Dead,-3
120,212,14,Roose Bolton,52,Dead,-38
121,236,14,The Silk,17,Dead,-3
