,Characters,Dialogue,Movie
13,SHUTTLE CAPTAIN,Command station this is ST 321. Code Clearance Blue. We're starting our approach. Deactivate the security shield.,Return of the Jedi
15,SHUTTLE CAPTAIN,We're starting our approach.,Return of the Jedi
19,OFFICER,Inform the commander that Lord Vader's shuttle has arrived.,Return of the Jedi
20,OPERATOR,Yes sir.,Return of the Jedi
25,JERJERROD,Lord Vader this is an unexpected pleasure. We're honored by your presence.,Return of the Jedi
26,VADER,You may dispense with the pleasantries Commander. I'm here to put you back onschedule.,Return of the Jedi
28,JERJERROD,I assure you Lord Vader my men are working as fast as they can.,Return of the Jedi
29,VADER,Perhaps I can find new ways to motivate them.,Return of the Jedi
30,JERJERROD,I tell you this station will be operational as planned.,Return of the Jedi
31,VADER,The Emperor does not share your optimistic appraisal of the situation.,Return of the Jedi
32,JERJERROD,But he asks the impossible. I need more men.,Return of the Jedi
33,VADER,Then perhaps you can tell him when he arrives.,Return of the Jedi
35,VADER,That is correct Commander. And he is most displeased with your apparent lack of progress.,Return of the Jedi
36,JERJERROD,We shall double our efforts.,Return of the Jedi
37,VADER,I hope so Commander for your sake. The Emperor is not as forgiving as I am.,Return of the Jedi
40,THREEPIO,Of course I'm worried. And you should be too. Lando Calrissian and poor Chewbacca never returned from this awful place.,Return of the Jedi
42,THREEPIO,Don't be so sure. If I told you half the things I've heard about this Jabba the Hutt you'd probably short-circuit.,Return of the Jedi
44,THREEPIO,Artoo are you sure this is the right place? I better knock I suppose.,Return of the Jedi
49,STRANGE VOICE,Tee chuta hhat yudd!,Return of the Jedi
50,THREEPIO,Goodness gracious me!,Return of the Jedi
52, THREEPIO, Artoo Detoowha bo Seethreepiowha ey toota odd mischka Jabba du Hutt.,Return of the Jedi
54,THREEPIO,I don't think they're going to let us in Artoo. We'd better go.,Return of the Jedi
59,THREEPIO,Oh Artoo!  Artoo wait for me!,Return of the Jedi
62,THREEPIO,Just you deliver Master Luke's message and get us out of here. Oh my! Oh! Oh no.,Return of the Jedi
64,BIB,Die Wanna Wanga!,Return of the Jedi
65,THREEPIO,Oh my! Die Wanna Wauaga. We -- we bring a message to your master Jabba the Hutt.,Return of the Jedi
69,BIB,Nee Jabba no badda. Me chaade su goodie.,Return of the Jedi
71,THREEPIO,He says that our instructions are to give it only to Jabba himself.,Return of the Jedi
