,10,Script,test,Characters,Dialogue,test_2,Movie
583,,ANAKIN and the GIRLS say hello shyly. Then:NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN and the GIRLS say hello shyly. Then,,True,Revenge of the Sith
840,,"				OBI-WAN
			Arfour relay this ""scramble code
			five"" to Courscant: care of ""the
			old folks home.""NoneNoneNoneNoneNoneNone",True,"OBI-WAN
			Arfour relay this ""scramble code
			five"" to Courscant"," care of ""the
			old folks home.""",True,Revenge of the Sith
954,,"EXT. TIPOCA CITY KAMINO LANDING PLATFORM (RAINSTORM) - DAY
JANGO FETT picks up a case and swings it up to BOBA FETT who stows it inside the ship. JANGO FETT picks up another case and is about to swing it when:NoneNoneNoneNoneNoneNone",True,"EXT. TIPOCA CITY KAMINO LANDING PLATFORM (RAINSTORM) - DAY
JANGO FETT picks up a case and swings it up to BOBA FETT who stows it inside the ship. JANGO FETT picks up another case and is about to swing it when",,True,Revenge of the Sith
963,,OUTSIDE OBI-WAN makes a sudden attack swinging at JANGO FETT who deflects the blows. One slices off a piece of the bounty hunter's shoulder plate. JANGO FETT rockets into the air and hovers above OBI-WAN. The Jedi spins as:NoneNoneNoneNoneNoneNone,True,OUTSIDE OBI-WAN makes a sudden attack swinging at JANGO FETT who deflects the blows. One slices off a piece of the bounty hunter's shoulder plate. JANGO FETT rockets into the air and hovers above OBI-WAN. The Jedi spins as,,True,Revenge of the Sith
967,,IN THE COCKPIT BOBA FETT watches as:NoneNoneNoneNoneNoneNoneNoneNone,True,IN THE COCKPIT BOBA FETT watches as,,True,Revenge of the Sith
974,,OUTSIDE Jango Fett's ship lifts off from the platform and heads up into the lowering sky. It disappears. Lightning flashes. Rain lashes the tower and streams across the surface of the platform to where:NoneNoneNoneNoneNoneNoneNone,True,OUTSIDE Jango Fett's ship lifts off from the platform and heads up into the lowering sky. It disappears. Lightning flashes. Rain lashes the tower and streams across the surface of the platform to where,,True,Revenge of the Sith
1026,,JANGO FETT guides he ship around the asteroids. Suddenly:NoneNoneNoneNoneNoneNoneNoneNoneNone,True,JANGO FETT guides he ship around the asteroids. Suddenly,,True,Revenge of the Sith
1048,,"INT. TATOOINE HOMESTEAD - GARAGE (FULL MOON) - NIGHT
PADME stands looking at a speeder parked in the garage. Short silence. Then:NoneNoneNoneNoneNoneNoneNoneNone",True,"INT. TATOOINE HOMESTEAD - GARAGE (FULL MOON) - NIGHT
PADME stands looking at a speeder parked in the garage. Short silence. Then",,True,Revenge of the Sith
1457,,FADE OUT:NoneNoneNoneNoneNoneNoneNoneNoneNone,True,FADE OUT,,True,Revenge of the Sith
1526,,ANAKIN: There isn't a droid made that can out fly you Master and no other way to get to the Chancellor . . .NoneNoneNoneNoneNoneNoneNone,True,ANAKIN, There isn't a droid made that can out fly you Master and no other way to get to the Chancellor . . .,True,Revenge of the Sith
1527,,OBI-WAN: Look out four droids inbound . . .NoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Look out four droids inbound . . .,True,Revenge of the Sith
1532,,OBI-WAN: We've got to split them up.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, We've got to split them up.,True,Revenge of the Sith
1533,,ANAKIN: Break left fly through the guns on that tower.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Break left fly through the guns on that tower.,True,Revenge of the Sith
1535,,OBI-WAN: Easy for you to say . . . why am I always the bait?NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Easy for you to say . . . why am I always the bait?,True,Revenge of the Sith
1536,,ANAKIN: Don't worry. I'm coming around behind you.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Don't worry. I'm coming around behind you.,True,Revenge of the Sith
1538,,OBI-WAN: Anakin they're all over me!NoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Anakin they're all over me!,True,Revenge of the Sith
1539,,ANAKIN: Dead ahead! Closing . . . lock onto him Artoo . . .NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Dead ahead! Closing . . . lock onto him Artoo . . .,True,Revenge of the Sith
1541,,ANAKIN: (continuing laughs) We got him Artoo!NoneNoneNoneNoneNoneNoneNone,True,ANAKIN,  We got him Artoo!,True,Revenge of the Sith
1543,,ANAKIN: I copy Artoo.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, I copy Artoo.,True,Revenge of the Sith
1544,,OBI-WAN: I'm going down on the deck.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, I'm going down on the deck.,True,Revenge of the Sith
1545,,ANAKIN: Good idea ... I need some room to maneuver.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Good idea ... I need some room to maneuver.,True,Revenge of the Sith
1547,,ANAKIN: (continuing) Cut right. Do you hear me?! Cut right. Don't let him get a handle on you. Come on Artoo lock on! Lock on!NoneNoneNoneNoneNoneNoneNone,True,ANAKIN,  Cut right. Do you hear me?! Cut right. Don't let him get a handle on you. Come on Artoo lock on! Lock on!,True,Revenge of the Sith
1549,,OBI-WAN: Hurry up! I don't like this!NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Hurry up! I don't like this!,True,Revenge of the Sith
1551,,OBI-WAN: (continuing) Ouch!NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN,  Ouch!,True,Revenge of the Sith
1553,,OBI-WAN: (continuing) Don't even try to fix it Arfour. I've shut it down.NoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN,  Don't even try to fix it Arfour. I've shut it down.,True,Revenge of the Sith
1554,,ANAKIN: We're locked on ... we've got him . . .NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, We're locked on ... we've got him . . .,True,Revenge of the Sith
1556,,ANAKIN: (continuing) Yeah! We got him . . . good going Artoo.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN,  Yeah! We got him . . . good going Artoo.,True,Revenge of the Sith
1557,,OBI-WAN: Next time you're the bait . . . Now let's find the Command Ship and get on with it ...NoneNoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, Next time you're the bait . . . Now let's find the Command Ship and get on with it ...,True,Revenge of the Sith
1559,,ANAKIN: Lock onto them Artoo. Master General Grievous's ship is directly ahead.NoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Lock onto them Artoo. Master General Grievous's ship is directly ahead.,True,Revenge of the Sith
1561,,ANAKIN: (continuing) The one crawling with vulture droids.NoneNoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN,  The one crawling with vulture droids.,True,Revenge of the Sith
1563,,OBI-WAN: I see it. Oh this is going to be easy.NoneNoneNoneNoneNoneNoneNoneNone,True,OBI-WAN, I see it. Oh this is going to be easy.,True,Revenge of the Sith
1565,,ANAKIN: Come on Master.NoneNoneNoneNoneNoneNoneNoneNone,True,ANAKIN, Come on Master.,True,Revenge of the Sith
