,Characters,Script,Test,Movie
0,TC-14,The Ambassadors are Jedi Knights I believe,False,The Phantom Menace
1,PR-4,I'm not made to think.,False,The Phantom Menace
2,KI-ADI,Impossible! The Sith have been extinct for a millenium,False,The Phantom Menace
3,KI-ADI,YOur thoughts dwell on your mother,False,The Phantom Menace
4,KI-ADI,The Force is strong with him,False,The Phantom Menace
5,KI-ADI,Events are moving fast...too fast,False,The Phantom Menace
6,KI-ADI,I sense he will reveal himself again,False,The Phantom Menace
7,QUI-GON,Not likely,False,The Phantom Menace
8,ANAKIN,But I..,False,The Phantom Menace
9,AKS MOE," The Congress of Malastare concurs with the honorable delegate
from the Trade Federation. A commision must be appointed...that is the law",False,The Phantom Menace
10,AMIDALA,Beware Viceroy....the Federation is going too far this time,False,The Phantom Menace
11,AMIDALA,Senator Palpatine?!?  What's happening?,False,The Phantom Menace
12,AMIDALA,Either choice presents a great risk...to all of us..,False,The Phantom Menace
13,AMIDALA,"  Clean this droid up the best you can. It deserves our
gratitude... Continue Captain.",False,The Phantom Menace
14,AMIDALA,Who is it,False,The Phantom Menace
15,AMIDALA,I've sent Padme on an errand,False,The Phantom Menace
16,AMIDALA," Honorable representatives of the Republic distinguished
delegates and Your Honor Supreme Chancellor Valorum I come to you under
the gravest of circumstances. The Naboo system has been invaded by force.
Invaded...against all the laws of the Republic by the Droid Armies of the
Trade..",False,The Phantom Menace
17,AMIDALA,"  I will not defer...I have come before you to resolve
this attack on our sovereignty now. I was not elected to watch my people
suffer and die while you discuss this invasion in a committee. If this body
is not capable of action I suggest new leadership is needed. I move for a
""vote of no confidence""...in Chancellor Valorum's leadership",False,The Phantom Menace
18,AMIDALA,I am Queen Amidala of the Naboo...I come before you in peace,False,The Phantom Menace
19,AMIDALA,We wish to form an alliance...,False,The Phantom Menace
20,AMIDALA," Congratulations on youer election Chancellor. It is so good to
see you again",False,The Phantom Menace
21,AMIDALA," You will not be pleased when you hear what I have to say
Viceroy...Your trade boycott of our planet has ended.",False,The Phantom Menace
22,AMIDALA," I have word that the Senate is finally voting on this blockade of
yours",False,The Phantom Menace
23,AMIDALA,It is to be commended...what is its number?,False,The Phantom Menace
24,AMIDALA,Thank you Artoo Detoo. You have proven to be very loyal...Padme!,False,The Phantom Menace
