,Characters,Dialogue,Movie
18,THREEPIO,Did you hear that? They've shut down                          the main reactor. We'll be destroyed                          for sure. This is madness!,A New Hope
20,THREEPIO,We're doomed!,A New Hope
22,THREEPIO,There'll be no escape for the Princess                          this time.,A New Hope
24,THREEPIO,What's that?,A New Hope
31,THREEPIO,I should have known better than to                          trust the logic of a half-sized                          thermocapsulary dehousing assister...,A New Hope
36,LUKE,Hurry up! Come with me! What are you                          waiting for?! Get in gear!,A New Hope
44,THREEPIO,Artoo! Artoo-Detoo where are you?,A New Hope
46,THREEPIO,At last! Where have you been?,A New Hope
48,THREEPIO,They're heading in this direction.                          What are we going to do? We'll be                          sent to the spice mine of Kessel or                          smashed into who knows what!,A New Hope
50,THREEPIO,Wait a minute where are you going?,A New Hope
54,IMPERIAL OFFICER,The Death Star plans are not in the                          main computer.,A New Hope
56,VADER,Where are those transmissions you                          intercepted?,A New Hope
58,VADER,What have you done with those plans?,A New Hope
59,REBEL OFFICER,We intercepted no transmissions.                          Aaah... This is a consular ship.                          Were on a diplomatic mission.,A New Hope
60,VADER,If this is a consular ship... were                          is the Ambassador?,A New Hope
62,VADER,Commander tear this ship apart until                          you've found those plans and bring                          me the Ambassador. I want her alive!,A New Hope
66,TROOPER,There she is! Set for stun!,A New Hope
68,TROOPER,She'll be all right. Inform Lord                          Vader we have a prisoner.,A New Hope
71,THREEPIO,Hey you're not permitted in there.                          It's restricted. You'll be deactivated                          for sure..,A New Hope
73,THREEPIO,Don't call me a mindless philosopher                          you overweight glob of grease! Now                          come out before somebody sees you.,A New Hope
75,THREEPIO,Secret mission? What plans? What are                          you talking about? I'm not getting                          in there!,A New Hope
78,THREEPIO,I'm going to regret this.,A New Hope
81,CHIEF PILOT,There goes another one.,A New Hope
82,CAPTAIN,Hold your fire. There are no life                          forms. It must have been short-                         circuited.,A New Hope
85,THREEPIO,That's funny the damage doesn't                          look as bad from out here.,A New Hope
87,THREEPIO,Are you sure this things safe?,A New Hope
90,WOMAN,I've told you kids to slow down!,A New Hope
93,FIXER,Did I hear a young noise blast through                          here?,A New Hope
94,CAMIE,It was just wormie on another rampage.,A New Hope
96,LUKE,Shape it up you guys!... Biggs?,A New Hope
98,LUKE,I didn't know you were back! When                          did you get in?,A New Hope
99,BIGGS,Just now. I wanted to surprise you                          hot shot. I thought you'd be here...                          certainly didn't expect you to be                          out working.                              (he laughs),A New Hope
100,LUKE,The Academy didn't change you                          much...but you're back so soon? Hey                          what happened didn't you get your                          commission?,A New Hope
102,BIGGS,Of course I got it. Signed aboard                          The Rand Ecliptic last week. First                          mate Biggs Darklighter at your                          service...                              (he salutes)                         ...I just came to say good-bye to                          all you unfortunate landlocked                          simpletons.,A New Hope
104,LUKE,I almost forgot. There's a battle                          going on! Right here in our system.                          Come and look!,A New Hope
105,DEAK,Not again! Forget it.,A New Hope
108,LUKE,There they are!,A New Hope
110,BIGGS,That's no battle hot shot... they're                          just sitting there! Probably a                          freighter-tanker refueling.,A New Hope
111,LUKE,But there was a lot of firing                          earlier...,A New Hope
113,LUKE,Hey easy with those...,A New Hope
114,CAMIE,Don't worry about it Wormie.,A New Hope
116,FIXER,I keep telling you the Rebellion is                          a long way from here. I doubt if the                          Empire would even fight to keep this                          system. Believe me Luke this planet                          is a big hunk of nothing...,A New Hope
120,LEIA,Lord Vader I should have known.                          Only you could be so bold. The                          Imperial Senate will not sit for                          this when they hear you've attacked                          a diplomatic...,A New Hope
121,VADER,Don't play games with me Your                          Highness. You weren't on any mercy                          mission this time. You passed directly                          through a restricted system. Several                          transmissions were beamed to this                          ship by Rebel spies. I want to know                          what happened to the plans they sent                          you.,A New Hope
122,LEIA,I don't know what you're talking                          about. I'm a member of the Imperial                          Senate on a diplomatic mission to                          Alderaan...,A New Hope
123,VADER,You're a part of the Rebel Alliance...                          and a traitor. Take her away!,A New Hope
125,COMMANDER,Holding her is dangerous. If word of                          this gets out it could generate                          sympathy for the Rebellion in the                          senate.,A New Hope
126,VADER,I have traced the Rebel spies to                          her. Now she is my only link to find                          their secret base!,A New Hope
127,COMMANDER,She'll die before she tells you                          anything.,A New Hope
128,VADER,Leave that to me. Send a distress                          signal and then inform the senate                          that all aboard were killed!,A New Hope
130,SECOND OFFICER,Lord Vader the battle station plans                          are not aboard this ship! And no                          transmissions were made. An escape                          pod was jettisoned during the                          fighting but no life forms were                          aboard.,A New Hope
132,VADER,She must have hidden the plans in                          the escape pod. Send a detachment                          down to retrieve them. See to it                          personally Commander. There'll be                          no one to stop us this time.,A New Hope
133,COMMANDER,Yes sir.,A New Hope
138,THREEPIO,How did I get into this mess? I really                          don't know how. We seem to be made                          to suffer. It's our lot in life.,A New Hope
140,THREEPIO,I've got to rest before I fall apart.                          My joints are almost frozen.,A New Hope
142,THREEPIO,What a desolate place this is.,A New Hope
144,THREEPIO,Where are you going?,A New Hope
146,THREEPIO,Well I'm not going that way. It's                          much too rocky. This way is much                          easier.,A New Hope
148,THREEPIO,What makes you think there are                          settlements over there?,A New Hope
150,THREEPIO,Don't get technical with me.,A New Hope
152,THREEPIO,What mission? What are you talking                          about? I've had just about enough of                          you! Go that way! You'll be                          malfunctioning within a day you                          nearsighted scrap pile!,A New Hope
154,THREEPIO,And don't let me catch you following                          me begging for help because you                          won't get it.,A New Hope
156,THREEPIO,No more adventures. I'm not going                          that way.,A New Hope
160,THREEPIO,That malfunctioning little twerp.                          This is all his fault! He tricked me                          into going this way but he'll do no                          better.,A New Hope
162,THREEPIO,Wait what's that? A transport! I'm                          saved!,A New Hope
164,THREEPIO,Over here! Help! Please help!,A New Hope
167,LUKE,(Very animated)                         ...so I cut off my power shut down                          the afterburners and came in low on                          Deak's trail. I was so close I thought                          I was going to fry my instruments.                          As it was I busted up the Skyhopper                          pretty bad. Uncle Owen was pretty                          upset. He grounded me for the rest                          of the season. You should have been                          there... it was fantastic.,A New Hope
168,BIGGS,You ought to take it easy Luke. You                          may be the hottest bushpilot this                          side of Mos Eisley but those little                          Skyhoppers are dangerous. Keep it                          up and one day whammo you're going                          to be nothing more than a dark spot                          on the down side of a canyon wall.,A New Hope
169,LUKE,Look who's talking. Now that you've                          been around those giant starships                          you're beginning to sound like my                          uncle. You've gotten soft in the                          city...,A New Hope
170,BIGGS,I've missed you kid.,A New Hope
171,LUKE,Well things haven't been the same                          since you left Biggs. It's been                          so... quiet.,A New Hope
173,BIGGS,Luke I didn't come back just to say                          good-bye... I shouldn't tell you                          this but you're the only one I can                          trust... and if I don't come back I                          want somebody to know.,A New Hope
175,LUKE,What are you talking about?,A New Hope
176,BIGGS,I made some friends at the Academy.                              (he whispers)                         ...when our frigate goes to one of                          the central systems we're going to                          jump ship and join the Alliance...,A New Hope
178,LUKE,Join the Rebellion?! Are you kidding!                          How?,A New Hope
179,BIGGS,Quiet down will ya! You got a mouth                          bigger than a meteor crater!,A New Hope
180,LUKE,I'm sorry. I'm quiet.                              (he whispers)                         Listen how quiet I am. You can barely                          hear me...,A New Hope
182,BIGGS,My friend has a friend on Bestine                          who might help us make contact.,A New Hope
183,LUKE,You're crazy! You could wander around                          forever trying to find them.,A New Hope
184,BIGGS,I know it's a long shot but if I                          don't find them I'll do what I can                          on my own... It's what we always                          talked about. Luke I'm not going to                          wait for the Empire to draft me into                          service. The Rebellion is spreading                          and I want to be on the right side --                          the side I believe in.,A New Hope
185,LUKE,And I'm stuck here...,A New Hope
186,BIGGS,I thought you were going to the                          Academy next term. You'll get your                          chance to get off this rock.,A New Hope
187,LUKE,Not likely! I had to cancel my                          application. There has been a lot of                          unrest among the Sandpeople since                          you left... they've even raided the                          outskirts of Anchorhead.,A New Hope
188,BIGGS,Your uncle could hold off a whole                          colony of Sandpeople with one blaster.,A New Hope
189,LUKE,I know but he's got enough vaporators                          going to make the place pay off. He                          needs me for just one more season. I                          can't leave him now.,A New Hope
190,BIGGS,I feel for you Luke you're going                          to have to learn what seems to be                          important or what really is important.                          What good is all your uncle's work                          if it's taken over by the Empire?...                          You know they're starting to                          nationalize commerce in the central                          systems... it won't be long before                          your uncle is merely a tenant slaving                          for the greater glory of the Empire.,A New Hope
191,LUKE,It couldn't happen here. You said it                          yourself. The Empire won't bother                          with this rock.,A New Hope
192,BIGGS,Things always change.,A New Hope
193,LUKE,I wish I was going... Are you going                          to be around long?,A New Hope
194,BIGGS,No I'm leaving in the morning...,A New Hope
195,LUKE,Then I guess I won't see you.,A New Hope
196,BIGGS,Maybe someday... I'll keep a lookout.,A New Hope
197,LUKE,Well I'll be at the Academy next                          season... after that who knows. I                          won't be drafted into the Imperial                          Starfleet that's for sure... Take                          care of yourself you'll always be                          the best friend I've got.,A New Hope
198,BIGGS,So long Luke.,A New Hope
211,THREEPIO,Artoo-Detoo! It's you! It's you!,A New Hope
217,FIRST TROOPER,Someone was in the pod. The tracks                          go off in this direction.,A New Hope
219,SECOND TROOPER,Look sir -- droids.,A New Hope
224,THREEPIO,Wake up! Wake up!,A New Hope
226,THREEPIO,We're doomed.,A New Hope
228,THREEPIO,Do you think they'll melt us down?,A New Hope
230,THREEPIO,Don't shoot! Don't shoot! Will this                          never end?,A New Hope
236,BERU,Luke tell Owen that if he gets a                          translator to be sure it speaks Bocce.,A New Hope
237,LUKE,It looks like we don't have much of                          a choice but I'll remind him.,A New Hope
239,OWEN,I have no need for a protocol droid.,A New Hope
240,THREEPIO,(quickly)                         Sir -- not in an environment such as                          this -- that's why I've also been                          programmed for over thirty secondary                          functions that...,A New Hope
241,OWEN,What I really need is a droid that                          understands the binary language of                          moisture vaporators.,A New Hope
242,THREEPIO,Vaporators! Sir -- My first job was                          programming binary load lifter...                          very similar to your vaporators. You                          could say...,A New Hope
243,OWEN,Do you speak Bocce?,A New Hope
244,THREEPIO,Of course I can sir. It's like a                          second language for me... I'm as                          fluent in Bocce...,A New Hope
245,OWEN,All right shut up!                              (turning to Jawa)                         I'll take this one.,A New Hope
246,THREEPIO,Shutting up sir.,A New Hope
247,OWEN,Luke take these two over to the                          garage will you? I want you to have                          both of them cleaned up before dinner.,A New Hope
248,LUKE,But I was going into Toshi Station                          to pick up some power converters...,A New Hope
249,OWEN,You can waste time with your friends                          when your chores are done. Now come                          on get to it!,A New Hope
250,LUKE,All right come on! And the red one                          come on. Well come on Red let's                          go.,A New Hope
253,LUKE,Uncle Owen...,A New Hope
254,OWEN,Yeah?,A New Hope
255,LUKE,This R2 unit has a bad motivator.                          Look!,A New Hope
256,OWEN,(to the head Jawa)                         Hey what're you trying to push on                          us?,A New Hope
258,THREEPIO,(pointing to Artoo)                         Excuse me sir but that R2 unit is                          in prime condition. A real bargain.,A New Hope
259,LUKE,Uncle Owen...,A New Hope
260,OWEN,Yeah?,A New Hope
261,LUKE,What about that one?,A New Hope
262,OWEN,(to Jawa)                         What about that blue one? We'll take                          that one.,A New Hope
264,LUKE,Yeah take it away.,A New Hope
265,THREEPIO,Uh I'm quite sure you'll be very                          pleased with that one sir. He really                          is in first-class condition. I've                          worked with him before. Here he comes.,A New Hope
267,LUKE,Okay let's go.,A New Hope
268,THREEPIO,(to Artoo)                         Now don't you forget this! Why I                          should stick my neck out for you is                          quite beyond my capacity!,A New Hope
271,THREEPIO,Thank the maker! This oil bath is                          going to feel so good. I've got such                          a bad case of dust contamination I                          can barely move!,A New Hope
273,LUKE,It just isn't fair. Oh Biggs is                          right. I'm never gonna get out of                          here!,A New Hope
274,THREEPIO,Is there anything I might do to help?,A New Hope
276,LUKE,Well not unless you can alter time                          speed up the harvest or teleport me                          off this rock!,A New Hope
277,THREEPIO,I don't think so sir. I'm only a                          droid and not very knowledgeable                          about such things. Not on this planet                          anyways. As a matter of fact I'm                          not even sure which planet I'm on.,A New Hope
278,LUKE,Well if there's a bright center to                          the universe you're on the planet                          that it's farthest from.,A New Hope
279,THREEPIO,I see sir.,A New Hope
280,LUKE,Uh you can call me Luke.,A New Hope
281,THREEPIO,I see sir Luke.,A New Hope
282,LUKE,(laughing)                         Just Luke.,A New Hope
283,THREEPIO,And I am See-Threepio human-cyborg                          relations and this is my counterpart                          Artoo-Detoo.,A New Hope
284,LUKE,Hello.,A New Hope
286,LUKE,You got a lot of carbon scoring here.                          It looks like you boys have seen a                          lot of action.,A New Hope
287,THREEPIO,With all we've been through sometimes                          I'm amazed we're in as good condition                          as we are what with the Rebellion                          and all.,A New Hope
288,LUKE,You know of the Rebellion against                          the Empire?,A New Hope
289,THREEPIO,That's how we came to be in your                          service if you take my meaning                          sir.,A New Hope
290,LUKE,Have you been in many battles?,A New Hope
291,THREEPIO,Several I think. Actually there's                          not much to tell. I'm not much more                          than an interpreter and not very                          good at telling stories. Well not                          at making them interesting anyways.,A New Hope
293,LUKE,Well my little friend you've got                          something jammed in here real good.                          Were you on a cruiser or...,A New Hope
295,LEIA,Help me Obi-Wan Kenobi. You're my                          only hope.,A New Hope
296,LUKE,What's this?,A New Hope
298,THREEPIO,What is what?!? He asked you a                          question...                              (pointing to Leia)                         What is that?,A New Hope
