,Characters,Dialogue,Test,Movie
13,PADME,Cordé...,True,Attack of the Clones
15,CORDÉ,... I'm sorry m'lady... I'm... not sure I... ,True,Attack of the Clones
17,AMIDALA,No!... No!... No!...,True,Attack of the Clones
19,AMIDALA,I should not have come back.,True,Attack of the Clones
20,CAPTAIN TYPHO,M'Lady you are still in danger.,True,Attack of the Clones
22,CAPTAIN TYPHO,This vote is very important. You did your duty and Cordé did hers. Now come.  M'Lady please!,True,Attack of the Clones
26,MAS AMEDDA,Order! We shall have order! The motion for the Republic to commission an army takes precedent and that is what we will vote on at this time.,True,Attack of the Clones
28,PALPATINE,...My esteemed colleagues excuse me... I have just received some tragic and disturbing news. Senator Amidala of the Naboo system... Has been assassinated!,True,Attack of the Clones
30,PALPATINE, This grievous blow is especially personal to me. Before I became Chancellor I served Amidala when she was Queen. She was a great leader who fought for justice not only in this honourable assembly but also on her home planet. She was so loved she could have been elected queen for life. She believed in public service and she fervently believed in democracy. Her death is a great loss to us all. We will all mourn her as a relentless champion of freedom... and as a dear friend.,True,Attack of the Clones
32,SENATOR ASK AAK,How many more Senators will die before this civil strife ends! We must confront these rebels now and they need an army to do it.,True,Attack of the Clones
34,AMBASSADOR DARSANA,Why weren't the Jedi able to stop this assassination? We are no longer safe under their protection.,True,Attack of the Clones
36,ORN FREE TAA,The Republic needs more security now! Before it comes to war.,True,Attack of the Clones
37,PALPATINE,Must I remind the Senator from Malastare that negotiations are continuing with the separatists. Peace is our objective here... not war.,True,Attack of the Clones
39,AMIDALA,My noble colleagues I concur with the Supreme Chancellor. At all costs we do not want war!,True,Attack of the Clones
41,PALPATINE,It is with great surprise and joy the chair recognises the Senator from Naboo Padmé Amidala.,True,Attack of the Clones
42,PADME,Less than an hour ago an assassination attempt was made against my life. One of my bodyguards and six  others were ruthlessly and senselessly murdered. I was the target but more importantly I believe this security measure before you was the target. I have led the opposition to build an army... but there is someone in this body who will stop at nothing to assure it's passage...,True,Attack of the Clones
44,PADME,  I warn you if you vote to create this army war will follow. I have experienced the misery of war  first-hand; I do not wish to do it again.,True,Attack of the Clones
46,PADME,Wake up Senators... you must wake up! If you offer the separatists violence they can only show us violence in return! Many will lose their lives. All will lose their freedom. This decision could very well destroy the very foundation of our great Republic. I pray you do not let fear push you into a disastrous decision. Vote down this security measure which is nothing less than a declaration of war! Does anyone here want that? I cannot believe they do.,True,Attack of the Clones
48,ORN FREE TAA,My motion to defer the vote must be dealt with first. That is the rule of law.,True,Attack of the Clones
50,PALPATINE,Due to the lateness of the hour and the seriousness of this motion we will take up these matters tomorrow. Until then the Senate stands adjourned.,True,Attack of the Clones
53,PALPATINE,I don't know how much longer I can hold off the vote my friends. More and more star systems are joining the separatists.,True,Attack of the Clones
54,MACE WINDU ,If they do break away -,True,Attack of the Clones
55,PALPATINE,No! I will not let that happen!,True,Attack of the Clones
56,MACE WINDU ,But if they do you must realise there aren't enough Jedi to protect the Republic. We are keepers of the peace not soldiers.,True,Attack of the Clones
57,PALPATINE,Master Yoda do you think it will really come to war?,True,Attack of the Clones
59,YODA,Worse than war I fear... Much worse. ,True,Attack of the Clones
60,PALPATINE,What?,True,Attack of the Clones
61,MACE WINDU ,What do you sense Master?,True,Attack of the Clones
62,YODA,Impossible to see ... The Dark Side clouds everything. But this I am sure of -  Do their duty the Jedi will.,True,Attack of the Clones
64,DAR WAC,The loyalist committee has arrived my Lord. ,True,Attack of the Clones
65,PALPATINE,Send them in.,True,Attack of the Clones
67,YODA,With you the force is strong... young Senator. To see you alive brings warm feeling to my heart.,True,Attack of the Clones
68,PADME,Thank you Master Yoda. Do you have any idea who was behind the attack?,True,Attack of the Clones
69,MACE WINDU ,Our intelligence points to disgruntled spice miners on the moons of Naboo.,True,Attack of the Clones
70,PADME,I don't wish to disagree but I think that Count Dooku was behind it.,True,Attack of the Clones
72,MACE WINDU ,You know M'Lady Count Dooku was once a Jedi. He wouldn't assassinate anyone it is not in his character.,True,Attack of the Clones
73,KI-ADI-MUNDI,He is a political idealist not a murderer.,True,Attack of the Clones
74,YODA,In dark times nothing is what it appears to be but the fact remains Senator in grave danger you are.,True,Attack of the Clones
76,PALPATINE,Count Dooku has always avoided any kind of conflict. It appears he has no desire to start a war. Why would he kill you? To what end?,True,Attack of the Clones
77,PADME,I don't know but everything in my being tells me he was behind it... ,True,Attack of the Clones
79,PALPATINE,Master Jedi may I suggest that the Senator be placed under the protection of your graces.,True,Attack of the Clones
80,BAIL ORGANA,Do you think that is a wise use of manpower during these stressful times?,True,Attack of the Clones
81,PADME,Chancellor if I may comment I do not believe the...,True,Attack of the Clones
82,PALPATINE,"...""situation is that serious."" No but I do Senator.",True,Attack of the Clones
83,PADME,Chancellor please! I don't want any more guards!,True,Attack of the Clones
84,PALPATINE,I realise all too well that additional security might be disruptive for you but perhaps someone you are familiar with... an old friend like... Master Kenobi...,True,Attack of the Clones
86,MACE WINDU ,That's possible. He has just returned from a Border dispute on Ansion.,True,Attack of the Clones
87,PALPATINE,You must remember him M'Lady... he watched over you during the blockade conflict.,True,Attack of the Clones
88,PADME,This is not necessary Chancellor.,True,Attack of the Clones
89,PALPATINE,Do it for me M'Lady please. I will rest easier. We had a big scare today. The thought of losing you is unbearable.,True,Attack of the Clones
91,MACE WINDU ,I will have Obi-Wan report to you immediately M'Lady.,True,Attack of the Clones
93,YODA,Too little about yourself you worry Senator and too much about politics. Be mindful of your danger Padmé. Accept our help.,True,Attack of the Clones
95,PALPATINE,I will not like this Republiv that has stood for over a thousand years be split in two,True,Attack of the Clones
98,JAR JAR,Obi! Obi! Obi! Mesa sooo smilen to see'en yousa. Wahoooooo!,True,Attack of the Clones
100,OBI-WAN,It's Good to see you too Jar Jar.,True,Attack of the Clones
101,JAR JAR,Oops! Wheresa mesa manners? Excuse me Master Obi-Wan. I completely forgot myself for a moment there. I have had to learn Diplodiaclect... speak it like a native now. Don't really see the point actually but members of the Senate seem to prefer it...,True,Attack of the Clones
103,JAR JAR, Nooooooo! Yousa so biggen! Yiyiyiyyi! Annie!! Mesa no believen.,True,Attack of the Clones
104,ANAKIN,Hi Jar Jar.,True,Attack of the Clones
106,JAR JAR,Annie! Annie! Yiyiyiyiyiyiiii!,True,Attack of the Clones
108,JAR JAR,Lookie... lookie... Oops!... Oh dear I'm afraid I've forgotten myself again.,True,Attack of the Clones
110,OBI-WAN,It's a great pleasure to see you again M'Lady.,True,Attack of the Clones
111,PADME,It has been far too long Master Kenobi. I'm so glad our paths have crossed again... but I must warn you that I think your presence here is unnecessary.,True,Attack of the Clones
112,OBI-WAN,I'm sure the Jedi Council have their reasons.,True,Attack of the Clones
114,PADME,Annie??  My goodness you've grown.,True,Attack of the Clones
116,ANAKIN, So have you... grown more beautiful I mean... and much shorter... for a Senator I mean.,True,Attack of the Clones
118,PADME,Oh Annie you'll always be that little boy I knew on Tatooine.,True,Attack of the Clones
120,OBI-WAN,Our presence will be invisible M'Lady.,True,Attack of the Clones
121,CAPTAIN TYPHO,I am very grateful you are here Master Kenobi. The situation is more dangerous than the Senator will admit.,True,Attack of the Clones
122,PADME,I don't need more security I need answers. I want to know who is trying to kill me.,True,Attack of the Clones
123,OBI-WAN, We're here to protect you Senator not to start an investigation.,True,Attack of the Clones
124,ANAKIN,We will find out who is trying to kill you Padmé I promise you.,True,Attack of the Clones
126,OBI-WAN,We are not going to exceed our mandate my young Padawan learner.,True,Attack of the Clones
127,ANAKIN,I meant in the interest of protecting her Master of course.,True,Attack of the Clones
128,OBI-WAN,We are not going through this exercise again Anakin. You will pay attention to my lead.,True,Attack of the Clones
129,ANAKIN,Why?,True,Attack of the Clones
130,OBI-WAN,What??!!,True,Attack of the Clones
131,ANAKIN,Why else do you think we were assigned to her if not to find the killer? Protection is a job for local security... not Jedi. It's overkill Master. Investigation is implied in our mandate.,True,Attack of the Clones
132,OBI-WAN,We will do as the Council has instructed and you will learn your place young one.,True,Attack of the Clones
133,PADME,Perhaps with merely your presence the mysteries surrounding this threat will be revealed.  Now if you will excuse me I will retire.,True,Attack of the Clones
135,CAPTAIN TYPHO,Well I know I feel a lot better having you here. I'll have an officer on every floor and I'll be at the command centre downstairs.,True,Attack of the Clones
136,JAR JAR,Mesa busten wit happiness seein Yousa again Annie. Deesa bad times bombad times.,True,Attack of the Clones
138,ANAKIN,She didn't even recognise me Jar Jar. I thought about her every day since we parted... and she's forgotten me completely.,True,Attack of the Clones
139,JAR JAR,Shesa happy. Happier den mesa see-en her in longo time.,True,Attack of the Clones
140,OBI-WAN,Anakin you're focusing on the Negative again. Be mindful of your thoughts. She was glad to see us. Now lets check the security here.,True,Attack of the Clones
141,ANAKIN,Yes my master.,True,Attack of the Clones
144,MACE WINDU ,Why couldn't we see this attack on the Senator?,True,Attack of the Clones
145,YODA,Masking the future is this disturbance in the Force.,True,Attack of the Clones
146,MACE WINDU ,The propecy is coming true the Dark Side is growing.,True,Attack of the Clones
147,YODA,And only those who have turned to the Dark Side can sense the possibilities of the future. Only going through the Dark Side can we see.,True,Attack of the Clones
148,MACE WINDU ,It's been ten years and the Sith still have no shown themselves. Do you think they are behind this?,True,Attack of the Clones
149,YODA,...Out there they are. A certainty that is.,True,Attack of the Clones
150,MACE WINDU ,Do you think Obi-Wan's apprentice will be able to bring balance to the Force?,True,Attack of the Clones
151,YODA,Only if he chooses to follow his destiny.,True,Attack of the Clones
156,OBI-WAN,Captain Typho has more than enough men downstairs. No assassin will try that way. Any activity up here?,True,Attack of the Clones
157,ANAKIN,Quiet as a tomb. I don't like just waiting here for something to happen to her.,True,Attack of the Clones
159,OBI-WAN,What's going on?,True,Attack of the Clones
161,ANAKIN,She covered that camera. I don't think she liked me watching her.,True,Attack of the Clones
162,OBI-WAN,What is she thinking?,True,Attack of the Clones
163,ANAKIN,She programmed Artoo to warn us if there's an intruder.,True,Attack of the Clones
164,OBI-WAN,It's not an intruder I'm worried about. There are many other ways to kill a Senator.,True,Attack of the Clones
165,ANAKIN,I know but we also want to catch this assassin. Don't we Master?,True,Attack of the Clones
166,OBI-WAN,You're using her as bait??,True,Attack of the Clones
167,ANAKIN,It was her idea... No harm will come to her. I can sense everything going on in that room. Trust me.,True,Attack of the Clones
168,OBI-WAN,It's too risky... and your senses aren't that attuned young apprentice.,True,Attack of the Clones
169,ANAKIN,And yours are?,True,Attack of the Clones
170,OBI-WAN,Possibly.,True,Attack of the Clones
174,OBI-WAN,You look tired.,True,Attack of the Clones
175,ANAKIN,I don't sleep well anymore.,True,Attack of the Clones
176,OBI-WAN,Because of your mother?,True,Attack of the Clones
177,ANAKIN,I don't know why I keep dreaming About her now. I haven't seen her since I was little.,True,Attack of the Clones
178,OBI-WAN,Dreams pass in time.,True,Attack of the Clones
179,ANAKIN,I'd rather dream of Padmé. Just Being around her again is... intoxicating.,True,Attack of the Clones
180,OBI-WAN,Mind your thoughts Anakin they betray you. You've made a commitment to the Jedi order... a commitment not easily broken... and don't forget she's a politician. They're not to be trusted.,True,Attack of the Clones
181,ANAKIN,She's not like the others in the Senate Master.,True,Attack of the Clones
182,OBI-WAN,It's been my experience that Senators are only focused on pleasing those who fund their campaigns... and they are more than willing to forget the niceties of democracy to get those funds.,True,Attack of the Clones
183,ANAKIN,Not another lecture Master. Not on the economics of politics.... It's too early in the morning... and besides you're generalising. The Chancellor doesn't appear to be corrupt.,True,Attack of the Clones
184,OBI-WAN,Palpatine's a politician I've observed that he is very clever at following the passions and prejudices of the Senators.,True,Attack of the Clones
185,ANAKIN,I think he is a good man. My instincts are very positive about...,True,Attack of the Clones
187,OBI-WAN,I sense it too.,True,Attack of the Clones
193,ANAKIN,Stay here!,True,Attack of the Clones
198,OBI-WAN,I have a bad feeling about this.,True,Attack of the Clones
200,ANAKIN,That was wacky! I almost lost you in the traffic.,True,Attack of the Clones
201,OBI-WAN,What took you so long?,True,Attack of the Clones
202,ANAKIN,Oh you know Master I couldn't find a speeder I really liked with an open cockpit... and with the right speed capabilities... and then you know I had to get a really gonzo color...,True,Attack of the Clones
204,OBI-WAN,If you'd spend as much time working on your saber skills as you do on your wit young Padawan you would rival Master Yoda as a swordsman.,True,Attack of the Clones
205,ANAKIN,I thought I already did.,True,Attack of the Clones
206,OBI-WAN,Only in your mind my very young apprentice. Careful!! Hey easy!!,True,Attack of the Clones
208,ANAKIN,Sorry I forgot you don't like flying Master.,True,Attack of the Clones
209,OBI-WAN,I don't mind flying... but what you're doing is suicide!,True,Attack of the Clones
211,ANAKIN,Master you know I've been flying since before I could walk. I'm very good at this.,True,Attack of the Clones
212,OBI-WAN,Just slow down!,True,Attack of the Clones
214,OBI-WAN, Wait! Don't go in there!,True,Attack of the Clones
216,OBI-WAN, You know I don't like it when you do that!,True,Attack of the Clones
217,ANAKIN,Sorry Master. Don't worry this guy's gonna kill himself any minute now!,True,Attack of the Clones
219,OBI-WAN,What are you doing? He's gonna blast me!,True,Attack of the Clones
