,Characters,Dialogue,Test,Movie,Gender,length
0,PADME,Cordé...,True,Attack of the Clones,Female,1
1,CORDÉ,... I'm sorry m'lady... I'm... not sure I... ,True,Attack of the Clones,Female,8
2,AMIDALA,No!... No!... No!...,True,Attack of the Clones,Female,3
3,AMIDALA,I should not have come back.,True,Attack of the Clones,Female,6
4,CAPTAIN TYPHO,M'Lady you are still in danger.,True,Attack of the Clones,Male,6
5,CAPTAIN TYPHO,This vote is very important. You did your duty and Cordé did hers. Now come.  M'Lady please!,True,Attack of the Clones,Male,17
6,MAS AMEDDA,Order! We shall have order! The motion for the Republic to commission an army takes precedent and that is what we will vote on at this time.,True,Attack of the Clones,Male,27
7,PALPATINE,...My esteemed colleagues excuse me... I have just received some tragic and disturbing news. Senator Amidala of the Naboo system... Has been assassinated!,True,Attack of the Clones,Male,23
8,PALPATINE, This grievous blow is especially personal to me. Before I became Chancellor I served Amidala when she was Queen. She was a great leader who fought for justice not only in this honourable assembly but also on her home planet. She was so loved she could have been elected queen for life. She believed in public service and she fervently believed in democracy. Her death is a great loss to us all. We will all mourn her as a relentless champion of freedom... and as a dear friend.,True,Attack of the Clones,Male,88
9,SENATOR ASK AAK,How many more Senators will die before this civil strife ends! We must confront these rebels now and they need an army to do it.,True,Attack of the Clones,Male,25
10,AMBASSADOR DARSANA,Why weren't the Jedi able to stop this assassination? We are no longer safe under their protection.,True,Attack of the Clones,Male,17
11,ORN FREE TAA,The Republic needs more security now! Before it comes to war.,True,Attack of the Clones,Male,11
12,PALPATINE,Must I remind the Senator from Malastare that negotiations are continuing with the separatists. Peace is our objective here... not war.,True,Attack of the Clones,Male,21
13,AMIDALA,My noble colleagues I concur with the Supreme Chancellor. At all costs we do not want war!,True,Attack of the Clones,Female,17
14,PALPATINE,It is with great surprise and joy the chair recognises the Senator from Naboo Padmé Amidala.,True,Attack of the Clones,Male,16
15,PADME,Less than an hour ago an assassination attempt was made against my life. One of my bodyguards and six  others were ruthlessly and senselessly murdered. I was the target but more importantly I believe this security measure before you was the target. I have led the opposition to build an army... but there is someone in this body who will stop at nothing to assure it's passage...,True,Attack of the Clones,Female,67
16,PADME,  I warn you if you vote to create this army war will follow. I have experienced the misery of war  first-hand; I do not wish to do it again.,True,Attack of the Clones,Female,29
17,PADME,Wake up Senators... you must wake up! If you offer the separatists violence they can only show us violence in return! Many will lose their lives. All will lose their freedom. This decision could very well destroy the very foundation of our great Republic. I pray you do not let fear push you into a disastrous decision. Vote down this security measure which is nothing less than a declaration of war! Does anyone here want that? I cannot believe they do.,True,Attack of the Clones,Female,81
18,ORN FREE TAA,My motion to defer the vote must be dealt with first. That is the rule of law.,True,Attack of the Clones,Male,17
19,PALPATINE,Due to the lateness of the hour and the seriousness of this motion we will take up these matters tomorrow. Until then the Senate stands adjourned.,True,Attack of the Clones,Male,26
20,PALPATINE,I don't know how much longer I can hold off the vote my friends. More and more star systems are joining the separatists.,True,Attack of the Clones,Male,23
21,MACE WINDU ,If they do break away -,True,Attack of the Clones,,6
22,PALPATINE,No! I will not let that happen!,True,Attack of the Clones,Male,7
23,MACE WINDU ,But if they do you must realise there aren't enough Jedi to protect the Republic. We are keepers of the peace not soldiers.,True,Attack of the Clones,,23
24,PALPATINE,Master Yoda do you think it will really come to war?,True,Attack of the Clones,Male,11
25,YODA,Worse than war I fear... Much worse. ,True,Attack of the Clones,Male,7
26,PALPATINE,What?,True,Attack of the Clones,Male,1
27,MACE WINDU ,What do you sense Master?,True,Attack of the Clones,,5
28,YODA,Impossible to see ... The Dark Side clouds everything. But this I am sure of -  Do their duty the Jedi will.,True,Attack of the Clones,Male,22
29,DAR WAC,The loyalist committee has arrived my Lord. ,True,Attack of the Clones,Male,7
30,PALPATINE,Send them in.,True,Attack of the Clones,Male,3
31,YODA,With you the force is strong... young Senator. To see you alive brings warm feeling to my heart.,True,Attack of the Clones,Male,18
32,PADME,Thank you Master Yoda. Do you have any idea who was behind the attack?,True,Attack of the Clones,Female,14
33,MACE WINDU ,Our intelligence points to disgruntled spice miners on the moons of Naboo.,True,Attack of the Clones,,12
34,PADME,I don't wish to disagree but I think that Count Dooku was behind it.,True,Attack of the Clones,Female,14
35,MACE WINDU ,You know M'Lady Count Dooku was once a Jedi. He wouldn't assassinate anyone it is not in his character.,True,Attack of the Clones,,19
36,KI-ADI-MUNDI,He is a political idealist not a murderer.,True,Attack of the Clones,Male,8
37,YODA,In dark times nothing is what it appears to be but the fact remains Senator in grave danger you are.,True,Attack of the Clones,Male,20
38,PALPATINE,Count Dooku has always avoided any kind of conflict. It appears he has no desire to start a war. Why would he kill you? To what end?,True,Attack of the Clones,Male,27
39,PADME,I don't know but everything in my being tells me he was behind it... ,True,Attack of the Clones,Female,14
40,PALPATINE,Master Jedi may I suggest that the Senator be placed under the protection of your graces.,True,Attack of the Clones,Male,16
41,BAIL ORGANA,Do you think that is a wise use of manpower during these stressful times?,True,Attack of the Clones,Male,14
42,PADME,Chancellor if I may comment I do not believe the...,True,Attack of the Clones,Female,10
43,PALPATINE,"...""situation is that serious."" No but I do Senator.",True,Attack of the Clones,Male,9
44,PADME,Chancellor please! I don't want any more guards!,True,Attack of the Clones,Female,8
45,PALPATINE,I realise all too well that additional security might be disruptive for you but perhaps someone you are familiar with... an old friend like... Master Kenobi...,True,Attack of the Clones,Male,26
46,MACE WINDU ,That's possible. He has just returned from a Border dispute on Ansion.,True,Attack of the Clones,,12
47,PALPATINE,You must remember him M'Lady... he watched over you during the blockade conflict.,True,Attack of the Clones,Male,13
48,PADME,This is not necessary Chancellor.,True,Attack of the Clones,Female,5
49,PALPATINE,Do it for me M'Lady please. I will rest easier. We had a big scare today. The thought of losing you is unbearable.,True,Attack of the Clones,Male,23
50,MACE WINDU ,I will have Obi-Wan report to you immediately M'Lady.,True,Attack of the Clones,,9
51,YODA,Too little about yourself you worry Senator and too much about politics. Be mindful of your danger Padmé. Accept our help.,True,Attack of the Clones,Male,21
52,PALPATINE,I will not like this Republiv that has stood for over a thousand years be split in two,True,Attack of the Clones,Male,18
53,JAR JAR,Obi! Obi! Obi! Mesa sooo smilen to see'en yousa. Wahoooooo!,True,Attack of the Clones,Male,10
54,OBI-WAN,It's Good to see you too Jar Jar.,True,Attack of the Clones,Male,8
55,JAR JAR,Oops! Wheresa mesa manners? Excuse me Master Obi-Wan. I completely forgot myself for a moment there. I have had to learn Diplodiaclect... speak it like a native now. Don't really see the point actually but members of the Senate seem to prefer it...,True,Attack of the Clones,Male,43
56,JAR JAR, Nooooooo! Yousa so biggen! Yiyiyiyyi! Annie!! Mesa no believen.,True,Attack of the Clones,Male,9
57,ANAKIN,Hi Jar Jar.,True,Attack of the Clones,Male,3
58,JAR JAR,Annie! Annie! Yiyiyiyiyiyiiii!,True,Attack of the Clones,Male,3
59,JAR JAR,Lookie... lookie... Oops!... Oh dear I'm afraid I've forgotten myself again.,True,Attack of the Clones,Male,11
60,OBI-WAN,It's a great pleasure to see you again M'Lady.,True,Attack of the Clones,Male,9
61,PADME,It has been far too long Master Kenobi. I'm so glad our paths have crossed again... but I must warn you that I think your presence here is unnecessary.,True,Attack of the Clones,Female,29
62,OBI-WAN,I'm sure the Jedi Council have their reasons.,True,Attack of the Clones,Male,8
63,PADME,Annie??  My goodness you've grown.,True,Attack of the Clones,Female,5
64,ANAKIN, So have you... grown more beautiful I mean... and much shorter... for a Senator I mean.,True,Attack of the Clones,Male,16
65,PADME,Oh Annie you'll always be that little boy I knew on Tatooine.,True,Attack of the Clones,Female,12
66,OBI-WAN,Our presence will be invisible M'Lady.,True,Attack of the Clones,Male,6
67,CAPTAIN TYPHO,I am very grateful you are here Master Kenobi. The situation is more dangerous than the Senator will admit.,True,Attack of the Clones,Male,19
68,PADME,I don't need more security I need answers. I want to know who is trying to kill me.,True,Attack of the Clones,Female,18
69,OBI-WAN, We're here to protect you Senator not to start an investigation.,True,Attack of the Clones,Male,11
70,ANAKIN,We will find out who is trying to kill you Padmé I promise you.,True,Attack of the Clones,Male,14
71,OBI-WAN,We are not going to exceed our mandate my young Padawan learner.,True,Attack of the Clones,Male,12
72,ANAKIN,I meant in the interest of protecting her Master of course.,True,Attack of the Clones,Male,11
73,OBI-WAN,We are not going through this exercise again Anakin. You will pay attention to my lead.,True,Attack of the Clones,Male,16
74,ANAKIN,Why?,True,Attack of the Clones,Male,1
75,OBI-WAN,What??!!,True,Attack of the Clones,Male,1
76,ANAKIN,Why else do you think we were assigned to her if not to find the killer? Protection is a job for local security... not Jedi. It's overkill Master. Investigation is implied in our mandate.,True,Attack of the Clones,Male,34
77,OBI-WAN,We will do as the Council has instructed and you will learn your place young one.,True,Attack of the Clones,Male,16
78,PADME,Perhaps with merely your presence the mysteries surrounding this threat will be revealed.  Now if you will excuse me I will retire.,True,Attack of the Clones,Female,22
79,CAPTAIN TYPHO,Well I know I feel a lot better having you here. I'll have an officer on every floor and I'll be at the command centre downstairs.,True,Attack of the Clones,Male,26
80,JAR JAR,Mesa busten wit happiness seein Yousa again Annie. Deesa bad times bombad times.,True,Attack of the Clones,Male,13
81,ANAKIN,She didn't even recognise me Jar Jar. I thought about her every day since we parted... and she's forgotten me completely.,True,Attack of the Clones,Male,21
82,JAR JAR,Shesa happy. Happier den mesa see-en her in longo time.,True,Attack of the Clones,Male,10
83,OBI-WAN,Anakin you're focusing on the Negative again. Be mindful of your thoughts. She was glad to see us. Now lets check the security here.,True,Attack of the Clones,Male,24
84,ANAKIN,Yes my master.,True,Attack of the Clones,Male,3
85,MACE WINDU ,Why couldn't we see this attack on the Senator?,True,Attack of the Clones,,9
86,YODA,Masking the future is this disturbance in the Force.,True,Attack of the Clones,Male,9
87,MACE WINDU ,The propecy is coming true the Dark Side is growing.,True,Attack of the Clones,,10
88,YODA,And only those who have turned to the Dark Side can sense the possibilities of the future. Only going through the Dark Side can we see.,True,Attack of the Clones,Male,26
89,MACE WINDU ,It's been ten years and the Sith still have no shown themselves. Do you think they are behind this?,True,Attack of the Clones,,19
