,index,Characters,Dialogue
1,17,Lor San Tekka,This will begin to make things right. I've traveled too far and seen too much to ignore the despair in the galaxy. Without the Jedi there can be no balance in the Force.
3,19,Poe Dameron ,Well because of you now we have a chance. The General's been after this for a long time.
5,21,Lor San Tekka,Oh the General?  To me she is royalty.
7,23,Poe Dameron ,Well she certainly is that. We got company. 
9,25,Lor San Tekka,You have to hide. You have to leave. Go.
11,27,Poe Dameron ,Come on BB-8 hurry!
13,29,Storm Trooper 6,Blast that X-Wing! Over there! Over there!
15,31,Poe Dameron ,I see them. You take this. It's safer with you than it is with me. You get as far away from here as you can. Do you hear me?  I'll come back for you. It will be all right.
17,33,Storm Trooper 6,Keep moving!
19,35,Storm Trooper 5,Stay here.
21,37,Kylo Ren,Look how old you've become.
23,39,Lor San Tekka,Something far worse has happened to you.
25,41,Kylo Ren,You know what I've come for.
27,43,Lor San Tekka,I know where you come from. Before you called yourself Kylo Ren.
29,45,Kylo Ren,The map to Skywalker. We know you found it. And now you're going to give it to the First Order.
31,47,Lor San Tekka,The First Order rose from the dark side. You did not.
33,49,Kylo Ren,I'll show you the dark side.
35,51,Lor San Tekka,You may try. But you cannot deny the truth that is your family.
37,53,Kylo Ren,You're so right.
39,55,Poe Dameron ,So who talks first? You talk first? I talk first?
41,57,Kylo Ren,The old man gave it to you.
43,59,Poe Dameron ,It's just very hard to understand you with all the...
45,61,Kylo Ren,Search him.
47,63,Poe Dameron ,...apparatus.
49,65,Storm Trooper,Nothing sir.
51,67,Kylo Ren,Put him on board.
53,69,Phasma,Sir the villagers?
55,71,Kylo Ren,Kill them all.
57,73,Phasma,On my command.  Fire.
59,75,Villager,Please no!
61,77,Storm Trooper,Nothing here. Go ahead!
63,85,Poe Dameron ,All right. All right!
65,87,Phasma,FN-2187. Submit your blaster for inspection.
67,89,Finn (FN-2187),Yes Captain.
69,91,Phasma,And who gave you permission to remove that helmet?
71,93,Finn (FN-2187),I'm sorry Captain.
73,95,Phasma,Report to my division at once.
75,101,Unkar,What you brought me today is worth... hmm... one quarter portion.
77,103,Rey,Shh. That's just Teedo. Wants you for parts. He has no respect for anyone. Your antenna's bent. Where do you come from? Classified really? Me too. Big secret. Niima Outpost is that way. Stay off Kelvin Ridge. Keep away from the Sinking Fields in the north. You'll drown in the sand. Don't follow me. Town is that way. No! In the morning you go. You're welcome.
79,111,Kylo Ren,I had no idea we had the best pilot in the Resistance on board. Comfortable?
81,113,Poe Dameron ,Not really.
83,115,Kylo Ren,I'm impressed. No one has been able to get out of you... what you did with the map.
85,117,Poe Dameron ,You might want to rethink your technique.
87,119,Kylo Ren,Where is it?
89,121,Poe Dameron ,The Resistance... will not be intimidated by you.
91,123,Kylo Ren,Where... is it? It's in a droid. A BB unit.
93,125,General Hux,Well then if it's on Jakku we'll soon have it.
95,127,Kylo Ren,I leave that to you.
97,133,Rey,Don't give up hope. He still might show up. Whoever it is you're waiting for. Classified. I know all about waiting. For my family. They'll be back. One day. Come on.
99,135,Unkar,These five pieces are worth... Let me see here... hmm... one half portion.
101,137,Rey,Last week they were a half portion each.
103,139,Unkar,What about the droid?
105,141,Rey,What about him?
107,143,Unkar,I'll pay for him. Sixty portions.
109,145,Rey,Actually... The droid's not for sale. Come on.
111,147,Unkar,Follow the girl and get that droid.
113,153,Finn (FN-2187),Ren wants the prisoner. Turn here. Listen carefully. If you do exactly as I say I can get you out of here.
115,155,Poe Dameron ,What?
117,157,Finn (FN-2187),This is a rescue. I'm helping you escape. Can you fly a TIE fighter?
119,159,Poe Dameron ,You're with the Resistance?
121,161,Finn (FN-2187),What? No no no. I'm breaking you out. Can you fly a TIE fighter?
123,163,Poe Dameron ,I can fly anything. Why? Why are you helping me?
125,165,Finn (FN-2187),Because it's the right thing to do.
127,167,Poe Dameron ,You need a pilot.
129,169,Finn (FN-2187),I need a pilot.
131,171,Poe Dameron ,We're gonna do this.
133,173,Finn (FN-2187),Yeah?
135,175,Finn (FN-2187),Okay. Stay calm. Stay calm.
137,177,Poe Dameron ,I am calm.
139,179,Finn (FN-2187),I'm talking to myself. Not yet. Okay go. This way.
141,191,Poe Dameron ,I've always wanted to fly one of these things. Can you shoot?
143,193,Finn (FN-2187),Blasters I can.
145,195,Poe Dameron ,Okay same principle. Use the toggle on the left... to switch between missiles cannons and mag pulse.  Use the sight on the right to aim. Triggers to fire.
147,197,Finn (FN-2187),This is very complicated.
149,199,Poe Dameron ,I can fix this.
151,201,Some Guy,We have an unsanctioned departure from bay two. 
153,203,Captain,Alert General Hux. And stop that fighter.
155,205,Officer,Fourteen failed. Eighteen...
157,207,Poe Dameron ,I got it. Woah! This thing really moves. We gotta take out as many of these cannons as we can...or we're not gonna get very far.
159,209,Finn (FN-2187),All right.
161,211,Poe Dameron ,I'm gonna get us in position. Just stay sharp. Up ahead! Up ahead! You see it? I got us dead center. It's a clean shot.
163,213,Finn (FN-2187),Okay got it. Yeah!
165,215,Poe Dameron ,Yes!
