,Characters,Dialogue,Movie
15,LUKE,Echo Three to Echo Seven.  Han old buddy do you read me?,Empire Strike Back
17,HAN,Loud and clear kid.  What's up?,Empire Strike Back
18,LUKE,Well I finished my circle.  I don't pick up any life readings.,Empire Strike Back
19,HAN,There isn't enough life on this ice cube to fill a space cruiser.  The sensors are placed I'm going back.,Empire Strike Back
20,LUKE,Right.  I'll see you shortly.  There's a meteorite that hit the ground near here.  I want to check it out.  It won't take long.,Empire Strike Back
22,LUKE,Hey steady girl.  What's the matter?  You smell something?,Empire Strike Back
24,LUKE,Aaargh!,Empire Strike Back
32,HAN,Chewie!,Empire Strike Back
34,HAN,All right don't lose your temper.I'll come right back and give you a hand.,Empire Strike Back
39,RIEEKAN,Solo?,Empire Strike Back
40,HAN,No sign of life out there General.The sensors are in place.  You'll know if anything comes around.,Empire Strike Back
41,RIEEKAN,Commander Skywalker reported in yet?,Empire Strike Back
42,HAN,No.  He's checking out a meteorite that hit near him.,Empire Strike Back
43,RIEEKAN,With all the meteor activity in thissystem it's going to be difficult to spot approaching ships.,Empire Strike Back
45,HAN,General I've got to leave.  I can't stay anymore.,Empire Strike Back
47,RIEEKAN,I'm sorry to hear that.,Empire Strike Back
48,HAN,Well there's a price on my head.If I don't pay off Jabba the Hut I'm a dead man.,Empire Strike Back
49,RIEEKAN,A death mark's not an easy thing to live with.  You're a goodfighter Solo.  I hate to lose you.,Empire Strike Back
50,HAN,Thank you General.,Empire Strike Back
52,HAN,Well Your Highness I guess this is it.,Empire Strike Back
53,LEIA,That's right.,Empire Strike Back
55,HAN,Well don't get all mushy on me.So long Princess.,Empire Strike Back
58,LEIA,Han!,Empire Strike Back
60,HAN,Yes Your Highnessness?,Empire Strike Back
61,LEIA,I thought you decided to stay.,Empire Strike Back
62,HAN,Well the bounty hunter we ran into on Ord Mantell changed mymind.  ,Empire Strike Back
63,LEIA,Han we need you!,Empire Strike Back
64,HAN,We?,Empire Strike Back
65,LEIA,Yes.,Empire Strike Back
66,HAN,Oh what about you need?,Empire Strike Back
67,LEIA,I need?  I don't know what you're talking about.,Empire Strike Back
68,HAN, You probably don't.,Empire Strike Back
69,LEIA,And what precisely am I supposed to know?,Empire Strike Back
70,HAN,Come on!  You want me to stay because of the way you feel aboutme.,Empire Strike Back
71,LEIA,Yes.  You're a great help to us.You're a natural leader...,Empire Strike Back
72,HAN,No!  That's not it.  Come on.  Aahhh - uh huh!  Come on.,Empire Strike Back
74,LEIA,You're imagining things.,Empire Strike Back
75,HAN,Am I?  Then why are you following me?  Afraid I was going to leavewithout giving you a goodbye kiss?,Empire Strike Back
76,LEIA,I'd just as soon kiss a Wookiee.,Empire Strike Back
77,HAN,I can arrange that.  You could use a good kiss!,Empire Strike Back
81,THREEPIO,Don't try to blame me.  I didn't ask you to turn on the thermal heater.  I merely commented that it was freezing in the princess' chamber.  But it's supposed to be freezing.  How are we going to dry out all her clothes?  I really don't know.,Empire Strike Back
83,THREEPIO,Oh switch off.,Empire Strike Back
86,HAN,Why do you take this apart now? I'm trying to get us out of here and you pull both of these.,Empire Strike Back
88,THREEPIO,Excuse me sir.,Empire Strike Back
89,HAN,Put them back together right now.,Empire Strike Back
90,THREEPIO,Might I have a word with you please?,Empire Strike Back
91,HAN,What do you want?,Empire Strike Back
92,THREEPIO,Well it's Princess Leia sir.She's been trying to get you on the communicator.,Empire Strike Back
93,HAN,I turned it off.  I don't want to talk to her.,Empire Strike Back
94,THREEPIO,Oh.  Well Princess Leia is wondering about Master Luke.  He hasn't come back yet.  She doesn't know where he is.,Empire Strike Back
95,HAN,I don't know where he is.,Empire Strike Back
96,THREEPIO,Nobody knows where he is.,Empire Strike Back
97,HAN,"What do you mean ""nobody knows""?",Empire Strike Back
99,THREEPIO,Well uh you see...,Empire Strike Back
101,HAN,Deck Officer.  Deck Officer!,Empire Strike Back
