,male,female
0, he activates,she has
1, he enters,she is
2, he drops,she 
3, he hangs,she leans
4, he ,she turns
5, he stumbles,she has
6, he can,she speaks
7, he looks,she 
8, he shakes,she thinks
9, he starts,she jumps
10, he laughs,she speaks
11, he looks,she runs
12, he sees,she gives
13, he sits,she watches
14, he sees,she can
15, he enters,she is
16, he is,
17, he climbs,
18, he searches,
19, he calmly,
20, he is,
21, he takes,
22, he readjusts,
23, he and,
24, he takes,
25, he can,
26, he steps,
27, he ,
28, he turns,
29, he plugs,
30, he looks,
31, he spins,
32, he really,
33, he has,
34, he sees,
35, he can,
36, he stops,
37, he is,
38, he is,
39, he detects,
40, he alone,
41, he has,
42, he is,
43, he continues,
44, he takes,
45, he sees,
46, he feels,
47, he peers,
48, he ,
49, he maintains,
50, he raises,
51, he arrived,
52, he too,
53, he nods,
54, he moves,
55, he throws,
56, he hears,
57, he pilots,
58, he paces,
59, he listens,
60, he ,
61, he flies,
62, he tries,
63, he gives,
64, he turns,
65, he reaches,
66, he stops,
67, he does,
68, he ,
69, he ,
70, he looks,
71, he is,
72, he realizes,
73, he ,
74, he is,
75, he is,
76, he scoots,
77, he nicks,
78, he makes,
79, he turns,
80, he manages,
81, he frantically,
82, he storms,
83, he works,
84, he uses,
85, he is,
86, he talks,
