,male,female
0, he and,she can
1, he opens,she recedes
2, he inserts,she SCRUBS
3, he dies,she looks
4, he strides,she puts
5, he RIPS,she lives
6, he lands,she rips
7, he ISN,she hears
8, he STOPS,she KICKS
9, he offers,she DEFEATS
10, he stops,she is
11, he BEEPS,she turns
12, he is,she scrambles
13, he sits,she hits
14, he sees,she races
15, he pulls,she can
16, he walks,she quickly
17, he moves,she turns
18, he SPITS,she disappears
19, he HEARS,she disappears
20, he STOPS,she is
21, he makes,she moves
22, he sees,she waits
23, he hears,she stands
24, he GRABS,she is
25, he sees,she says
26, he grabs,she turns
27, he says,she hears
28, he checks,she can
29, he knees,she is
30, he says,she reaches
31, he smiles,she cannot
32, he sees,she sees
33, he realizes,she runs
34, he gets,she lands
35, he gets,she LOOKS
36, he struggles,she turns
37, he is,she is
38, he hits,she gets
39, he DISINTEGRATES,she can
40, he means,she turns
41, he stands,she has
42, he was,she HEARS
43, he is,she stops
44, he watches,she won
45, he WHIPS,she moves
46, he finds,she regains
47, he removes,she resists
48, he and,she doesn
49, he can,she breathes
50, he rolls,she repeats
51, he know,she about
52, he know,she about
53, he meant,she peers
54, he exits,she peers
55, he takes,she can
56, he RIPS,she wants
57, he moves,she tries
58, he heads,she RUNS
59, he won,she SEES
60, he turns,she climbs
61, he motions,she him
62, he plants,she reaches
63, he HEARS,she YANKS
64, he resumes,she can
65, he moves,she is
66, he can,she POUNDS
67, he does,she HITS
68, he holds,she SLASHES
69, he PUSHES,she could
70, he STOPS,she stops
71, he strains,she stands
72, he attacks,she lifts
73, he ACTUALLY,she cries
74, he loses,she just
75, he FINDS,she already
76, he hurries,she is
77, he finally,she hears
78, he sees,she stops
79,,she just
80,,she is
81,,she is
82,,she holds
