,index,Script,Characters,Dialogue,Movie,Gender
0,9,ANAKIN: There isn't a droid made that can out fly you Master and no other way to get to the Chancellor . . .,ANAKIN, There isn't a droid made that can out fly you Master and no other way to get to the Chancellor . . .,Revenge of the Sith,Male
1,10,OBI-WAN: Look out four droids inbound . . .,OBI-WAN, Look out four droids inbound . . .,Revenge of the Sith,Male
2,11,OBI-WAN: We've got to split them up.,OBI-WAN, We've got to split them up.,Revenge of the Sith,Male
3,12,ANAKIN: Break left fly through the guns on that tower.,ANAKIN, Break left fly through the guns on that tower.,Revenge of the Sith,Male
4,13,OBI-WAN: Easy for you to say . . . why am I always the bait?,OBI-WAN, Easy for you to say . . . why am I always the bait?,Revenge of the Sith,Male
5,14,ANAKIN: Don't worry. I'm coming around behind you.,ANAKIN, Don't worry. I'm coming around behind you.,Revenge of the Sith,Male
6,15,OBI-WAN: Anakin they're all over me!,OBI-WAN, Anakin they're all over me!,Revenge of the Sith,Male
7,16,ANAKIN: Dead ahead! Closing . . . lock onto him Artoo . . .,ANAKIN, Dead ahead! Closing . . . lock onto him Artoo . . .,Revenge of the Sith,Male
8,17,ANAKIN: (continuing laughs) We got him Artoo!,ANAKIN,  We got him Artoo!,Revenge of the Sith,Male
9,18,ANAKIN: I copy Artoo.,ANAKIN, I copy Artoo.,Revenge of the Sith,Male
10,19,OBI-WAN: I'm going down on the deck.,OBI-WAN, I'm going down on the deck.,Revenge of the Sith,Male
11,20,ANAKIN: Good idea ... I need some room to maneuver.,ANAKIN, Good idea ... I need some room to maneuver.,Revenge of the Sith,Male
12,21,ANAKIN: (continuing) Cut right. Do you hear me?! Cut right. Don't let him get a handle on you. Come on Artoo lock on! Lock on!,ANAKIN,  Cut right. Do you hear me?! Cut right. Don't let him get a handle on you. Come on Artoo lock on! Lock on!,Revenge of the Sith,Male
13,22,OBI-WAN: Hurry up! I don't like this!,OBI-WAN, Hurry up! I don't like this!,Revenge of the Sith,Male
14,23,OBI-WAN: (continuing) Ouch!,OBI-WAN,  Ouch!,Revenge of the Sith,Male
15,24,OBI-WAN: (continuing) Don't even try to fix it Arfour. I've shut it down.,OBI-WAN,  Don't even try to fix it Arfour. I've shut it down.,Revenge of the Sith,Male
16,25,ANAKIN: We're locked on ... we've got him . . .,ANAKIN, We're locked on ... we've got him . . .,Revenge of the Sith,Male
17,26,ANAKIN: (continuing) Yeah! We got him . . . good going Artoo.,ANAKIN,  Yeah! We got him . . . good going Artoo.,Revenge of the Sith,Male
18,27,OBI-WAN: Next time you're the bait . . . Now let's find the Command Ship and get on with it ...,OBI-WAN, Next time you're the bait . . . Now let's find the Command Ship and get on with it ...,Revenge of the Sith,Male
19,28,ANAKIN: Lock onto them Artoo. Master General Grievous's ship is directly ahead.,ANAKIN, Lock onto them Artoo. Master General Grievous's ship is directly ahead.,Revenge of the Sith,Male
20,29,ANAKIN: (continuing) The one crawling with vulture droids.,ANAKIN,  The one crawling with vulture droids.,Revenge of the Sith,Male
21,30,OBI-WAN: I see it. Oh this is going to be easy.,OBI-WAN, I see it. Oh this is going to be easy.,Revenge of the Sith,Male
22,31,ANAKIN: Come on Master.,ANAKIN, Come on Master.,Revenge of the Sith,Male
23,32,OBI-WAN: Not this time. There's too much at stake. We need help. Odd Ball do you copy?,OBI-WAN, Not this time. There's too much at stake. We need help. Odd Ball do you copy?,Revenge of the Sith,Male
24,33,ODD BALL: (OS) Copy Red Leader.,ODD BALL,  Copy Red Leader.,Revenge of the Sith,Male
25,34,OBI-WAN: Mark my position and form your squad up behind me . . .,OBI-WAN, Mark my position and form your squad up behind me . . .,Revenge of the Sith,Male
26,35,ODD BALL: We're on your tail General Kenobi. Set S-foils in attack position.,ODD BALL, We're on your tail General Kenobi. Set S-foils in attack position.,Revenge of the Sith,Male
27,36,ANAKIN: This is where the fun begins. Ten Vulture Droids straight ahead coming down the left side.,ANAKIN, This is where the fun begins. Ten Vulture Droids straight ahead coming down the left side.,Revenge of the Sith,Male
28,37,OBI-WAN: Add five Tri-fighters on the right . . .,OBI-WAN, Add five Tri-fighters on the right . . .,Revenge of the Sith,Male
29,38,ANAKIN: I'm going head to head. See you.,ANAKIN, I'm going head to head. See you.,Revenge of the Sith,Male
30,39,OBI-WAN: Take it easy Anakin.,OBI-WAN, Take it easy Anakin.,Revenge of the Sith,Male
31,40,ODD BALL: I'm on your right Red Leader.,ODD BALL, I'm on your right Red Leader.,Revenge of the Sith,Male
32,41,ANAKIN: Incoming!!,ANAKIN, Incoming!!,Revenge of the Sith,Male
33,42,OBI-WAN: Five more on the right!,OBI-WAN, Five more on the right!,Revenge of the Sith,Male
34,43,ANAKIN: Here we go.,ANAKIN, Here we go.,Revenge of the Sith,Male
35,44,OBI-WAN: I'm going high and right.,OBI-WAN, I'm going high and right.,Revenge of the Sith,Male
36,45,ANAKIN: Hang on. There are four more of them.,ANAKIN, Hang on. There are four more of them.,Revenge of the Sith,Male
37,46,OBI-WAN: Stay with me . . . swing back and right . . . help me engage. Back off ... Let them pass between us.,OBI-WAN, Stay with me . . . swing back and right . . . help me engage. Back off ... Let them pass between us.,Revenge of the Sith,Male
38,47,ANAKIN: I'm coming around. I'm coming around on your tail.,ANAKIN, I'm coming around. I'm coming around on your tail.,Revenge of the Sith,Male
39,48,OBI-WAN: All right engage . . . and hurry. These droids are all over me like a rash.,OBI-WAN, All right engage . . . and hurry. These droids are all over me like a rash.,Revenge of the Sith,Male
40,49,ANAKIN: How many back there. Artoo? (Artoo beeps) Three . . . (continuing) Four . . . that's not good.,ANAKIN, How many back there. Artoo?  Four . . . that's not good.,Revenge of the Sith,Male
41,50,OBI-WAN: Anakin you have four on your tail.,OBI-WAN, Anakin you have four on your tail.,Revenge of the Sith,Male
42,51,ANAKIN: I know. I know!,ANAKIN, I know. I know!,Revenge of the Sith,Male
43,52,OBI-WAN: Four more closing from your left.,OBI-WAN, Four more closing from your left.,Revenge of the Sith,Male
44,53,ANAKIN: I know. I know!,ANAKIN, I know. I know!,Revenge of the Sith,Male
45,54,OBI-WAN: Break right and go high.,OBI-WAN, Break right and go high.,Revenge of the Sith,Male
46,55,ANAKIN: I'm going low and left.,ANAKIN, I'm going low and left.,Revenge of the Sith,Male
47,56,OBI-WAN: (to himself) He still has much to learn.,OBI-WAN,  He still has much to learn.,Revenge of the Sith,Male
48,57,ANAKIN: Hang on Artoo. Obi-Wan do you copy? I'm going to pull them through the needle . . .,ANAKIN, Hang on Artoo. Obi-Wan do you copy? I'm going to pull them through the needle . . .,Revenge of the Sith,Male
49,58,"OBI-WAN: Too dangerous. First Jedi rule: ""Survive.""",OBI-WAN," Too dangerous. First Jedi rule: ""Survive.""",Revenge of the Sith,Male
50,59,ANAKIN: Sorry no choice. Come down here and thin them out a little.,ANAKIN, Sorry no choice. Come down here and thin them out a little.,Revenge of the Sith,Male
51,60,OBI-WAN: Just keep me steady . . . hold on ... not yet. . . now break left.,OBI-WAN, Just keep me steady . . . hold on ... not yet. . . now break left.,Revenge of the Sith,Male
52,61,OBI-WAN: (continuing) You'll never get through there Anakin. It's too tight.,OBI-WAN,  You'll never get through there Anakin. It's too tight.,Revenge of the Sith,Male
53,62,ANAKIN: Easy Artoo . . . we've done this before.,ANAKIN, Easy Artoo . . . we've done this before.,Revenge of the Sith,Male
54,63,OBI-WAN: Use the Force think yourself through the ship will follow.,OBI-WAN, Use the Force think yourself through the ship will follow.,Revenge of the Sith,Male
55,64,ANAKIN: Wrong thought Artoo.,ANAKIN, Wrong thought Artoo.,Revenge of the Sith,Male
56,65,ANAKIN: (continuing) I'm through.,ANAKIN,  I'm through.,Revenge of the Sith,Male
57,66,ODD BALL: There are too many of them.,ODD BALL, There are too many of them.,Revenge of the Sith,Male
58,67,CLONE PILOT 2: I'm on your wing. Break left. Break left. They're all over me. Get them off my . . .,CLONE PILOT 2, I'm on your wing. Break left. Break left. They're all over me. Get them off my . . .,Revenge of the Sith,Male
59,68,ANAKIN: I'm going to go help them out!,ANAKIN, I'm going to go help them out!,Revenge of the Sith,Male
60,69,OBI-WAN: No no! They are doing their job so we can do ours. Head for the Command Ship!,OBI-WAN, No no! They are doing their job so we can do ours. Head for the Command Ship!,Revenge of the Sith,Male
61,70,ANAKIN: Missiles! Pull up!,ANAKIN, Missiles! Pull up!,Revenge of the Sith,Male
62,71,OBI-WAN: They overshot us . . .,OBI-WAN, They overshot us . . .,Revenge of the Sith,Male
63,72,ANAKIN: They're coming around!,ANAKIN, They're coming around!,Revenge of the Sith,Male
64,73,OBI-WAN: All right Arfour. No no. Nothing too fancy.,OBI-WAN, All right Arfour. No no. Nothing too fancy.,Revenge of the Sith,Male
65,74,ANAKIN: Surge all power units. Artoo! Stand by the reverse thrusters.,ANAKIN, Surge all power units. Artoo! Stand by the reverse thrusters.,Revenge of the Sith,Male
66,75,ANAKIN: We got 'em. Artoo!,ANAKIN, We got 'em. Artoo!,Revenge of the Sith,Male
67,76,OBI-WAN: Flying is for droids.,OBI-WAN, Flying is for droids.,Revenge of the Sith,Male
