,Characters,Dialogue,Movie
67,ANAKIN, There isn't a droid made that can out fly you Master and no other way to get to the Chancellor . . .,Revenge of the Sith
68,OBI-WAN, Look out four droids inbound . . .,Revenge of the Sith
73,OBI-WAN, We've got to split them up.,Revenge of the Sith
74,ANAKIN, Break left fly through the guns on that tower.,Revenge of the Sith
76,OBI-WAN, Easy for you to say . . . why am I always the bait?,Revenge of the Sith
77,ANAKIN, Don't worry. I'm coming around behind you.,Revenge of the Sith
79,OBI-WAN, Anakin they're all over me!,Revenge of the Sith
80,ANAKIN, Dead ahead! Closing . . . lock onto him Artoo . . .,Revenge of the Sith
82,ANAKIN,  We got him Artoo!,Revenge of the Sith
84,ANAKIN, I copy Artoo.,Revenge of the Sith
85,OBI-WAN, I'm going down on the deck.,Revenge of the Sith
86,ANAKIN, Good idea ... I need some room to maneuver.,Revenge of the Sith
88,ANAKIN,  Cut right. Do you hear me?! Cut right. Don't let him get a handle on you. Come on Artoo lock on! Lock on!,Revenge of the Sith
90,OBI-WAN, Hurry up! I don't like this!,Revenge of the Sith
92,OBI-WAN,  Ouch!,Revenge of the Sith
94,OBI-WAN,  Don't even try to fix it Arfour. I've shut it down.,Revenge of the Sith
95,ANAKIN, We're locked on ... we've got him . . .,Revenge of the Sith
97,ANAKIN,  Yeah! We got him . . . good going Artoo.,Revenge of the Sith
98,OBI-WAN, Next time you're the bait . . . Now let's find the Command Ship and get on with it ...,Revenge of the Sith
100,ANAKIN, Lock onto them Artoo. Master General Grievous's ship is directly ahead.,Revenge of the Sith
102,ANAKIN,  The one crawling with vulture droids.,Revenge of the Sith
104,OBI-WAN, I see it. Oh this is going to be easy.,Revenge of the Sith
106,ANAKIN, Come on Master.,Revenge of the Sith
107,OBI-WAN, Not this time. There's too much at stake. We need help. Odd Ball do you copy?,Revenge of the Sith
108,ODD BALL,  Copy Red Leader.,Revenge of the Sith
109,OBI-WAN, Mark my position and form your squad up behind me . . .,Revenge of the Sith
111,ODD BALL, We're on your tail General Kenobi. Set S-foils in attack position.,Revenge of the Sith
114,ANAKIN, This is where the fun begins. Ten Vulture Droids straight ahead coming down the left side.,Revenge of the Sith
116,OBI-WAN, Add five Tri-fighters on the right . . .,Revenge of the Sith
117,ANAKIN, I'm going head to head. See you.,Revenge of the Sith
118,OBI-WAN, Take it easy Anakin.,Revenge of the Sith
120,ODD BALL, I'm on your right Red Leader.,Revenge of the Sith
121,ANAKIN, Incoming!!,Revenge of the Sith
123,OBI-WAN, Five more on the right!,Revenge of the Sith
125,ANAKIN, Here we go.,Revenge of the Sith
127,OBI-WAN, I'm going high and right.,Revenge of the Sith
128,ANAKIN, Hang on. There are four more of them.,Revenge of the Sith
129,OBI-WAN, Stay with me . . . swing back and right . . . help me engage. Back off ... Let them pass between us.,Revenge of the Sith
130,ANAKIN, I'm coming around. I'm coming around on your tail.,Revenge of the Sith
131,OBI-WAN, All right engage . . . and hurry. These droids are all over me like a rash.,Revenge of the Sith
134,ANAKIN, How many back there. Artoo?  Four . . . that's not good.,Revenge of the Sith
135,OBI-WAN, Anakin you have four on your tail.,Revenge of the Sith
136,ANAKIN, I know. I know!,Revenge of the Sith
137,OBI-WAN, Four more closing from your left.,Revenge of the Sith
138,ANAKIN, I know. I know!,Revenge of the Sith
139,OBI-WAN, Break right and go high.,Revenge of the Sith
140,ANAKIN, I'm going low and left.,Revenge of the Sith
142,OBI-WAN,  He still has much to learn.,Revenge of the Sith
