,Characters,Dialogue,Movie
2,YOUNG JYN, Mama.,Rogue One
3,LYRA, We know. Jyn gather your things it's time.,Rogue One
4,SAW, Hello.,Rogue One
6,GALEN,Jyn come here. Remember whatever I do I do it to protect you. Say you understand.,Rogue One
7,YOUNG JYN, I understand.,Rogue One
8,GALEN ERSO, I love you Stardust.,Rogue One
9,YOUNG JYN, I love you too Papa.,Rogue One
10,LYRA, Galen.,Rogue One
11,GALEN, Go.,Rogue One
12,LYRA, Jyn.You know where to go don't you? Trust the Force.,Rogue One
13,KRENNIC, You're a hard man to find Galen. But farming? Really a man of your talents?,Rogue One
14,GALEN ERSO, It's a peaceful life.,Rogue One
15,KRENNIC, It's lonely I imagine.,Rogue One
16,GALEN ERSO, Since Lyra died yes.,Rogue One
17,KRENNIC, Oh. Oh. My condolences. Search the house!,Rogue One
18,DEATHTROOPER, Understood.,Rogue One
19,GALEN ERSO, What is it you want?,Rogue One
20,KRENNIC, The work has stalled I need you to come back.,Rogue One
21,GALEN ERSO, I won't do it Krennic.,Rogue One
22,KRENNIC, We're on the verge of greatness. We were this close to providing peace security for the galaxy.,Rogue One
23,GALEN ERSO, You're confusing peace with terror.,Rogue One
24,KRENNIC, Do I huh? You have to start somewhere.,Rogue One
25,GALEN ERSO, I'll be of no help Krennic. My mind just isn't what it was. I have trouble remembering even simple things.,Rogue One
26,KRENNIC, Galen you're an inspired scientist but you're a terrible liar. Now I admire the effort I really do.,Rogue One
27,KRENNIC, Oh look here's Lyra back from the dead. It's a miracle.,Rogue One
28,KRENNIC, Stop!,Rogue One
29,KRENNIC, Oh Lyra. Troublesome as ever.,Rogue One
30,LYRA, You're not taking him.,Rogue One
31,KRENNIC, No of course I'm not. I'm taking you all. You'll all come. You your child You'll all live in comfort.,Rogue One
32,LYRA, As hostages.,Rogue One
33,KRENNIC, As 'heroes of the Empire.',Rogue One
34,GALEN, Lyra. Put it down. Think very carefully.,Rogue One
35,LYRA, You will never win.,Rogue One
36,KRENNIC, Do it.,Rogue One
37,GALEN, Lyra! No!,Rogue One
38,KRENNIC, They have a child. Find it!,Rogue One
39,SAW GERRERA, My child. Come.Come.We have a long ride ahead of us.,Rogue One
43,STORMTROOPER, Check in security. Cell block 4227. 4227.,Rogue One
45,TIVIK, I was about to leave.,Rogue One
46,CASSIAN, I came as fast as I could.,Rogue One
47,TIVIK, I have to get back on board. Walk with me.,Rogue One
48,CASSIAN, Back to Jedha?,Rogue One
49,TIVIK, They'll leave without me!,Rogue One
50,CASSIAN, Easy. You have news from Jedha? Come on.,Rogue One
51,TIVIK, An Imperial pilot one of the cargo drivers. He defected yesterday. He's telling people they're making a weapon. The kyber crystals that's what they're for.,Rogue One
52,CASSIAN, What kind of weapon?,Rogue One
53,TIVIK, Look I have to go.,Rogue One
54,CASSIAN, What kind of weapon?,Rogue One
55,TIVIK, A planet killer. That's what he called it.,Rogue One
56,CASSIAN, A planet killer?,Rogue One
57,TIVIK, Someone named Erso sent him. Some old friend of Saw's.,Rogue One
58,CASSIAN, Galen Erso? Was it?,Rogue One
59,TIVIK, I don't know! They were looking for Saw when we left.,Rogue One
60,CASSIAN, Who else knows this?,Rogue One
61,TIVIK, I have no idea!It's all falling apart. Saw's right there're spies everywhere.,Rogue One
62,STORMTROOPER, What's all this?,Rogue One
63,STORMTROOPER, Come on let's see some scandocs.,Rogue One
64,CASSIAN, Yeah of course.My gloves?,Rogue One
65,TIVIK,No What've you done?,Rogue One
66,STORMTROOPERS, Troopers down section 9.,Rogue One
67,TIVIK, Are you crazy? I'll never climb out of here. My arm...,Rogue One
70,MILITIA, (Sir.),Rogue One
73,STORMTROOPER, What now?,Rogue One
74,STORMTROOPER,I don't know. Must be another pick up.,Rogue One
75,STORMTROOPER,I thought we had everybody.,Rogue One
76,SOLDIER,All clear sir.,Rogue One
77,MELSHI, Hallik! Liana Hallik!,Rogue One
78,SOLDIER, Her.,Rogue One
79,MELSHI, You want to get out of here?,Rogue One
80,PRISONER, Hey! What about me?,Rogue One
81,K2-SO, [chokeslamming Jyn for trying to escape]Congratulations.You are being rescued. Please do not resist.,Rogue One
83,PA, LU-28 report to maintenance level 4.,Rogue One
85,CASSIAN, We think you might be able to help us.,Rogue One
86,MON MOTHMA, This is Captain Cassian Andor Rebel Intelligence.,Rogue One
87,CASSIAN, When was the last time you were in contact with your father?,Rogue One
88,JYN ERSO, 15 years ago.,Rogue One
89,CASSIAN, Any idea where he's been all that time?,Rogue One
90,JYN ERSO, I like to think he's dead makes things easier.,Rogue One
91,CASSIAN, Easier than what? That he's being a tool of the Imperial war machine?,Rogue One
92,JYN ERSO, I've never had the luxury of political opinions.,Rogue One
93,CASSIAN, Really? When was your last contact with Saw Gerrera?,Rogue One
94,JYN ERSO, It's been a long time.,Rogue One
