,Characters,Dialogue,Movie,Gender,length
0,YOUNG JYN ERSO, Mama.,Rogue One,Female,1
1,LYRA, We know. Jyn gather your things it's time.,Rogue One,Female,8
2,SAW, Hello.,Rogue One,,1
3,GALEN ERSO,Jyn come here. Remember whatever I do I do it to protect you. Say you understand.,Rogue One,Male,16
4,YOUNG JYN ERSO, I understand.,Rogue One,Female,2
5,GALEN ERSO, I love you Stardust.,Rogue One,Male,4
6,YOUNG JYN ERSO, I love you too Papa.,Rogue One,Female,5
7,LYRA, Galen.,Rogue One,Female,1
8,GALEN ERSO, Go.,Rogue One,Male,1
9,LYRA, Jyn.You know where to go don't you? Trust the Force.,Rogue One,Female,10
10,KRENNIC, You're a hard man to find Galen. But farming? Really a man of your talents?,Rogue One,Male,15
11,GALEN ERSO, It's a peaceful life.,Rogue One,Male,4
12,KRENNIC, It's lonely I imagine.,Rogue One,Male,4
13,GALEN ERSO, Since Lyra died yes.,Rogue One,Male,4
14,KRENNIC, Oh. Oh. My condolences. Search the house!,Rogue One,Male,7
15,DEATHTROOPER, Understood.,Rogue One,,1
16,GALEN ERSO, What is it you want?,Rogue One,Male,5
17,KRENNIC, The work has stalled I need you to come back.,Rogue One,Male,10
18,GALEN ERSO, I won't do it Krennic.,Rogue One,Male,5
19,KRENNIC, We're on the verge of greatness. We were this close to providing peace security for the galaxy.,Rogue One,Male,17
20,GALEN ERSO, You're confusing peace with terror.,Rogue One,Male,5
21,KRENNIC, Do I huh? You have to start somewhere.,Rogue One,Male,8
22,GALEN ERSO, I'll be of no help Krennic. My mind just isn't what it was. I have trouble remembering even simple things.,Rogue One,Male,20
23,KRENNIC, Galen you're an inspired scientist but you're a terrible liar. Now I admire the effort I really do.,Rogue One,Male,18
24,KRENNIC, Oh look here's Lyra back from the dead. It's a miracle.,Rogue One,Male,11
25,KRENNIC, Stop!,Rogue One,Male,1
26,KRENNIC, Oh Lyra. Troublesome as ever.,Rogue One,Male,5
27,LYRA, You're not taking him.,Rogue One,Female,4
28,KRENNIC, No of course I'm not. I'm taking you all. You'll all come. You your child You'll all live in comfort.,Rogue One,Male,20
29,LYRA, As hostages.,Rogue One,Female,2
30,KRENNIC, As 'heroes of the Empire.',Rogue One,Male,5
31,GALEN ERSO, Lyra. Put it down. Think very carefully.,Rogue One,Male,7
32,LYRA, You will never win.,Rogue One,Female,4
33,KRENNIC, Do it.,Rogue One,Male,2
34,GALEN ERSO, Lyra! No!,Rogue One,Male,2
35,KRENNIC, They have a child. Find it!,Rogue One,Male,6
36,SAW GERRERA, My child. Come.Come.We have a long ride ahead of us.,Rogue One,Male,10
37,STORMTROOPER, Check in security. Cell block 4227. 4227.,Rogue One,Male,7
38,TIVIK, I was about to leave.,Rogue One,Male,5
39,CASSIAN, I came as fast as I could.,Rogue One,Male,7
40,TIVIK, I have to get back on board. Walk with me.,Rogue One,Male,10
41,CASSIAN, Back to Jedha?,Rogue One,Male,3
42,TIVIK, They'll leave without me!,Rogue One,Male,4
43,CASSIAN, Easy. You have news from Jedha? Come on.,Rogue One,Male,8
44,TIVIK, An Imperial pilot one of the cargo drivers. He defected yesterday. He's telling people they're making a weapon. The kyber crystals that's what they're for.,Rogue One,Male,25
45,CASSIAN, What kind of weapon?,Rogue One,Male,4
46,TIVIK, Look I have to go.,Rogue One,Male,5
47,CASSIAN, What kind of weapon?,Rogue One,Male,4
48,TIVIK, A planet killer. That's what he called it.,Rogue One,Male,8
49,CASSIAN, A planet killer?,Rogue One,Male,3
50,TIVIK, Someone named Erso sent him. Some old friend of Saw's.,Rogue One,Male,10
51,CASSIAN, Galen Erso? Was it?,Rogue One,Male,4
52,TIVIK, I don't know! They were looking for Saw when we left.,Rogue One,Male,11
53,CASSIAN, Who else knows this?,Rogue One,Male,4
54,TIVIK, I have no idea!It's all falling apart. Saw's right there're spies everywhere.,Rogue One,Male,12
55,STORMTROOPER, What's all this?,Rogue One,Male,3
56,STORMTROOPER, Come on let's see some scandocs.,Rogue One,Male,6
57,CASSIAN, Yeah of course.My gloves?,Rogue One,Male,4
58,TIVIK,No What've you done?,Rogue One,Male,4
59,STORMTROOPERS, Troopers down section 9.,Rogue One,,4
60,TIVIK, Are you crazy? I'll never climb out of here. My arm...,Rogue One,Male,11
61,MILITIA, (Sir.),Rogue One,,1
62,STORMTROOPER, What now?,Rogue One,Male,2
63,STORMTROOPER,I don't know. Must be another pick up.,Rogue One,Male,8
64,STORMTROOPER,I thought we had everybody.,Rogue One,Male,5
65,SOLDIER,All clear sir.,Rogue One,Male,3
66,MELSHI, Hallik! Liana Hallik!,Rogue One,Male,3
67,SOLDIER, Her.,Rogue One,Male,1
68,MELSHI, You want to get out of here?,Rogue One,Male,7
69,PRISONER, Hey! What about me?,Rogue One,,4
70,K-2SO, [chokeslamming Jyn for trying to escape]Congratulations.You are being rescued. Please do not resist.,Rogue One,Droid,13
71,K-2SO, [chokeslamming Jyn for trying to escape]Congratulations.You are being rescued. Please do not resist.,Rogue One,Droid,13
72,PA, LU-28 report to maintenance level 4.,Rogue One,,6
73,CASSIAN, We think you might be able to help us.,Rogue One,Male,9
74,MON MOTHMA, This is Captain Cassian Andor Rebel Intelligence.,Rogue One,Female,7
75,CASSIAN, When was the last time you were in contact with your father?,Rogue One,Male,12
76,JYN ERSO, 15 years ago.,Rogue One,Female,3
77,CASSIAN, Any idea where he's been all that time?,Rogue One,Male,8
78,JYN ERSO, I like to think he's dead makes things easier.,Rogue One,Female,9
79,CASSIAN, Easier than what? That he's being a tool of the Imperial war machine?,Rogue One,Male,13
80,JYN ERSO, I've never had the luxury of political opinions.,Rogue One,Female,8
81,CASSIAN, Really? When was your last contact with Saw Gerrera?,Rogue One,Male,9
82,JYN ERSO, It's been a long time.,Rogue One,Female,5
83,JYN ERSO, I was a child Saw Gerrera saved my life. He raised me. But I've no idea where he is. I haven't seen him in years.,Rogue One,Female,25
84,CASSIAN,We know how to find him that's not our problem. What we need is someone who gets us through the door without being killed.,Rogue One,Male,24
85,JYN ERSO, You're all rebels aren't you?,Rogue One,Female,5
86,MON MOTHMA, Yes but Saw Gerrera's an extremist. He's been fighting on his own since he broke with the Rebellion. His militancy has caused the Alliance a great many problems. We have no choice now but to try to mend that broken trust.,Rogue One,Female,41
87,JYN ERSO, What does this have to do with my father?,Rogue One,Female,9
88,JYN ERSO, And if I do it?,Rogue One,Female,5
89,MON MOTHMA, We'll make sure you go free.,Rogue One,Female,6
90,GENERAL DRAVEN, Captain Andor!,Rogue One,,2
91,K-2SO, I'm K-2SO. I'm a reprogrammed Imperial droid.,Rogue One,Droid,7
92,K-2SO, I'm K-2SO. I'm a reprogrammed Imperial droid.,Rogue One,Droid,7
93,JYN ERSO, I remember you.,Rogue One,Female,3
94,K-2SO, I see the Council is sending you with us to Jedha.,Rogue One,Droid,11
95,K-2SO, I see the Council is sending you with us to Jedha.,Rogue One,Droid,11
96,JYN ERSO, Apparently so.,Rogue One,Female,2
