,Years,Gender,Movie,Word_count,Total,Percentage
0,1977,Female,A New Hope,837,13857,6.0402684563758395
1,1977,Male,A New Hope,11179,13857,80.6740275672945
2,1977,Robots,A New Hope,1841,13857,13.285703976329652
3,1980,Female,The Empire Strikes Back,780,7763,10.047661986345485
4,1980,Male,The Empire Strikes Back,5764,7763,74.24964575550689
5,1980,Robots,The Empire Strikes Back,1219,7763,15.702692258147625
6,1983,Female,Return of the Jedi,456,5619,8.11532301121196
7,1983,Male,Return of the Jedi,4226,5619,75.20911194162663
8,1983,Robots,Return of the Jedi,937,5619,16.675565047161417
9,1999,Robots,The Phantom Menace,173,9206,1.8792092113838799
10,1999,Female,The Phantom Menace,1270,9206,13.795350858135999
11,1999,Male,The Phantom Menace,7763,9206,84.32543993048012
12,2002,Robots,Attack of the Clones,389,10728,3.626025354213273
13,2002,Female,Attack of the Clones,3269,10728,30.471662938105894
14,2002,Male,Attack of the Clones,7070,10728,65.90231170768084
15,2005,Female,Revenge of the Sith,1456,12890,11.295577967416602
16,2005,Male,Revenge of the Sith,10784,12890,83.66175329712956
17,2005,Robots,Revenge of the Sith,650,12890,5.04266873545384
18,2015,Female,The Force Awakens,1684,6633,25.38821046283733
19,2015,Male,The Force Awakens,4740,6633,71.46087743102669
20,2015,Robots,The Force Awakens,209,6633,3.150912106135987
