,gender,tropes,count
0,he,looks,21
1,he,sees,14
2,he,stops,12
3,he,moves,11
4,he,takes,11
5,he,can,10
6,he,turns,10
7,he,hears,9
8,he,watches,8
9,he,tries,7
10,he,begins,6
11,he,falls,6
12,he,jumps,6
13,he,sits,6
14,he,enters,5
15,he,gets,5
16,he,goes,5
17,he,grabs,5
18,he,pulls,5
19,he,reaches,5
20,he,struggles,5
21,he,beeps,4
22,he,comes,4
23,he,finds,4
24,he,loses,4
25,he,makes,4
26,he,manages,4
27,he,raises,4
28,he,realizes,4
29,he,rips,4
30,he,runs,4
31,he,stands,4
32,he,walks,4
33,he,catches,3
34,he,continues,3
35,he,drops,3
36,he,feels,3
37,he,flies,3
38,he,hits,3
39,he,lands,3
40,he,leaves,3
41,he,pushes,3
42,he,puts,3
43,he,races,3
44,he,says,3
45,he,spins,3
46,he,starts,3
47,he,swings,3
48,he,throws,3
49,he,uses,3
50,he,adjusts,2
51,he,attempts,2
52,he,climbs,2
53,he,closes,2
54,he,dies,2
55,he,dives,2
56,he,ducks,2
57,he,exits,2
58,he,faints,2
59,he,heads,2
60,he,holds,2
61,he,keeps,2
62,he,kicks,2
63,he,know,2
64,he,leans,2
65,he,lets,2
66,he,lifts,2
67,he,listens,2
68,he,marches,2
69,he,nods,2
70,he,notices,2
71,he,opens,2
72,he,passes,2
73,he,picks,2
74,he,presses,2
75,he,punches,2
76,he,rests,2
77,he,rounds,2
78,he,rushes,2
79,he,scoots,2
80,he,seems,2
81,he,shakes,2
82,he,shoots,2
83,he,slides,2
84,he,smiles,2
85,he,spots,2
86,he,staggers,2
87,he,talks,2
88,he,touches,2
89,he,won,2
90,he,yells,2
91,he,activates,1
92,he,actually,1
93,he,alone,1
94,he,approaches,1
95,he,arrived,1
96,he,arrives,1
97,he,attacks,1
98,he,backs,1
99,he,balances,1
100,he,banks,1
101,he,barks,1
102,he,becomes,1
103,he,bends,1
104,he,blasts,1
105,he,brushes,1
106,he,calculates,1
107,he,calmly,1
108,he,carefully,1
109,he,chases,1
110,he,checks,1
111,he,circles,1
112,he,clambers,1
113,he,clangs,1
114,he,clutches,1
115,he,concentrates,1
116,he,crashes,1
117,he,cuts,1
118,he,dangles,1
119,he,decides,1
120,he,destroys,1
121,he,detects,1
122,he,disappears,1
123,he,discovers,1
124,he,disintegrates,1
125,he,dismounts,1
126,he,dodges,1
127,he,drives,1
128,he,explodes,1
129,he,fiddles,1
130,he,finally,1
131,he,fires,1
132,he,fixes,1
133,he,flashes,1
134,he,follows,1
135,he,forces,1
136,he,frantically,1
137,he,frightened,1
138,he,fumbles,1
139,he,gives,1
140,he,hangs,1
141,he,hauls,1
142,he,howls,1
143,he,hurries,1
144,he,ignites,1
145,he,immediately,1
146,he,inserts,1
147,he,instinctively,1
148,he,investigates,1
149,he,just,1
150,he,kneels,1
151,he,knees,1
152,he,landed,1
153,he,laughs,1
154,he,loves,1
155,he,maintains,1
156,he,managed,1
157,he,maneuvers,1
158,he,means,1
159,he,meant,1
160,he,motions,1
161,he,nicks,1
162,he,offers,1
163,he,paces,1
164,he,parries,1
165,he,pats,1
166,he,peels,1
167,he,peers,1
168,he,pilots,1
169,he,places,1
170,he,plants,1
171,he,plugs,1
172,he,points,1
173,he,pretends,1
174,he,prods,1
175,he,quickly,1
176,he,quietly,1
177,he,rains,1
178,he,rallies,1
179,he,reacts,1
180,he,readjusts,1
181,he,really,1
182,he,reappears,1
183,he,recovers,1
184,he,regains,1
185,he,removes,1
186,he,resumes,1
187,he,rolls,1
188,he,rummages,1
189,he,sails,1
190,he,screams,1
191,he,scrutinizes,1
192,he,searches,1
193,he,see,1
194,he,senses,1
195,he,ship,1
196,he,shrugs,1
197,he,signals,1
198,he,simply,1
199,he,skims,1
200,he,sleeps,1
201,he,slowly,1
202,he,slows,1
203,he,snaps,1
204,he,spits,1
205,he,stares,1
206,he,stay,1
207,he,steps,1
208,he,sticks,1
209,he,stop,1
210,he,storms,1
211,he,straightens,1
212,he,strains,1
213,he,strides,1
214,he,strokes,1
215,he,studies,1
216,he,stumbles,1
217,he,surveys,1
218,he,swerves,1
219,he,swims,1
220,he,swoops,1
221,he,thinks,1
222,he,topples,1
223,he,tosses,1
224,he,usually,1
225,he,wakes,1
226,he,wanders,1
227,he,wears,1
228,he,whips,1
229,he,whirls,1
230,he,works,1
231,he,zooms,1
232,she,can,8
233,she,turns,8
234,she,goes,5
235,she,sees,5
236,she,hears,4
237,she,hits,4
238,she,looks,4
239,she,moves,3
240,she,runs,3
241,she,stands,3
242,she,stares,3
243,she,starts,3
244,she,stops,3
245,she,takes,3
246,she,became,2
247,she,disappears,2
248,she,gets,2
249,she,holds,2
250,she,just,2
251,she,peers,2
252,she,pulls,2
253,she,puts,2
254,she,reaches,2
255,she,senses,2
256,she,speaks,2
257,she,struggles,2
258,she,tries,2
259,she,watches,2
260,she,already,1
261,she,breathes,1
262,she,cannot,1
263,she,climbs,1
264,she,comes,1
265,she,cries,1
266,she,crumples,1
267,she,defeats,1
268,she,dies,1
269,she,dives,1
270,she,draws,1
271,she,feels,1
272,she,finishes,1
273,she,frowns,1
274,she,gathers,1
275,she,gives,1
276,she,hands,1
277,she,hugs,1
278,she,inspects,1
279,she,jumps,1
280,she,kicks,1
281,she,kneels,1
282,she,lands,1
283,she,leans,1
284,she,lifts,1
285,she,listens,1
286,she,lives,1
287,she,musters,1
288,she,notices,1
289,she,now,1
290,she,pounds,1
291,she,quickly,1
292,she,races,1
293,she,recedes,1
294,she,regains,1
295,she,repeats,1
296,she,resists,1
297,she,reveals,1
298,she,rips,1
299,she,says,1
300,she,scrambles,1
301,she,scrubs,1
302,she,shakes,1
303,she,sits,1
304,she,slashes,1
305,she,smiles,1
306,she,steps,1
307,she,studies,1
308,she,swings,1
309,she,take,1
310,she,talks,1
311,she,thinks,1
312,she,waits,1
313,she,walks,1
314,she,wants,1
315,she,winces,1
316,she,won,1
317,she,yanks,1
318,she,yelps,1
