,tropes,he,she
0,activates,1,0
1,actually,1,0
2,adjusts,2,0
3,alone,1,0
4,approaches,1,0
5,arrived,1,0
6,arrives,1,0
7,attacks,1,0
8,attempts,2,0
9,backs,1,0
10,balances,1,0
11,banks,1,0
12,barks,1,0
13,becomes,1,0
14,beeps,4,0
15,begins,6,0
16,bends,1,0
17,blasts,1,0
18,brushes,1,0
19,calculates,1,0
20,calmly,1,0
21,can,10,8.0
22,carefully,1,0
23,catches,3,0
24,chases,1,0
25,checks,1,0
26,circles,1,0
27,clambers,1,0
28,clangs,1,0
29,climbs,2,1.0
30,closes,2,0
31,clutches,1,0
32,comes,4,1.0
33,concentrates,1,0
34,continues,3,0
35,crashes,1,0
36,cuts,1,0
37,dangles,1,0
38,decides,1,0
39,destroys,1,0
40,detects,1,0
41,dies,2,1.0
42,disappears,1,2.0
43,discovers,1,0
44,disintegrates,1,0
45,dismounts,1,0
46,dives,2,1.0
47,dodges,1,0
48,drives,1,0
49,drops,3,0
50,ducks,2,0
51,enters,5,0
52,exits,2,0
53,explodes,1,0
54,faints,2,0
55,falls,6,0
56,feels,3,1.0
57,fiddles,1,0
58,finally,1,0
59,finds,4,0
60,fires,1,0
61,fixes,1,0
62,flashes,1,0
63,flies,3,0
64,follows,1,0
65,forces,1,0
66,frantically,1,0
67,frightened,1,0
68,fumbles,1,0
69,gets,5,2.0
70,gives,1,1.0
71,goes,5,5.0
72,grabs,5,0
73,hangs,1,0
74,hauls,1,0
75,heads,2,0
76,hears,9,4.0
77,hits,3,4.0
78,holds,2,2.0
79,howls,1,0
80,hurries,1,0
81,ignites,1,0
82,immediately,1,0
83,inserts,1,0
84,instinctively,1,0
85,investigates,1,0
86,jumps,6,1.0
87,just,1,2.0
88,keeps,2,0
89,kicks,2,1.0
90,kneels,1,1.0
91,knees,1,0
92,know,2,0
93,landed,1,0
94,lands,3,1.0
95,laughs,1,0
96,leans,2,1.0
97,leaves,3,0
98,lets,2,0
99,lifts,2,1.0
100,listens,2,1.0
101,looks,21,4.0
102,loses,4,0
103,loves,1,0
104,maintains,1,0
105,makes,4,0
106,managed,1,0
107,manages,4,0
108,maneuvers,1,0
109,marches,2,0
110,means,1,0
111,meant,1,0
112,motions,1,0
113,moves,11,3.0
114,nicks,1,0
115,nods,2,0
116,notices,2,1.0
117,offers,1,0
118,opens,2,0
119,paces,1,0
120,parries,1,0
121,passes,2,0
122,pats,1,0
123,peels,1,0
124,peers,1,2.0
125,picks,2,0
126,pilots,1,0
127,places,1,0
128,plants,1,0
129,plugs,1,0
130,points,1,0
131,presses,2,0
132,pretends,1,0
133,prods,1,0
134,pulls,5,2.0
135,punches,2,0
136,pushes,3,0
137,puts,3,2.0
138,quickly,1,1.0
139,quietly,1,0
140,races,3,1.0
141,rains,1,0
142,raises,4,0
143,rallies,1,0
144,reaches,5,2.0
145,reacts,1,0
146,readjusts,1,0
147,realizes,4,0
148,really,1,0
149,reappears,1,0
150,recovers,1,0
151,regains,1,1.0
152,removes,1,0
153,rests,2,0
154,resumes,1,0
155,rips,4,1.0
156,rolls,1,0
157,rounds,2,0
158,rummages,1,0
159,runs,4,3.0
160,rushes,2,0
161,sails,1,0
162,says,3,1.0
163,scoots,2,0
164,screams,1,0
165,scrutinizes,1,0
166,searches,1,0
167,see,1,0
168,seems,2,0
169,sees,14,5.0
170,senses,1,2.0
171,shakes,2,1.0
172,ship,1,0
173,shoots,2,0
174,shrugs,1,0
175,signals,1,0
176,simply,1,0
177,sits,6,1.0
178,skims,1,0
179,sleeps,1,0
180,slides,2,0
181,slowly,1,0
182,slows,1,0
183,smiles,2,1.0
184,snaps,1,0
185,spins,3,0
186,spits,1,0
187,spots,2,0
188,staggers,2,0
189,stands,4,3.0
190,stares,1,3.0
191,starts,3,3.0
192,stay,1,0
193,steps,1,1.0
194,sticks,1,0
195,stop,1,0
196,stops,12,3.0
197,storms,1,0
198,straightens,1,0
199,strains,1,0
200,strides,1,0
201,strokes,1,0
202,struggles,5,2.0
203,studies,1,1.0
204,stumbles,1,0
205,surveys,1,0
206,swerves,1,0
207,swims,1,0
208,swings,3,1.0
209,swoops,1,0
210,takes,11,3.0
211,talks,2,1.0
212,thinks,1,1.0
213,throws,3,0
214,topples,1,0
215,tosses,1,0
216,touches,2,0
217,tries,7,2.0
218,turns,10,8.0
219,uses,3,0
220,usually,1,0
221,wakes,1,0
222,walks,4,1.0
223,wanders,1,0
224,watches,8,2.0
225,wears,1,0
226,whips,1,0
227,whirls,1,0
228,won,2,1.0
229,works,1,0
230,yells,2,0
231,zooms,1,0
