,gender,tropes
0,he, is
1,he, moves
2,he, looks
3,he, is
4,he, reaches
5,he, has
6,he, goes
7,he, manages
8,he, dives
9,he, spots
10,he, seems
11,he, watches
12,he, chases
13,he, loses
14,he, moves
15,he, signals
16,he, touches
17,he, passes
18,he, flashes
19,he, grabs
20,he, is
21,he, wakes
22,he, is
23,he, stares
24,he, has
25,he, says
26,he, watches
27,he, looks
28,he, touches
29,he, looks
30,he, manages
31,he, loses
32,he, is
33,he, catches
34,he, pulls
35,he, takes
36,he, is
37,he, hasn
38,he, is
39,he, runs
40,he, swoops
41,he, shoots
42,he, kicks
43,he, falls
44,he, drops
45,he, clambers
46,he, punches
47,he, balances
48,he, ship
49,he, throws
50,he, can
51,he, stops
52,he, starts
53,he, arrives
54,he, takes
55,he, sits
56,he, stop
57,he, isn
58,he, is
59,he, is
60,he, jumps
61,he, is
62,he, whirls
63,he, hauls
64,he, turns
65,he, surveys
66,he, picks
67,he, drives
68,he, forces
69,he, tosses
70,he, loses
71,he, stops
72,he, rains
73,he, parries
74,he, staggers
75,he, uses
0,she,was
1,she,was
2,she,gathers
3,she,looks
4,she,gets
5,she,and
6,she,pulls
7,she,pulls
8,she,is
9,she,now
10,she,stares
11,she,winces
12,she,shakes
13,she,hands
14,she,goes
15,she,is
16,she,doesn
17,she,comes
18,she,frowns
19,she,lokk
20,she,turns
21,she,yelps
22,she,struggles
23,she,take
24,she,puts
25,she,sees
26,she,has
27,she,goes
28,she,could
29,she,stares
30,she,is
31,she,turns
32,she,hits
33,she,swings
