,tropes,gender
0,backs,he
1,is,he
2,has,he
3,passes,he
4,faints,he
5,sees,he
6,is,he
7,is,he
8,lets,he
9,lifts,he
10,frightened,he
11,is,he
12,has,he
13,gets,he
14,is,he
15,stands,he
16,struggles,he
17,watches,he
18,looks,he
19,smiles,he
20,drops,he
21,rushes,he
22,turns,he
23,is,he
24,studies,he
25,puts,he
26,picks,he
27,is,he
28,looks,he
29,sleeps,he
30,leaves,he
31,looks,he
32,enters,he
33,zooms,he
34,then,he
35,sails,he
36,is,he
37,opens,he
38,goes,he
39,catches,he
40,hits,he
41,stay,he
42,is,he
43,usually,he
44,crashes,he
45,slides,he
46,realizes,he
47,struggles,he
48,leaves,he
49,stops,he
50,rushes,he
51,and,he
52,turns,he
53,is,he
54,marches,he
55,is,he
56,marches,he
57,ignites,he
58,has,he
59,rests,he
60,looks,he
61,is,he
62,nods,he
63,stops,he
64,leans,he
65,leans,he
66,reappears,he
67,listens,he
68,see,he
69,stands,he
70,is,he
71,notices,he
72,moves,he
73,sees,he
74,faints,he
75,pushes,he
76,is,he
77,gets,he
78,tries,he
79,falls,he
80,lands,he
81,jumps,he
82,slides,he
83,hits,he
84,is,he
85,kicks,he
86,goes,he
87,ducks,he
0,sits,she
1,is,she
2,musters,she
3,notices,she
4,is,she
5,goes,she
6,watches,she
7,looks,she
8,draws,she
9,kneels,she
10,stares,she
11,goes,she
12,senses,she
13,sees,she
14,goes,she
15,inspects,she
16,hugs,she
17,talks,she
18,takes,she
