City,State,Location
New York,New York,?40.6643øN 73.9385øW
Los Angeles,California,?34.0194øN 118.4108øW
Chicago,Illinois,41.8376øN 87.6818øW
Houston,Texas,?29.7805øN 95.3863øW
Philadelphia,Pennsylvania,40.0094øN 75.1333øW
Phoenix,Arizona,33.5722øN 112.0880øW
San Antonio,Texas,29.4724øN 98.5251øW
San Diego,California,32.8153øN 117.1350øW
Dallas,Texas,32.7757øN 96.7967øW
San Jose,California,?37.2969øN 121.8193øW
Austin,Texas,?30.3072øN 97.7560øW
Indianapolis,Indiana,39.7767øN 86.1459øW
Jacksonville,Florida,30.3370øN 81.6613øW
San Francisco,California,37.7751øN 122.4193øW
Columbus,Ohio,39.9848øN 82.9850øW
Charlotte,North Carolina,35.2087øN 80.8307øW
Fort Worth,Texas,32.7795øN 97.3463øW
Detroit,Michigan,?42.3830øN 83.1022øW
El Paso,Texas,31.8484øN 106.4270øW
Memphis,Tennessee,?35.1035øN 89.9785øW
Seattle,Washington,?47.6205øN 122.3509øW
Denver,Colorado,?39.7618øN 104.8806øW
Washington,District of Columbia,?38.9041øN 77.0171øW
Boston,Massachusetts,42.3320øN 71.0202øW
Nashville,Tennessee,36.1718øN 86.7850øW
Baltimore,Maryland,39.3002øN 76.6105øW
Oklahoma City,Oklahoma,35.4671øN 97.5137øW
Louisville,Kentucky,?38.1781øN 85.6667øW
Portland,Oregon,45.5370øN 122.6500øW
Las Vegas,Nevada,36.2277øN 115.2640øW
Milwaukee,Wisconsin,?43.0633øN 87.9667øW
Albuquerque,New Mexico,35.1056øN 106.6474øW
Tucson,Arizona,32.1543øN 110.8711øW
Fresno,California,36.7827øN 119.7945øW
Sacramento,California,?38.5666øN 121.4686øW
Long Beach,California,33.8091øN 118.1553øW
Kansas City,Missouri,?39.1252øN 94.5511øW
Mesa,Arizona,?33.4019øN 111.7174øW
Virginia Beach,Virginia,?36.7793øN 76.0240øW
Atlanta,Georgia,?33.7629øN 84.4227øW
Colorado Springs,Colorado,38.8673øN 104.7607øW
Omaha,Nebraska,41.2647øN 96.0419øW
Raleigh,North Carolina,?35.8302øN 78.6414øW
Miami,Florida,25.7752øN 80.2086øW
Oakland,California,37.7699øN 122.2256øW
Minneapolis,Minnesota,44.9633øN 93.2683øW
Tulsa,Oklahoma,?36.1279øN 95.9023øW
Cleveland,Ohio,41.4781øN 81.6795øW
Wichita,Kansas,?37.6907øN 97.3427øW
Arlington,Texas,?32.7007øN 97.1247øW
New Orleans,Louisiana,30.0686øN 89.9390øW
Bakersfield,California,35.3212øN 119.0183øW
Tampa,Florida,27.9701øN 82.4797øW
Honolulu,Hawai'i,21.3259øN 157.8453øW
Aurora,Colorado,?39.7082øN 104.8235øW
Anaheim,California,33.8555øN 117.7601øW
Santa Ana,California,33.7365øN 117.8826øW
St. Louis,Missouri,?38.6357øN 90.2446øW
Riverside,California,?33.9381øN 117.3932øW
