,Date,Killed,Injured,Killed_2,Total
0,01-Apr-17,3,12,0,3
1,01-Aug-17,0,17,0,0
2,01-Jan-17,1,15,0,1
3,01-Jul-17,2,35,0,2
4,01-Jun-17,3,1,0,3
5,01-May-17,2,3,0,2
6,01-Oct-17,3,243,59,62
7,02-Apr-17,2,9,0,2
8,02-Aug-17,0,4,0,0
9,02-Jul-17,0,8,0,0
10,02-Jun-17,3,6,0,3
11,02-May-17,1,3,0,1
12,02-Sep-17,1,7,0,1
13,03-Apr-17,3,8,0,3
14,03-Aug-17,1,3,0,1
15,03-Jan-17,0,4,0,0
16,03-Jul-17,4,4,0,4
17,03-Jun-17,5,4,0,5
18,03-Mar-17,0,9,0,0
19,03-Oct-17,0,4,0,0
20,03-Sep-17,2,3,0,2
21,04-Aug-17,3,2,0,3
22,04-Jan-17,3,1,0,3
23,04-Jul-17,2,11,0,2
24,04-Mar-17,1,8,0,1
25,04-May-17,1,3,0,1
26,04-Sep-17,0,4,0,0
27,05-Aug-17,2,10,0,2
28,05-Jul-17,6,7,0,6
29,05-Jun-17,6,0,0,6
30,05-Mar-17,0,4,0,0
31,05-Oct-17,4,0,0,4
32,06-Apr-17,1,3,0,1
33,06-Aug-17,0,17,0,0
34,06-Feb-17,4,0,0,4
35,06-Jan-17,7,8,0,7
36,06-Jul-17,0,4,0,0
37,06-Jun-17,3,2,0,3
38,06-Oct-17,0,5,0,0
39,06-Sep-17,0,4,0,0
40,07-Apr-17,13,7,0,13
41,07-Feb-17,1,8,0,1
42,07-Jan-17,1,3,0,1
43,07-Mar-17,0,4,0,0
44,07-May-17,2,8,0,2
45,07-Oct-17,0,4,0,0
46,08-Aug-17,1,6,0,1
47,08-Feb-17,1,4,0,1
48,08-Jul-17,1,12,0,1
49,08-Jun-17,0,6,0,0
50,09-Apr-17,2,6,0,2
51,09-Feb-17,4,0,0,4
52,09-Jul-17,0,7,0,0
53,09-Jun-17,2,5,0,2
54,09-May-17,3,1,0,3
55,09-Oct-17,0,5,0,0
56,09-Sep-17,0,4,0,0
57,10-Feb-17,1,5,0,1
58,10-Jun-17,0,4,0,0
59,10-Mar-17,5,3,0,5
60,10-May-17,1,3,0,1
61,10-Sep-17,9,5,0,9
62,11-Feb-17,1,7,0,1
63,11-Jan-17,2,6,0,2
64,11-Jun-17,0,17,0,0
65,12-Aug-17,1,3,0,1
66,12-Feb-17,2,14,0,2
67,12-Jan-17,5,4,0,5
68,13-Apr-17,1,3,0,1
69,13-Aug-17,0,13,0,0
70,13-Jun-17,2,10,0,2
71,13-Sep-17,2,16,0,2
72,14-Aug-17,2,2,0,2
73,14-Jun-17,5,11,0,5
74,14-May-17,1,20,0,1
75,15-Apr-17,0,26,0,0
76,15-Feb-17,3,6,0,3
77,15-Jan-17,4,5,0,4
78,15-Jul-17,1,7,0,1
79,15-Jun-17,6,3,0,6
80,15-Mar-17,3,1,0,3
81,16-Apr-17,0,17,0,0
82,16-Aug-17,0,4,0,0
83,16-Jan-17,0,12,0,0
84,16-May-17,3,1,0,3
85,16-Sep-17,0,8,0,0
86,17-Jun-17,1,8,0,1
87,17-Sep-17,2,7,0,2
88,18-Feb-17,1,7,0,1
89,18-Jul-17,1,11,0,1
90,18-Jun-17,3,17,0,3
91,18-Mar-17,3,2,0,3
92,19-Aug-17,1,4,0,1
93,19-Feb-17,1,3,0,1
94,19-Jul-17,1,8,0,1
95,19-Mar-17,1,5,0,1
96,20-Apr-17,0,4,0,0
97,20-Aug-17,2,9,0,2
98,20-Feb-17,0,5,0,0
99,20-Jan-17,1,8,0,1
100,20-May-17,0,10,0,0
101,20-Sep-17,0,5,0,0
102,21-Apr-17,2,2,0,2
103,21-Aug-17,6,14,0,6
104,21-Feb-17,4,4,0,4
105,21-Jan-17,2,13,0,2
106,21-May-17,1,7,0,1
107,22-Aug-17,0,4,0,0
108,22-Feb-17,0,4,0,0
109,22-Jan-17,6,7,0,6
110,22-Jul-17,0,5,0,0
111,22-Jun-17,1,6,0,1
112,22-Mar-17,5,0,0,5
113,23-Jul-17,1,7,0,1
114,23-Sep-17,1,9,0,1
115,24-Aug-17,4,0,0,4
116,24-Jun-17,1,13,0,1
117,24-Mar-17,2,10,0,2
118,24-Sep-17,2,19,0,2
119,25-Aug-17,0,4,0,0
120,25-Feb-17,3,7,0,3
121,25-Jan-17,0,6,0,0
122,25-Jun-17,1,7,0,1
123,25-Mar-17,4,9,0,4
124,26-Apr-17,0,4,0,0
125,26-Feb-17,1,4,0,1
126,26-Jan-17,2,3,0,2
127,26-Jul-17,1,6,0,1
128,26-Mar-17,6,21,0,6
129,26-May-17,0,4,0,0
130,26-Sep-17,3,9,0,3
131,27-Apr-17,1,3,0,1
132,27-Aug-17,2,7,0,2
133,27-Feb-17,0,4,0,0
134,27-Jan-17,0,10,0,0
135,27-Jul-17,1,4,0,1
136,27-Jun-17,0,5,0,0
137,27-Mar-17,2,4,0,2
138,27-May-17,9,12,0,9
139,28-Apr-17,0,4,0,0
140,28-Aug-17,2,4,0,2
141,28-Feb-17,0,6,0,0
142,28-Jul-17,0,4,0,0
143,28-May-17,1,22,0,1
144,28-Sep-17,1,3,0,1
145,29-Apr-17,3,24,0,3
146,29-Jan-17,1,4,0,1
147,29-Jul-17,3,7,0,3
148,29-May-17,1,3,0,1
149,30-Apr-17,7,17,0,7
150,30-Jan-17,0,4,0,0
151,30-Jul-17,2,8,0,2
152,30-Jun-17,2,6,0,2
153,30-Mar-17,4,0,0,4
154,30-May-17,1,3,0,1
155,30-Sep-17,1,3,0,1
156,31-Jan-17,0,8,0,0
157,31-Jul-17,0,4,0,0
